Sort,X2,X3,X4,X5,X6,FROM,DATE,SUBJECT,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES
50,935147,1/30/12,Senator Sherrod Brown,Writes on behalf of constituent who is concerned about a trademark issue between TSA and The Pre-Check Company.,,,,,,,,,,,
51,,,,,,,,,,,,,,,
52,934399,1/23/12,Congressman John Campbell,Re an 1-129 status.,,,,,,,,,,,
53,934997,1/27/12,Congressman Shelley Moore Capito,Writes on behalf of a constituent who requests a congressional inquiry and/or hearing into the procedures and/or procurements involved in the placement of a stoplight on US 340 in West Virginia.,,,,,,,,,,,
54,934513,1/24/12,Senator Saxby Chambliss,Constituent needs a waiver to apply for visa,,,,,,,,,,,
55,934588,1/24/12,Senator Saxby Chambliss,Constituent filed Form 1-601 for her husband,,,,,,,,,,,
56,932483,1/3/12,Congressman Donna M. Christensen,Re status on I-290B.,,,,,,,,,,,
57,934822,1/26/12,Congressman Donna M. Christensen,Writes regarding the postponement of the collection of certain funds that the U.S. Virgin Islands owes to the Federal Emergency Management Agency.,,,,,,,,,,,
58,933934,1/17/12,Congressman Hansen Clarke,Writes on behalf of constituent who believes he is being ethnically profiled by TSA for additional screening when travelling.,,,,,,,,,,,
59,932926,1/5/12,Congressman William Lacy Clay,Re: Status on an EB-5 regional center (Gateway to the Midwest Investment Center).,,,,,,,,,,,
60,932861,1/5/12,Congressman Hillary Rodham Clinton,Writes SI regarding the national interest waiver authority for two low risk-applicant groups.,,,,,,,,,,,
61,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,
63,933987,1Z18/2012,Senator Bob Corker,"Re status on an I-13O/1-485,",,,,,,,,,,,
64,934008,1/18/2012',Senator Bob Corker,Husband and wife have an immigration problem,,,,,,,,,,,
65,932730,1/4/12,Senator Michael D. Crapo,"Writes on behalf of constituent who is requesting information as to why he is being referred to secondary inspection by CBP,",,,,,,,,,,,
66,934466,1/24/12,Senator Michael D. Crapo,"Re; status on an I-129F,",,,,,,,,,,,
67,934752,1/26/12,Senator Michael D. Crapo,Re status of T-485 cases.,,,,,,,,,,,
68,934977,1/30/12,Congressman Jim DeMint,"Writes on behalf of constituent,about costly and multiple inspections of container shipments by U.S. Customs at the Port of Charleston.",,,,,,,,,,,
69,933S00,1/17/12,Congressman David Dreier,Re an I-485/I-290B cases.,,,,,,,,,,,
70,,,,,,,,,,,,,,,
71,934308,1/20/12,Congressman Jeff Duncan,Constituent and want Form 1-485 approved,,,,,,,,,,,
72,932690,1/4/12,Congressman John J. Duncan,Constituent wants status of case,,,,,,,,,,,
73,933067,1/6/12,Congressman Sam Fan',"Writes on behalf of constituent,|b)(c,)    concerning product labeling.",,,,,,,,,,,
74,933022,1/6/12,Senator Dianne Feinstein,(b)(61    pending asylum case,,,,,,,,,,,
75,933077,1/6/12,Senator Dianne Feinstein,"Re a report fromI'eoort an Immigration violations of U.S Immigration Law,",,,,,,,,,,,
76,933811,1/17/12,Senator Dianne Feinstein,Re status of an I-589/I-765 case.,,,,,,,,,,,
77,934318,1/23/12,Senator Dianne Feinstein,Thanks the Secretary for the quick response addressing her concerns over CBP staffing at LAX and the briefing her staff received from Assistant Commissioner Kevin McAleenan.,,,,,,,,,,,
78,933859,1/17/12,Congressman Michael G. Fitzpatrick,Requests waiver of inadmissibility for the constituent's business partner.,,,,,,,,,,,
79,935261,1/31/12,Congressman Rodney P. Frelinghuysen,Request for an Application for Deferred Action.,,,,,,,,,,,
80,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,
82,933814,1/17/12,Congressman Elton Gallegly,Re an 1-601/CDJ case.,,,,,,,,,,,
83,934026,1/18/12,Congressman Elton Gallegly,Status of Form 601,,,,,,,,,,,
84,933227,1/9/12,Senator Lindsey O. Graham,Writes on behalf of constituent who was terminated from his job at the Miami International Airport and would like to be reassigned to South Carolina. Constituent sent a resignation in protest letter prior to being terminated and did not sign any paperwork upon his termination.,,,,,,,,,,,
85,933723,1/13/12,Senator Lindsey O. Graham,Writes on behalf of constituent who was not satisfied with the response he received via WF 926529. The constituent requests that his two fees be waived after a clerical error was made 23 years ago.,,,,,,,,,,,
86,933886,1/17/12,Senator Lindsey O. Graham,Constituent is a refugee and wants his son to join him here in the United States,,,,,,,,,,,
87,933111,12/20/11,Senator Charles E. Grassley,Wries regarding Si's International Travel,,,,,,,,,,,
88,934662,1/25/12,Senator Charles E. Grassley,Expresses concerns that recipients of H IB visa are improperly using their Social Security Numbers and asks about data sharing between federal agencies to prevent abuse of government programs.,,,,,,,,,,,
89,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,
91,935096,1/30/12,Senator Charles E. Grassley,"Writes to follow-up on previous request for DHS to intervene in Cook County where an ordinance permits local law enforcement to release suspected illegal immigrants despite detainer requests, and calls on DHS to take steps to activate Secure Communities in Cook County earlier than previously planned.",,,,,,,,,,,
92,934151,1/19/12,Congressman Sam Graves,Writes on behalf of a constituent who alleges not receiving overtime pay earned as an EPS staffer.,,,,,,,,,,,
93,933354,1/10/12,Congressman A1 Green,Constituent needs a kidney transplant and donor need to travel to United States,,,,,,,,,,,
94,933316,1/10/12,Congressman Raul M. Grijalva,Constituent wants to adopt niece as her father has died,,,,,,,,,,,
95,934820,1/26/12,Congressman Michael Grimm,Constituent wants letter to explain denial,,,,,,,,,,,
96,934233,1/20/12,Congressman Doc Hastings,Form 1-601,,,,,,,,,,,
97,934381,1/23/12,Congressman Doc Hastings,Re an 1-485 case.,,,,,,,,,,,
98,935158,1/31/12,Congressman Doc Hastings,Re an 1-601 waiver.,,,,,,,,,,,
99,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,
101,933005,1/6/12,(tjVGl,xxxxx,,,,,,,,,,,
102,933612,1/12/12,Congressman Joe Heck,Constituent makes inquiry,,,,,,,,,,,
103,933489,1/11/12,Congressman Jeb Hensarting,Husband filed for his wife Form 1-601,,,,,,,,,,,
104,933648,1/12/12,Congressman Jeb Hensarling,Constituent filed Form 1-601 for husband,,,,,,,,,,,
105,935097,1/30/12,Congressman Brian Higgins,Writes regarding the allocation of funding for high-risk urban areas under the Urban Areas Security Initiative program.,,,,,,,,,,,
106,934701,1/25/12,Congressman Maurice D. Hinchey,Constituents have two children with medical issues,,,,,,,,,,,
107,932666,1/4/12,Congressman Kathy Hochul,Constituent wants a visit for his younger brother,,,,,,,,,,,
108,932671,1/4/12,Congressman Kathy Hochul,Constituent wants status on his son's and father’s cases,,,,,,,,,,,
109,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,
111,933491,1/11/12,Congressman Kathy Hochul,Husband filed Form 1-130 for his wife,,,,,,,,,,,
112,935238,1/31/12,Congressman Kathy Hochul,Re. an N-565.,,,,,,,,,,,
113,934947,1/27/12,Congressman Chris Van Hollen,"RegardingtbK6j    who applied for the position. Asvlum Officer,",,,,,,,,,,,
114,934593,1/24/12,Congressman Rush Holt,Follow-up on his case,,,,,,,,,,,
115,933599,1/12/12,Congressman Steny H. Hoyer,Constituent is here on a Hl B visa,,,,,,,,,,,
116,934808,1/26/12,Congressman Steny H. Hoyer,Constituent wants to expedite her petition for permanent resident,,,,,,,,,,,
117,934021,1/18/12,Congressman Daniel K. Inouye,"Writes to share a copy of the Hawaii Congressional delegation's letter that was sent to Secretary Clinton, which states the delegation's desire for easier travel to the United States for Chinese citizens.",,,,,,,,,,,
118,934585,1/24/12,Congressman Jesse L. Jackson,"Writes in opposition to a proposed immigration center being located in Crete, Ill.",,,,,,,,,,,
119,934327,1/20/12,Congressman Lynn Jenkins,Constituent wants to change visa F2 to FI,,,,,,,,,,,
120,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,
122,935236,1/31/12,Congressman Lynn Jenkins,Re status of 1-485.,,,,,,,,,,,
123,934458,1/24/12,Congressman Bill Johnson,Re an update on an K1 Fiance visa. (I-129F).,,,,,,,,,,,
124,932942,1/6/12,Congressman Eddie Bernice Bernice Johnson,Requests a prompt investigation into the wrongful deportation of (bX6)    |,,,,,,,,,,,
125,934722,1/25/12,Congressman Eddie Bernice Bernice Johnson,Request sustainment of UASI grant funding for Dallas/Ft. Worth/Arlington area.,,,,,,,,,,,
126,935183,1/31/12,Congressman Sam Johnson,Re request for expedited processing for an J-140 denial appeal.,,,,,,,,,,,
127,934882,3/27/12,Senator John F. Kerry,Re several 1-730 cases.,,,,,,,,,,,
128,932971,1/6/12,Congressman Peter T. King,"Asks DHS to focus its attention on the effectiveness of homeland security grant funds, specifically providing adequate funding for the Transit Security Grant Program and Port Security Grant Program.",,,,,,,,,,,
129,933037,1/6/12,Congressman Jack Kingston,Re an 1-I40/1-290B case.,,,,,,,,,,,
130,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,
132,933073,1/6/12,Congressman Jack Kingston,Writes concerning a constituent who is visually impaired and lost his job as a snack bar facility manager because he lost his security clearance.,,,,,,,,,,,
133,933313,1/10/12,Congressman Jack Kingston,"Writes on behalf of constituent who requests to be put back on the applicant list for the CBP position that he was offered in the Atlanta office, but claims to have applied for the position in the Savannah office.",,,,,,,,,,,
134,933927,1/17/12,Senator Mark Kirk,Writes on behalf of constituent who is inquiring about federal grants for video equipment installation.,,,,,,,,,,,
135,934643,1/25/12,Senator Mark Kirk,Status of Asylum Officer position,,,,,,,,,,,
136,934984,1/30/12,Congressman Mark Steven Kirk,"Writes on behalf of Lake Bluff Fire Department, requesting review of 2011 FEMA Assistance to Firefighters Grant Program.",,,,,,,,,,,
137,935006,1/30/12,Congressman Mark Steven Kirk,"Writes on behalf of Braidwood Fire Protection District, requesting review of 2011 FEMA Assistance to Firefighters Grant Program.",,,,,,,,,,,
138,935007,1/30/12,Congressman Mark Steven Kirk,"Writes on behalf of Onarga Fire Protection District, requesting review of 2011 FEMA Assistance to Firefighters Grant Program.",,,,,,,,,,,
139,935011,1/30/12,Congressman Mark Steven Kirk,"Writes on behalf of Chester Fire Department, requesting review of 2011 FEMA Assistance to Firefighters Grant Program.",,,,,,,,,,,
140,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,
142,935015,12/30/12,Congressman Mark Steven Kirk,Writes on behalf of Northwest Central Dispatch System requesting review of 2011 FEMA Assistance to Firefighters Grant Program.,,,,,,,,,,,
143,933442,1/11/12,Congressman Doug Lambom,Form (-751 and Form 1-90,,,,,,,,,,,
144,934900,1/27/12,Congressman Doug Lambom,"Constituent has an approved Form 1-140, still wants green card",,,,,,,,,,,
145,933243,1/9/12,Senator Frank R. Lautenberg,Asks DHS to consider granting Hazard Mitigation Assistance Grant Program funding to the Township of Commercial.,,,,,,,,,,,
146,935081,1/30/12,Senator Frank R. Lautenberg,Requests that DHS provide funding for the Nonprofit Security Grant Program for FYI2.,,,,,,,,,,,
147,934637,1/25/12,Congressman John Lewis,Regarding ^blt6j,,,,,,,,,,,
148,933064,1/6/12,Congressman Joseph 1. Lieberman,"Ask that special attention be given to the allocation of funds through the 2012 Consolidated Appropriations Act, conferring with them as necessary while continuing to follow laws governing current grant programs.",,,,,,,,,,,
149,933170,1/9/12,Congressman Frank A. LoBiondo,Constituent is without papers to travel or being able to apply for work,,,,,,,,,,,
150,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,
152,933061,1/6/12,Congressman Richard G. Lugar,Wife thinks her husband's case was mishandle by the Consulate's office,,,,,,,,,,,
153,934419,1/23/12,Congressman Ben Lujan,Informs SI of a cyber security solutions provider in his district.,,,,,,,,,,,
154,934935,1/27/12,Congressman Ben Lujan,Re a 1-601 case,,,,,,,,,,,
155,933070,1/6/12,Congressman Carolyn B. Maloney,RE: (E^(6t    obtain a BI-Visa.,,,,,,,,,,,
156,932748,1/4/12,Congressman Doris O. Matsui,Deportation of Constituent's wife,,,,,,,,,,,
157,935208,1/31/12,Congressman Michael McCaul,Wife filed for her husband Form 1-601,,,,,,,,,,,
158,933924,1/17/12,Congressman Mike McIntyre,Writes on behalf of constituent who is concerned about the way foreign visitors are treated prior to entry into the U.S.,,,,,,,,,,,
159,933626,1/12/12,Congressman Patrick Meehan,Writes to inquire about the progress DHS has made in regards to social media monitoring.,,,,,,,,,,,
160,,,,,,,,,,,,,,,
161,934283,1/20/12,Congressman Gary G. Miller,Writes on behalf of US CIS employee who is lodging complaint against his employer.,,,,,,,,,,,
162,932988,1/6/12,Senator Lisa Murkowski,Re status of 1-601 waiver.,,,,,,,,,,,
163,933312,1/10/12,Senator Lisa Murkowski,Constituent filed for his wife Form 601,,,,,,,,,,,
164,932734,1/4/12,Senator Bill Nelson,"Seek assistance for Haitian families waiting for visa numbers to become available, and urge the inclusion ofH-2A and H-2B temporary worker visa programs.",,,,,,,,,,,
165,935016,1/30/12,Senator Bill Nelson,Writes on behalf of constituent requesting review of job consideration.,,,,,,,,,,,
166,934023,1/18/12,Congressman Alan Nunnelee,Constituent wants husband to come home to United States,,,,,,,,,,,
167,933191,1/9/12,Congressman Bill L. Owens,Write regarding the Department's decision to not include Seized Property Specialists in CBP's enhanced retirement system.,,,,,,,,,,,
168,934967,1/27/12,Congressman Frank Pall one,Writes on behalf of constituent who requests her passport and green card documentation back after being detained by CBP.,,,,,,,,,,,
169,,,,,,,,,,,,,,,
170,934126,1/19/12,Congressman William Pascrell,Requests that funding for Non-Profit Security Grant Program be maintained at FY2011 level.,,,,,,,,,,,
171,934983,1/27/12,Congressman William Pascrell,Writes again on behalf of constituent (t7(6i    who was unjustly profiled and detained along with his wife when trying to return to the United States from an overseas trip.,,,,,,,,,,,
172,932648,1/4/12,Senator Rand Paul,Writes on behalf of constituent to request DHS certify adopted children’s birth certificates.,,,,,,,,,,,
173,932586,1/3/12,Congressman Steve Pearce,"Writes on behalf of constituen|fb,(B)    who complains about how he was treated by a CBP Officer.",,,,,,,,,,,
174,933546,1/12/12,Congressman Steve Pearce,Re an 1-601 case.,,,,,,,,,,,
175,935247,1/31/12,Congressman Gary Peters,Constituent owes a debt she knows nothing about to Debt Management Division,,,,,,,,,,,
176,934915,1/27/12,Congressman Pedro Pierluisi,Writes regarding the drug-related violence in Puerto Rico.,,,,,,,,,,,
177,932592,1/3/12,Congressman Mike Quigley,"Status on 1-290,1-601 and 1-212 waivers.",,,,,,,,,,,
178,,,,,,,,,,,,,,,
179,933045,1/6/12,Congressman Dennis R. Rehberg,"Writes on behalf of eonstiuenl, lb'<6)    regarding a transfer of funds from DHS.",,,,,,,,,,,
180,934109,1/19/12,Senator Harry Reid,inquiry on dual citizenship,,,,,,,,,,,
181,934020,1/18/12,Congressman Jim Renaeci,Constituent wants her husband in the United States,,,,,,,,,,,
182,934641,1/25/12,Congressman Jim Renaeci,Re Status on I-485/I-765 case.,,,,,,,,,,,
183,932528,1/3/12,Senator Pat Roberts,Re status of 1-601 waiver,,,,,,,,,,,
184,933458,1/11/12,Senator Pat Roberts,Form 1-601 case,,,,,,,,,,,
185,933993,1/18/12,Congressman Martha Roby,Re the Save Program.,,,,,,,,,,,
186,932891,1/3/12,Senator John D. Rockefeller,Sen Rockefeller read and article about some Label Pins in his district and would like access to them,,,,,,,,,,,
187,934284,1/20/12,Congressman Dennis Ross,Constituent wants status,,,,,,,,,,,
188,,,,,,,,,,,,,,,
189,934624,1/23/12,Senator Marco Rubio,Constituent    is seeking assistance with his pending SEVIS case.,,,,,,,,,,,
190,934992,1/27/12,Senator Marco Rubio,Writes on behalf of constituent.    regarding Traveler's Redress inquiry request.,,,,,,,,,,,
191,935029,1/30/12,Senator Marco Rubio,Writes on behalf of constituent requesting U.S. citizenship.,,,,,,,,,,,
192,932706,1/4/12,Congressman Jon Runyan,Status of his daughter's case,,,,,,,,,,,
193,934905,1/27/12,Congressman Paul D. Ryan,Re    who believes she has been a victim of US CIS related Fraud. (N-400 case ).,,,,,,,,,,,
194,934912,1/27/12,Congressman Paul D. Ryan,Re an 1-130 case.,,,,,,,,,,,
195,932788,1/4/12,Congressman Timothy Ryan,EAD not received,,,,,,,,,,,
196,934015,1/18/12,Congressman Janice D. Schakowsky,Status of appeal,,,,,,,,,,,
197,933593,1/12/12,Congressman Kurt Schrader,Constituent filed Form I 601 for her parents,,,,,,,,,,,
198,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,
200,932714,1/4/12,Senator Charles E. Schumer,Asks DHS to consider granting Assistance to Firefighters Grant Program funding to the Melenville Volunteer Fire Company.,,,,,,,,,,,
201,932766,1/4/12,Senator Charles E. Schumer,Asks DHS to consider granting Assistance to Firefighters Grant Program funding to the West Fulton Volunteer Fire Department.,,,,,,,,,,,
202,933854,1/17/12,Senator Charles E. Schumer,Requests an explanation as to what went wrong with DHS/lCE's procedures in the deportation ofand asks what must be collected.,,,,,,,,,,,
203,934135,1/19/12,Senator Charles E. Schumer,"Writes on behalf of constituent and requests a full and complete investigation report on Matthew' Curley, who went missing at Sea on August 29th off the coast of Hawaii.",,,,,,,,,,,
204,934514,1/24/12,Senator Charles E. Schumer,Asks to confer a one-time one-year grant of deferred action status for individuals whose cases administratively close as part of the prosecutorial discretion initiative.,,,,,,,,,,,
205,934518,1/24/12,Senator Charles E. Schumer,Write to support application submitted by Melville Fire Department for funding tinder the Assistance to Firefighters Program.,,,,,,,,,,,
206,934520,1/24/12,Senator Charles E. Schumer,Write to support application submitted by the Lindenhurst Fire Department for funding under the Assistance to Firefighters Program.,,,,,,,,,,,
207,934521,1/24/12,Senator Charles E. Schumer,Writes to support application submitted by the Port Washington Fire Department for funding under the Assistance to Firefighters Program.,,,,,,,,,,,
208,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,
210,934564,1/24/12,Senator Charles E. Schumer,Write to support application submitted by the Village of Sag Harbor Fire Department for funding under the Assistance to Firefighters Program.,,,,,,,,,,,
211,935075,1/30/12,Senator Charles E. Schumer,Writes in support of Gloversville Fire Department for funding under the Assistance to Firefighters Grant Program.,,,,,,,,,,,
212,935091,1/30/12,Senator Charles E. Schumer,Writes in support of Scriba Volunteer Fire Department for funding under the Assistance to Firefighters Grant Program.,,,,,,,,,,,
213,935094,1/30/12,Senator Charles E. Schumer,Writes in support of application submitted by the Board of Fire Commisioners for funding under the Assistance to Firefighters Program.,,,,,,,,,,,
214,934391,1/23/12,Congressman Robert C. Scott,Re 1-600 case.,,,,,,,,,,,
215,932930,1/5/12,Congressman Jose E. Serrano,Re: Humanitarian Parole cases.,,,,,,,,,,,
216,932902,1/5/12,Senator Richard C. Shelby,Re status of 1-730 petition.,,,,,,,,,,,
217,,,,,,,,,,,,,,,
218,932547,1/3/12,Congressman Brad Sherman,Writes on behalf of constituentwho complains that DHS raided his home and owes him money for the damages.,,,,,,,,,,,
219,934S10,1/26/12,Congressman Brad Sherman,Constituent to be reviewed in immigration court green card and India passport confiscated,,,,,,,,,,,
220,934829,1/26/12,Congressman Adrian Smith,Constituents wish to adopt 2 children from the Ukraine,,,,,,,,,,,
221,932918,1/5/12,Congressman Lee Terry,Re Expedite request for 1-601 waiver for Ana Karen Cortez.,,,,,,,,,,,
222,934639,1/25/12,Congressman Lee Terry,Constituent wants to retrieve child left behind in Eritrea,,,,,,,,,,,
223,934858,1/26/12,Congressman Lee Terry,Objects to TSA telling passengers that Congress mandated the use of the personally invasive scanners.,,,,,,,,,,,
224,934892,1/26/12,Congressman Bennie G. Thompson,"Requests the Department to provide responses to questions concerning the implementation of the Department's responsibilities under the Consolidated Appropriations Act, 2012.",,,,,,,,,,,
225,,,,,,,,,,,,,,,
226,934500,1/24/12,Congressman Scott Tipton,Constituent trying for Railroad retirement,,,,,,,,,,,
227,935100,1/30/12,Congressman Scott Tipton,Constituent is applying for medicare card,,,,,,,,,,,
228,933943,1/18/12,Senator Tom Udall,Husband and wife waiting for removal now eligible for Work Authorization,,,,,,,,,,,
229,934680,1/25/12,Congressman Fred Upton,Congressional Correspondence from House Committee on Energy and Commerce regarding oversight of the Department of Homeland Security's implementation of the Chemical Facilitiy Anti-Terrorism Standards (CFATS) program and regulations,,,,,,,,,,,
230,932887,1/4/12,Congressman Peter J. Visclosky,Requests assistance on behalf of his constituent in obtaining security clearance.,,,,,,,,,,,
231,935167,1/31/12,Congressman Peter J. Visclosky,Return of her original documents,,,,,,,,,,,
232,933529,1/12/12,Congressman Jim Webb,Re status of 1-130 cases.,,,,,,,,,,,
233,933883,1/17/12,Congressman Jim Webb,Alleges harassment and defamation by DHS employees.,,,,,,,,,,,
234,932549,1/3/12,Congressman Peter Welch,Letter of support for humanitarian parole petition by a doctor for his Brazilian same-sex partner.,,,,,,,,,,,
235,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,
237,932575,1/3/12,Congressman Allen West,Re a 1-130 petition and an 1-601 waiver that was denied.,,,,,,,,,,,
238,933349,1/10/12,Senator Sheldon Whitehouse,Form 1-131 cases,,,,,,,,,,,
239,933006,1/6/12,Congressman Robert Wittman,Wife filed Form 1-601 for husband expeditious processing because of her health,,,,,,,,,,,
240,934574,1/24/12,Congressman Robert Wittman,Form 1-601,,,,,,,,,,,
241,933071,1/6/12,Congressman Frank R. Wolf,Writes concerning a constituent who was put on administrative leave -not disciplinary with no explanation from the Office of Tribal Self-Governance.,,,,,,,,,,,
242,933916,1/17/12,Congressman Frank R. Wolf,Writes on behalf of constituent who is presenting technological innovation to DHS.,,,,,,,,,,,
243,933865,1/17/12,,None,,,,,,,,,,,
244,934695,1/25/12,,Senator Lamar Alexander writes in support of the grant application submitted by the City of Walden's Creek Fire Department.,,,,,,,,,,,
245,,,,,,,,,,,,,,,
246,Policy Congressional Report,,,,,,,,,,,,,,
247,Opened Between 02/01/2012 and 02/29/2012,,,,,,,,,,,,,,
248,WF#,Receive Date,Congressman Name,Subject of Request,,,,,,,,,,,
249,935543,2/2/12,Congressman Gary L. Ackerman,Re 1-730 cases.,,,,,,,,,,,
250,935754,2/3/12,Congressman Gary L. Ackerman,Form 1-730 case,,,,,,,,,,,
251,935996,2/7/12,Congressman Gary L. Ackerman,Mother inquiring for her daughter on Form 1-730,,,,,,,,,,,
252,936201,2/8/12,Congressman Gary L. Ackerman,Re status of several 1-730 cases.,,,,,,,,,,,
253,937085,2/14/12,Congressman Gary L. Ackerman,Re an 1-730 refugee/asylee relative petition.,,,,,,,,,,,
254,937399,2/16/12,Congressman Gary L. Ackerman,Constituent filed for her daughter Form 1-730,,,,,,,,,,,
255,935908,2/6/12,Congressman Robert B. Aderholt,"writes with concerns about the expenditures of DHS and Components. Specifically the $14,425 expenses on the CBP change of Leadership ceremony.",,,,,,,,,,,
256,936744,2/10/12,Senator Lamar Alexander,Mother filed for daughter a Form 1-130,,,,,,,,,,,
257,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,
259,936430,2/9/12,Congressman Justin Amash,Requests the reversal of DHS requirement that enhanced driver's licenses include vicinity radio frequency identification (RFID) technology.,,,,,,,,,,,
