Sort,X2,X3,X4,X5,X6,FROM,DATE,SUBJECT,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES
2,Policy Congressional Report Opened Between 01/01/2012 and 01/31/2012,,,,,,,,,,,,,,
3,WF#,Receive Date,Congressman Name,Subject of Request,,,,,,,,,,,
4,932545,1/3/12,Congressman Gary L. Ackerman,Re: status of 1-730,,,,,,,,,,,
5,932992,1/6/12,Congressman Gary L. Ackerman,Form 1-730 filed for husband and son,,,,,,,,,,,
6,933012,1/6/12,Congressman Gary L. Ackerman,Status of her case,,,,,,,,,,,
7,933026,1/6/12,Congressman Gary L. Ackerman,Father file a Form 1-730 for his adopted daughter,,,,,,,,,,,
8,933339,1/10/12,Congressman Gary L. Ackerman,Form 1-730 cases,,,,,,,,,,,
9,933342,1/10/12,Congressman Gary L. Ackerman,Form 1-730 cases,,,,,,,,,,,
10,933467,1/11/12,Congressman Gary L. Ackerman,Constituent filed for daughter Form 1-730,,,,,,,,,,,
11,933474,l/l 1/2012,Congressman Gary L. Ackerman,Constituent filed Form 1-730 on behalf of friend,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,
14,933711,1/13/12,Congressman Gary L. Ackerman,Re an 1-730 case.,,,,,,,,,,,
15,933719,1/13/12,Congressman Gary L. Ackerman,Re an 1-730 case.,,,,,,,,,,,
16,934386,1/23/12,Congressman Gary L. Ackerman,Regarding an 1-730 petition.,,,,,,,,,,,
17,934429,1/23/12,Congressman Gary L. Ackerman,Re an 1-730 case.,,,,,,,,,,,
18,934565,1/24/12,Congressman Gary L. Ackerman,Constituent filed Form 1-730 for her husband,,,,,,,,,,,
19,934690,1/25/12,Congressman Gary L. Ackerman,"Re an 1-730, Refugee/Asylee Relative Petition.",,,,,,,,,,,
20,934836,1/26/12,Congressman Gary L. Ackerman,Status on her case Form 1-485,,,,,,,,,,,
21,934821,1/26/12,Congressman Gary L. Ackerman,Constituent filed for Form 1-730 for relatives,,,,,,,,,,,
22,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,
24,934908,1/27/12,Congressman Gary L. Ackerman,Wife for her husband Form 1-730,,,,,,,,,,,
25,933812,1/17/12,Congressman Robert B. Aderholt,Urges the Department to fulfill its stated enforcement priority by immediately deploying the Secure Communities Program to Alabama.,,,,,,,,,,,
26,932552,1/3/12,Senator Lamar Alexander,Write to encourage an oversight hearing about TSA and its failure to implement the Screening Partnership Program as Congress intended.,,,,,,,,,,,
27,932905,1/5/12,Senator Lamar Alexander,Re status on I-129F/I-797,,,,,,,,,,,
28,932732,1/4/12,Congressman Roscoe G. Bartlett,Writes on behalf of constituent<bl(Sl    president and CEO of e- End requesting public contact information for Contracting Officers in charge of the destruction of data and technology from DHS1 - DHS24.,,,,,,,,,,,
29,932889,1/5/12,Senator Mark Begich,"Renews request for priority consideration for a Jones Act waiver to allow the delivery of gasoline from Dutch Harbor, AL to Nome.",,,,,,,,,,,
30,934385,1/23/12,Congressman Jeff Bingaman,Re an I-290B.,,,,,,,,,,,
31,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,
33,933327,1/10/12,Congressman Sanford D. Bishop,Writes to commend the Department for its activities regarding MANPADS.,,,,,,,,,,,
34,932573,1/3/12,Congressman Timothy H. Bishop,Writes concerning constituent    losing his job due to a negative investigation from DHS.,,,,,,,,,,,
35,934647,1/23/12,Senator Roy Blunt,Constituent<b)lbl    prites seeking assistance obtaining his overtime pay,,,,,,,,,,,
36,934756,1/26/12,Senator Roy Blunt,Status of EB-5 application for Gateway to the Midwest Investment Center,,,,,,,,,,,
37,935194,1/31/12,Congressman Charles W. Bousiany,Constituent tiled Forms 1-601 and 1-212,,,,,,,,,,,
38,934949,1/27/12,Congressman Mo Brooks,(h'(6-    ^nd his [-90 case.,,,,,,,,,,,
39,932556,1/3/12,Congressman Paul Broun,Writes on behalf of constituent who requests the status of his unsolicited proposal entitled Security for Airports and Flight Operations and requests grant information to begin a study of less than major airports1 security preparedness.,,,,,,,,,,,
40,933326,1/10/12,Congressman Paul Broun,Constituent needs help with expediting his wife's immigration,,,,,,,,,,,
41,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,
43,934666,1/25/12,Congressman Paul Broun,Constituent wants help with a waiver for her husband,,,,,,,,,,,
44,934886,1/27/12,Congressman Paul Broun,Constituent needs her husband back in the United States before her surgery,,,,,,,,,,,
45,933734,1/13/12,Congressman Scott P. Brown,Re an 1-212-1-601 case.,,,,,,,,,,,
46,934134,1/19/12,Congressman Scott P. Brown,Writes on behalf of constituent who is having difficulty transferring his GI Bill benefits.,,,,,,,,,,,
47,934227,1/20/12,Congressman Scott P. Brown,Constituent filed for sister a Form 1-730,,,,,,,,,,,
48,934492,1/24/12,Congressman Scott P. Brown,Constituent is trying renew his Form 192,,,,,,,,,,,
49,935171,1/31/12,Congressman Scott P. Brown,Re status of 1-601 waiver.,,,,,,,,,,,
