Sort,X2,X3,X4,X5,FROM,DATE,SUBJECT,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES
2,January Privacy Office Congressional Report,,,,,,,,,,,,,
3,Opened between 1/1/2017 -1/31/2017,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,WF #,Receive Date,Congressman Name,Subject of Request,,,,,,,,,,
6,1137987,1/31/2017,Congressman Karen Bass,"Writes to urge POTUS to lift recent ban
on citizens from seven Muslim majority
countries.",,,,,,,,,,
7,1137535,1/18/2017,Congressman Alan D. Bersin,"Visa Waiver Program Batch Report to
Congress",,,,,,,,,,
8,1137984,1/31/2017,Senator Cory A. Booker,"Writes with questions regarding recent
immigration orders.",,,,,,,,,,
9,1137021,1/5/2017,Congressman Robert Casey,"Writes regarding OX®) Family
Residential Center in Pennsylvania",,,,,,,,,,
10,1137961,1/30/2017,Congressman Robert Casey,"Writes regarding recent immigration
orders.",,,,,,,,,,
11,1137041,1/6/2017,Congressman Jason Chaffetz,"Writes to request information of a
criminal illegal alien.",,,,,,,,,,
12,1137112,1/10/2017,Congressman Jason Chaffetz,Writes to inquire about hiring process.,,,,,,,,,,
13,January Privacy Office Congressional Report,,,,,,,,,,,,,
14,Opened between 1/1/2017 -1/31/2017,,,,,,,,,,,,,
15,1137255,1/12/2017,Congressman Jason Chaffetz,"Requests investigation of recent
allegations by Georgia Secretary of State
Brian Kemp regarding DHS and
unauthorized scans of computer network.",,,,,,,,,,
16,1 137350,1/13/2017,Congressman Jason Chaffetz,"Writes regarding previous reports
released regarding OPM data breaches.",,,,,,,,,,
17,1137203,1/11/2017,Congressman Emanuel Cleaver,"Requests designation of event to National
Special Security Event (NSSE)",,,,,,,,,,
18,1137941,1/30/2017,Congressman John Conyers,"Requests meeting with the Secretary
regarding recent immigration orders.",,,,,,,,,,
19,1138000,1/31/2017,Congressman Elijah Cummings,"Writes requesting information about
actions taken by CBP regarding
Immigration ban EO.",,,,,,,,,,
20,1137703,1/24/2017,Congressman Steve Daines,"Writes about CBP staffing, cybersecurity,
and hosting the Secretary on a visit to
Montana.",,,,,,,,,,
21,1137996,1/31/2017,Congressman Charles W. Dent,"Writes requesting information about
immigrants who were denied entry into
the country.",,,,,,,,,,
22,Januarv Privacy Office Congressional Report,,,,,,,,,,,,,
23,Opened between 1/1/2017 -1/31/2017,,,,,,,,,,,,,
24,1136894,1/4/2017,Congressman Theodore E. Dcutch,"Writes in support of AFG Program to
purchase power loaders and cots for
firefighters.",,,,,,,,,,
25,1137519,1/18/2017,Congressman Bob Goodlatte,"USCIS Follow-up letter to MOC who
received 12/30/16 responses to OIG
letters. Reference 9 WFs that are now
closed.",,,,,,,,,,
26,1137617,12/20/2016,Congressman Bob Goodlatte,Writes regarding U Visas.,,,,,,,,,,
27,1137014,12/30/2016,Congressman Lindsey Graham,"Senator Graham forwards an inquiry from
4X6)	|regarding her
identification.",,,,,,,,,,
28,1137426,1/17/2017,Senator Charles E. Grassley,"Requests information on two individuals
charged with murder.",,,,,,,,,,
29,1137427,1/17/2017,Senator Charles E. Grassley,"Requests information on an individual on
the run suspected of rape.",,,,,,,,,,
30,1137514,1/18/2017,Senator Charles E. Grassley,"Requests information on an individual
charged with sex trafficking.",,,,,,,,,,
31,January Privacy Office Congressional Report,,,,,,,,,,,,,
32,Opened between 1/1/2017 -1/31/2017,,,,,,,,,,,,,
33,1137702,1/24/2017,Senator Charles E. Grassley,"A letter to	from
Chairman Grassley requesting the detail
of	to the Senate
Judiciary Committee.",,,,,,,,,,
34,"1137019
1136954","1/5/2017
1/4/2017","Congressman Steny Hoyer
Congressman Johnny Isakson","Rep. Hover writes on behalf of (b)(6)
(b)(6) regarding concerns with receiving
her retroactive pay.
Senator Johnny Isakson writes in support
of the Georgia Institute of Technology
grant application.",,,,,,,,,,
35,1137650,1/23/2017,Congressman Sheila Jackson Lee,"Issues Press Statement congratulating
John Kelly on confirmation as SI.",,,,,,,,,,
36,1137734,1/25/2017,Congressman John Katko,"Writes with concern about Community
Engagement Tours given at airports
across the United States",,,,,,,,,,
37,1136948,1/4/2017,Congressman John Larson,"Rep. Larson forwards an inquiry from |(b) 1.
(b)(6)	Iregarding travel issues
he faces due to his being a victim of
identity theft.",,,,,,,,,,
38,January Privacy Office Congressional Report,,,,,,,,,,,,,
39,Opened between 1/1/2017 -1/31/2017,,,,,,,,,,,,,
40,,,,,,,,,,,,,,
41,1 137107,12/23/2016,Congressman Patrick Leahy,"Thank you notes for Congressional
Members and staff for working to pass
H.R. 6431, the Promoting Travel,
Commerce, and National Security Act of
2016",,,,,,,,,,
42,1 137721,1/24/2017,Congressman Zoe Lofgren,"Writes regarding recent reports that CBP
officers arc denying entry to the U.S.
based on political and/or religious
affiliation.",,,,,,,,,,
43,1137951,1/30/2017,Congressman Edward Markey,"Writes regarding recent immigration
orders.",,,,,,,,,,
44,1137964,1/30/2017,Congressman Claire McCaskill,"Writes requesting information about
Executive Order signed by the President.",,,,,,,,,,
45,1136966,1/4/2017,Congressman Michael McCaul,Requests A-File of Ohio State attacker.,,,,,,,,,,
