Sort,X2,X3,X4,X5,FROM,DATE,SUBJECT,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES
46,1137897,1/27/2017,Congressman Michael McCaul,"Writes requesting copies of statutorily
mandated reports.",,,,,,,,,,
47,1137334,1/13/2017,Congressman Jennifer M. Miller,"Writes regarding the Department's
Federal Real Property",,,,,,,,,,
48,Januarv Privacy Office Congressional Report,,,,,,,,,,,,,
49,Opened between 1/1/2017 -1/31/2017,,,,,,,,,,,,,
50,1137942,1/30/2017,Congressman Jerry Moran,"Writes to recommend Dr. Tammy
Beckham to serve as Under Secretary for
Science and Technology in the
Department of Homeland Security.",,,,,,,,,,
51,1137105,1/9/2017,Senator Bill Nelson,"Writes to request reimbursement for
ancillary costs associated with providing
security for President -elect.",,,,,,,,,,
52,1137405,1/13/2017,Senator Bill Nelson,"Writes to request federal resources to
assist law enforcement and the
surrounding community after the Ft.
Lauderdale attack.",,,,,,,,,,
53,1137968,1/30/2017,Congressman Bill Pascrell,"Writes with concern regarding Trump
Administrations recent Executive Order
on immigration",,,,,,,,,,
54,1137993,1/31/2017,Congressman Gary Peters,"Writes with concern on the executive
order issued by President Trump targeting
individuals from majority Muslim
countries serving as a religious test to
determine entry into the U.S.",,,,,,,,,,
55,1137573,1/19/2017,Congressman Mark Pocan,"Requests hearings on two individuals
immigration statuses.",,,,,,,,,,
56,January Privacy Office Congressional Report,,,,,,,,,,,,,
57,Opened between 1/1/2017 -1/31/2017,,,,,,,,,,,,,
58,1137174,1/10/2017,Congressman Dennis Ross,"Requests clarification for law
enforcement regarding alien detention
rules.",,,,,,,,,,
59,1137705,1/25/2017,Congressman Dennis Ross,"Writes requesting clarification on ICE
procedures regarding detainees.",,,,,,,,,,
60,1137428,1/17/2017,Congressman Linda Sanchez,"Requests President Obama to take
immediate action on three specific
policies regarding immigrant
communities.",,,,,,,,,,
61,1137940,1/30/2017,Congressman Adam B. Schiff,"Writes regarding the implementation of
the executive order banning visa holders
from certain majority muslim countries
and refugees from the United States.",,,,,,,,,,
62,1136899,1/4/2017,Congressman Charles Schumer,"Writes in support of City of Watervliet
Fire Department's application for funding
through FEMA's Assistance to
Firefighters Grant program.",,,,,,,,,,
63,1136900,1/4/2017,Congressman Charles Schumer,"Writes in support of application
submitted by the City of Amsterdam
(NY) for funding through FEMA's
Assistance to Firefighters Grant program.",,,,,,,,,,
64,January Privacy Office Congressional Report,,,,,,,,,,,,,
65,Opened between 1/1/2017 -1/31/2017,,,,,,,,,,,,,
66,1136923,1/4/2017,Congressman Charles Schumer,"Writes in support of Watkins Glen Fire
Department's application for funding
through FEMA's Assistance to
Firefighters Grant program",,,,,,,,,,
67,1136926,1/4/2017,Congressman Charles Schumer,"Writes in support of Morrisonville-
Schuyler Falls Volunteer Ambulance
Service, Inc. for FEMA's 2016 Assistance
to Firefighters Grant program",,,,,,,,,,
68,1136928,1/4/2017,Congressman Charles Schumer,"Writes in support of Niagara Engine
Company No. 6 of Schoharie Fire
Department for funding under Assistance
to Firefighters Grant Program",,,,,,,,,,
69,1136929,1/4/2017,Congressman Charles Schumer,"Writes in support of Depew Volunteer
Fire Department's application for funding
through FEMA's Assistance to
Firefighters Grant program",,,,,,,,,,
70,1136939,1/4/2017,Congressman Charles Schumer,"Writes in support of Stuyvesant Falls Fire
District's application for funding through
FEMA’s Assistance to Firefighters Grant
Program",,,,,,,,,,
71,Januarv Privacy Office Congressional Report,,,,,,,,,,,,,
72,Opened between 1/1/2017 -1/31/2017,,,,,,,,,,,,,
73,1 136941,1/4/2017,Congressman Charles Schumer,"Writes in support of application
submitted by Three Mile Bay Volunteer
Fire Department for funding through
FEMA's 2016 Assistance to Firefighters
Grant program",,,,,,,,,,
74,1136944,1/4/2017,Congressman Charles Schumer,"Writes in support of Utica Fire
Department’s application for funding
under FEMA's Assistance to Firefighters
Grant program",,,,,,,,,,
75,1136946,1/4/2017,Congressman Charles Schumer,"Writes in support Dundee Fire
Department's request for funding under
FEMA's Assistance to Firefighters Grant
program.",,,,,,,,,,
76,1136950,1/4/2017,Congressman Charles Schumer,"Writes in support of Oriskany Falls
Volunteer Fire Department's application
for funding through FEMA's Assistance
to Firefighters Grant program",,,,,,,,,,
77,1136978,1/5/2017,Congressman Charles Schumer,"Writes in support of Syracuse Fire
Department’s application for FEMA
Assistance to Firefighters Grant program",,,,,,,,,,
78,January Privacy Office Congressional Report,,,,,,,,,,,,,
79,Opened between 1/1/2017 -1/31/2017,,,,,,,,,,,,,
80,1136979,1/5/2017,Congressman Charles Schumer,"Writes in support of Chi Ison Volunteer
Fire Company's application for FEMA's
2016 Assistance to Firefighters Grant
program",,,,,,,,,,
81,1137063,1/6/2017,Congressman Charles Schumer,"Writes on behalf of various companies
and departments applying for FEMA
grant programs",,,,,,,,,,
82,1137988,1/31/2017,Congressman Jeanne Shaheen,"Writes regarding Special Immigrant Visa
program in context of recent immigration
orders.",,,,,,,,,,
83,1137735,1/25/2017,Congressman Lamar Smith,"Invites Secretary Kelly to meet with
members of the Congressional Border
Security Caucus.",,,,,,,,,,
84,1137780,1/11/2017,Congressman Elise Stefanik,"Rep. Stefanik forwards correspondence
from |i>X6)	|
concerning an issue he is experiencing
with DHS.",,,,,,,,,,
85,January Privacy Office Congressional Report,,,,,,,,,,,,,
86,Opened between 1/1/2017 -1/31/2017,,,,,,,,,,,,,
87,1137759,1/25/2017,Congressman Jon Tester,"Writes regarding the United States -
Canadian border in the State of Montana.",,,,,,,,,,
88,,,,Writes regarding REAL ID for Montana,,,,,,,,,,
89,1137797,1/26/2017,Congressman Jon Tester,,,,,,,,,,,
90,1137351,1/13/2017,Congressman Greg Walden,Writes regarding US-CERT,,,,,,,,,,
91,1138027,1/31/2017,Congressman Tim Walz,"Requests information regarding Trump
Administration executive order banning
travel to the U.S. from 7 specified
nations.",,,,,,,,,,
92,1137944,1/30/2017,Congressman Mark Warner,"Writes with concern about the executive
order entitled ""Protecting the Nation
From Foreign Terrorist Entry Into the
United States""",,,,,,,,,,
93,February Privacy Office Congressional Report,,,,,,,,,,,,,
94,Opened between 2/1/17 - 2/28/17,,,,,,,,,,,,,
95,WF#,Receive Date,Congressman Name,Subject of Request,,,,,,,,,,
96,1139011,2/8/2017,Congressman Ehsan Ahmed,"Applicant writing regarding status of
case.",,,,,,,,,,
97,1139253,2/24/2017,Congressman Louis Barletta,"Rep. Barletta writes on behalf of llb>|lS 1
(bX6)	regarding the processing
of his Hazmat application.",,,,,,,,,,
98,1139387,2/28/2017,Congressman Andy Barr,"Writes on behalf of constituents in
Central Kentucky who have expressed
specific concerns about the President's
Executive Order No. 13,769 entitled
""Protecting the Nation from Foreign
Terrorist Entry into the United States.""",,,,,,,,,,
99,1138482,2/10/2017,Congressman Don Beyer,Rep. Beyer writes on behalf of,,,,,,,,,,
100,,,,"W© request for immediate placement
in the DHS into a GS-15 position.",,,,,,,,,,
101,1139380,2/28/2017,Congressman Earl Blumenauer,"Writes to request that you include
additional visas for the Afghan Special
Immigrant Visa (SIV) program within the
administration's supplemental defense
budget request for Fiscal Year 2017.",,,,,,,,,,
102,February Privacy Office Congressional Report,,,,,,,,,,,,,
103,Opened between HlfYl - 2/28/17,,,,,,,,,,,,,
104,1138436,2/9/2017,Senator Cory A. Booker,Write regarding the focus of CVE efforts,,,,,,,,,,
105,1138816,2/16/2017,Congressman Mike Bost,"4X6)	|is seeking help",,,,,,,,,,
106,,,,with his Global Entry interview date,,,,,,,,,,
107,1138120,2/2/2017,Congressman Robert Brady,"Representative Brady writes in on behalf
of 4X6)	who is
seeking guidance on how to obtain or
renew his green card",,,,,,,,,,
108,1138292,2/6/2017,Senator Sherrod Brown,"Writes regarding President Trump’s
executive order, ""Protecting the Nation
from Foreign Terrorist Entry in the
United States.""",,,,,,,,,,
109,1138926,2/21/2017,Congressman Maria Cantwell,"Write to express concern that Executive
Order ""Enhancing Public Safety int he
Interior of the United States"" could affect
DACA recipients.",,,,,,,,,,
110,1139032,2/22/2017,Congressman Salud Carbajal,"Urges ICE to immediately remove the
word ""Police"" from all ICE gear.",,,,,,,,,,
111,1138277,2/6/2017,Congressman Andre Carson,"Writes regarding recent Executive Orders
on immigration.",,,,,,,,,,
112,1138469,2/10/2017,Senator Robert P. Casey,Writes regarding DHS Grant Programs,,,,,,,,,,
113,February Privacy Office Congressional Report,,,,,,,,,,,,,
114,Opened between 2/1/17 - 2/28/17,,,,,,,,,,,,,
115,1138126,2/2/2017,Congressman David Cicillinc,"Urges CBP and DHS to comply with
court orders regarding immigrants being
removed and detained at Dulles
International Airport.",,,,,,,,,,
116,1138794,2/16/2017,Congressman Thad Cochran,"Writes on behalf of various departments
applying for FEMA grant programs",,,,,,,,,,
117,1138121,2/2/2017,Congressman Chris Collins,"Writes to express concern about EO
signed by President Trump regarding
travel restrictions.",,,,,,,,,,
118,1138704,2/15/2017,Congressman Chris Collins,"Writes with concerns regarding expedited
implementation of National Biometric
Entry-Exit Tracking System",,,,,,,,,,
119,1139360,2/28/2017,Congressman Susan Collins,"Urges DHS to conduct immediate audit of
number of unused H-2B visas from the
first half of FY 2017",,,,,,,,,,
120,1138348,2/8/2017,Congressman Gerald E. Connolly,"Requests information about DHS use of
nondisclosure agreements",,,,,,,,,,
121,1138100,2/2/2017,Congressman John Conyers,"Write to strongly condemn the President's
executive order titled ""Protecting the
Nation From Foreign Terrorist Entry into
the United States""",,,,,,,,,,
122,February Privacy Office Congressional Report,,,,,,,,,,,,,
123,Opened between 2/1/17 - 2/28/17,,,,,,,,,,,,,
124,1138566,2/12/2017,Congressman Susan A. Davis,"Requests Information on Executive
Order: Protecting the Nation from
Terrorist Entry into the U.S. by Foreign
Nationals",,,,,,,,,,
125,1138706,2/15/2017,Congressman Peter Defazio,"Writes regarding Federal Aviation
Administration personnel security
screening",,,,,,,,,,
126,1138552,2/13/2017,Congressman Rosa L. DeLauro,"Requests Information on Executive
Order: Protecting the Nation from
Terrorist Entry into the U.S. by Foreign
Nationals",,,,,,,,,,
127,1138570,2/13/2017,Congressman Suzan Delbene,"Requests Information on Executive
Order: Protecting the Nation from
Terrorist Entry into the U.S. by Foreign
Nationals",,,,,,,,,,
128,1138086,5/12/2016,Congressman Debbie Dingell,"Writes regarding her constituents (b)(6)
(b)(6)
(b)(6)",,,,,,,,,,
129,1139347,2/27/2017,Congressman Debbie Dingell,"Writes regarding the implementation of
President Trump's border security and
immigration enforcement executive order",,,,,,,,,,
130,February Privacy Office Congressional Report,,,,,,,,,,,,,
131,Opened between 2/1/17 - 2/28/17,,,,,,,,,,,,,
132,1138485,2/10/2017,Congressman Anna Eshoo,"Writes to congratulate SI on
appointment.",,,,,,,,,,
133,1138966,2/21/2017,Congressman Dianne Feinstein,"Writes regarding immigration raids in
Southern California.",,,,,,,,,,
134,1139355,2/28/2017,Congressman Dianne Feinstein,"Writes with concerns regarding guidance
and related materials released on
February 21, 2017 that seeks to
implement two of President Trump’s
Executive Orders on immigration.",,,,,,,,,,
135,1138363,2/8/2017,Congressman Jeff Flake,"Writes regarding staffing levels for
officers and Border Patrol agents.",,,,,,,,,,
136,1139084,2/23/2017,Congressman Jeff Fortenberry,"Writes regarding the concept of creating
""safe zones"" in the Middle East.",,,,,,,,,,
137,1138623,2/13/2017,Congressman A1 Franken,"Thanks Secretary for help regarding a
constituent.",,,,,,,,,,
138,1139369,2/28/2017,Congressman Tulsi Gabbard,"|4X6)	frites regarding his leave",,,,,,,,,,
139,1138905,2/17/2017,Congressman Kirsten Gillibrand,"lbx6)	is filing a rebuttal
against the decision made on an inquiry
filed with the Coast Guard in April 2016.",,,,,,,,,,
140,February Privacy Office Congressional Report,,,,,,,,,,,,,
141,Opened between 2/1/17 - 2/28/17,,,,,,,,,,,,,
142,1138777,2/16/2017,Congressman Louie Gohmcrt,"Writes with concern regarding DHS
Countering Violent Extremism (CVE)
grants for FY 2016",,,,,,,,,,
143,1138331,2/7/2017,Senator Charles E. Grassley,"Writes regarding a recent DHS OIG
report",,,,,,,,,,
144,1138442,2/10/2017,Senator Charles E. Grassley,"Requests A-Fiie of an individual involved
in sexual assault and robbery of others.",,,,,,,,,,
145,1138443,2/10/2017,Senator Charles E. Grassley,"Requests A-file of individual convicted of
murder in Texas.",,,,,,,,,,
146,1138561,2/13/2017,Congressman Raul Grijalva,"Requests Information on Executive
Order: Protecting the Nation from
Terrorist Entry into the U.S. by Foreign
Nationals",,,,,,,,,,
147,1138511,2/13/2017,Congressman Michelle Lujan Grisham,"Requests that DHS promptly respond to
specified questions regarding
implementation of President Trump’s
executive orders on immigration.",,,,,,,,,,
148,February Privacy Office Congressional Report,,,,,,,,,,,,,
149,Opened between 2/1/17 - 2/28/17,,,,,,,,,,,,,
150,1138645,2/9/2017,Congressman Andy P. Harris,"Rep. Harris writes on behalf of(bX6)
1(b)(6)	Regarding
concerns over a recent experience they
had at the Fort Lauderdale International
Airport.",,,,,,,,,,
151,1139132,2/23/2017,Senator Kamala D. Harris,"Writes urging that due process be
provided to individuals that are affected
by the Executive Order ""Protecting the
Nation From Foreign Terrorist Entry Into
the United States""",,,,,,,,,,
152,1138124,2/2/2017,Senator Dean Heller,"Writes to follow up on his meeting with
Secretary Kelly regarding UAS1.",,,,,,,,,,
153,1138658,2/14/2017,Congressman Brian Higgins,"Writes regarding the implementation of
biometric exit at Land Ports of Entry",,,,,,,,,,
154,1138869,2/17/2017,Senator Mazie Hirono,"Writes with concern about executive
order relating to the suspension of the
issuance of visas and other immigration
benefits.",,,,,,,,,,
155,1139273,2/24/2017,Congressman Steny Hoyer,"Thank you note from Rep. Hoyer
regarding a discussion over the
Immigration EO.",,,,,,,,,,
156,February Privacy Office Congressional Report,,,,,,,,,,,,,
157,Opened between 2/1/17 - 2/28/17,,,,,,,,,,,,,
158,1138635,2/10/2017,Congressman Duncan Hunter,"Rep. Duncan writes on behalf of 14)4) |
(b)(6)	regarding her complaint against
TSA and how her supervisors handled her
termination.",,,,,,,,,,
159,1138906,2/17/2017,Congressman Duncan Hunter,Writes regarding funding for USCG.,,,,,,,,,,
160,1138932,2/21/2017,Congressman Pramila Jayapal,"Writes regarding a DACA applicant that
was picked up by ICE.",,,,,,,,,,
161,1138637,2/14/2017,Congressman Tim Kaine,"Opposes Trump Administration's plan to
rename U.S. Government countering
violent extremism programs",,,,,,,,,,
162,1138405,2/9/2017,Congressman John Katko,"Writes regarding security on the Northern
Border.",,,,,,,,,,
163,1139368,2/28/2017,Congressman John Katko,"Writes concerning the cybersecurity of
the nation's major airlines and how the
Department of Homeland Security (DHS)
is assisting to prevent and mitigate cyber-
attacks.",,,,,,,,,,
164,1138061,2/1/2017,Congressman Bill Keating,"Writes regarding the recent Executive
Order on immigration",,,,,,,,,,
165,,,February Privacy Office Congressional Report,,,,,,,,,,,
166,,,Opened between 2/1/17 - 2/28/17,,,,,,,,,,,
167,1138791,2/16/2017,Congressman Joseph Kennedy,"Writes with concern regarding perceived
lack of clear guidance with immigration
enforcement priorities.",,,,,,,,,,
168,1138715,2/15/2017,Congressman Peter King,"Requests answers to questions provided
regarding meeting between U.S. allies",,,,,,,,,,
169,1138630,2/14/2017,Congressman Amy Klobuchar,"Recommends a constituent for a position
within DHS",,,,,,,,,,
170,1138227,2/3/2017,Congressman Patrick Leahy,"Concerns regarding President Trump's
Executive Order on immigration",,,,,,,,,,
171,1 138440,2/9/2017,Congressman Edward Markey,"Writes regarding Executive Order entitled
Enhancing Public Safety in the Interior of
the United States.",,,,,,,,,,
172,1138573,2/13/2017,Congressman Edward Markey,"Requests Information on Executive
Order: Protecting the Nation from
Terrorist Entry into the U.S. by Foreign
Nationals",,,,,,,,,,
173,1138844,2/17/2017,Congressman Claire McCaskill,"Writes regarding implementation of cyber
provisions contained in the FY 2016
Consolidated Appropriations Act",,,,,,,,,,
174,February Privacy Office Congressional Report,,,,,,,,,,,,,
175,Opened between 2/1/17 - 2/28/17,,,,,,,,,,,,,
176,1138852,2/17/2017,Congressman Claire McCaskill,"Writes regarding a report by GAO about
the construction and deployment of
fencing along the Southwest border in
addition to a follow up inquiry regarding
previous Executive Order
correspondence.",,,,,,,,,,
177,1138831,2/17/2017,Congressman Michael McCaul,"Writes regarding overdue reports and
capability requirements required by the
Cybersecurity Act of 2015",,,,,,,,,,
178,1138854,2/17/2017,Congressman Michael McCaul,"Writes to inform POTUS about launching
a Counter a Task Force for Denying
Terrorists entry into the United States.",,,,,,,,,,
179,1139061,2/22/2017,Congressman Michael McCaul,"Thanks Secretary Kelly for appearing
before February 7, 2017 Committee and
provides addition questions from the
Committee for the Secretary to answer.",,,,,,,,,,
180,1138956,2/21/2017,Congressman Robert Menendez,"Writes regarding enforcement actions
conducted by ICE as a result of Executive
Order ""Enhancing Public Safety in the
Interior of the United States""",,,,,,,,,,
181,February Privacy Office Congressional Report,,,,,,,,,,,,,
182,Opened between 2/1/17 - 2/28/17,,,,,,,,,,,,,
183,1139175,2/23/2017,Congressman Stephanie Murphy,"Writes regarding recent anonymous bomb
threats against Jewish Community
Centers across the nation.",,,,,,,,,,
184,1138967,2/21/2017,Congressman Beto O'Rourke,"Writes with concern over recent
immigration enforcement actions in El
Paso, Texas",,,,,,,,,,
185,1138632,2/10/2017,Congressman Frank Pallone,"Rep. Pallone writes regarding concerns
raised by his constituents pertaining to
Form 1-407.",,,,,,,,,,
186,1138640,2/10/2017,Congressman Frank Pallone,"Rep. Pallone writes on hehalf of I'M® |
(b)(6)
(b)(6)	|regarding
his removal from the U.S. by CBP.",,,,,,,,,,
187,1138557,2/13/2017,Congressman Jamie Raskin,"Requests Information on Executive
Order: Protecting the Nation from
Terrorist Entry into the U.S. by Foreign
Nationals",,,,,,,,,,
188,1138654,2/14/2017,Congressman Larry Jack Rowley,"Writes with suggestions on how to
construct the southern border wall.",,,,,,,,,,
189,February Privacy Office Congressional Report,,,,,,,,,,,,,
190,Opened between 2/1/17 - 2/28/17,,,,,,,,,,,,,
191,1138758,2/16/2017,Congressman Edward Royce,"Requests consideration to be given to an
individual seeking entry into U.S. on visa
granted before President Trump's
executive order on immigration took
effect",,,,,,,,,,
192,1138873,2/17/2017,Congressman Charles Schumer,"Writes on behalf of various companies
and departments applying for FEMA
grant programs",,,,,,,,,,
193,1138848,2/17/2017,Congressman Robert C. Scott,"Writes regarding CBP officers
implementation of Executive Order that
suspends admission of refugees into the
United States",,,,,,,,,,
194,1138409,2/9/2017,Congressman Jose E. Serrano,"Writes urging an investigation be
conducted into potential abuse of civil
rights and constitutional rights of
individuals detained by CBP agents under
Executive Order, ""Protecting the Nation
from Foreign Terrorist Entry into the
United Slates.""",,,,,,,,,,
195,1138322,2/7/2017,Congressman Pete Sessions,"Writes regarding President Trump’s
executive order on immigration.",,,,,,,,,,
196,February Privacy Office Congressional Report,,,,,,,,,,,,,
197,Opened between 2/1/17 - 2/28/17,,,,,,,,,,,,,
198,1139222,2/23/2017,Congressman Pete Sessions,"Writes regarding Executive Order 13769,
"" Protecting the Nation from Foreign
Terrorist Entry into the United States""
affecting airline employees.",,,,,,,,,,
199,1138672,2/14/2017,Congressman Jeanne Shaheen,"Writes to request that additional visas for
the Afghan Special Immigrant Visa
program be included within the
administration’s .supplemental defense
budget request.",,,,,,,,,,
200,1138221,2/3/2017,Congressman Brad Sherman,"Writes regarding Executive Order
concerning travel and refugees.",,,,,,,,,,
201,1138539,2/13/2017,Congressman Albio Sires,"Requests Information on Executive
Order: Protecting the Nation from
Terrorist Entry into the U.S. by Foreign
Nationals",,,,,,,,,,
202,1139227,2/23/2017,Congressman Christopher H. Smith,"(b)(6)	writes regarding
the difficulties she has experienced
receiving compensation from DHS.",,,,,,,,,,
203,1139383,2/28/2017,Congressman Eli sc Stefanik,"Writes regarding issue of illicitat trade in
tobacco on U.S. border.",,,,,,,,,,
204,February Privacy Office Congressional Report,,,,,,,,,,,,,
205,Opened between 2/1/17 - 2/28/17,,,,,,,,,,,,,
206,1138282,2/6/2017,Congressman Bennie G. Thompson,"Write with concern that POTUS intends
to overhaul the government program
which appears pointed at only Islam.",,,,,,,,,,
207,1138750,2/16/2017,Congressman Bennie G. Thompson,"Writes with concern regarding the
potential impact of Executive Order,
Enhancing Public Safety in the Interior of
the United States may have on the first
responder community.",,,,,,,,,,
208,1139083,2/23/2017,Congressman Bennie G. Thompson,"Writes regarding the implementation of
provisions of Executive Orders, ""Border
Security and Immigration Enforcement
Improvements"" and ""Enhancing Public
Safety in the Interior of the United States""",,,,,,,,,,
209,1139275,2/24/2017,Congressman Bennie G. Thompson,"Writes regarding an incident that occured
at JFK airport on February 22, 2017",,,,,,,,,,
210,1139286,2/27/2017,Congressman Bennie G. Thompson,"Writes regarding President Trump's
demand that DHS and DOJ build legal
standing for his travel ban.",,,,,,,,,,
211,February Privacy Office Congressional Report,,,,,,,,,,,,,
212,Opened between 2/1/17 - 2/28/17,,,,,,,,,,,,,
213,1138371,12/8/2016,Senator Thom Tillis,"Senator writes on behalf of
0X6)	regarding his issues with U.S
Secret Service",,,,,,,,,,
214,1138989,2/21/2017,Congressman Norma Torres,"Writes regarding the new deportation
policies outlined in DHS's February 20
Implementation Memos.",,,,,,,,,,
215,1138617,2/13/2017,Congressman Chris Van Hollen,"Constituent raises questions on how the
E.O. will affect his wife's entry into the
U.S.",,,,,,,,,,
216,1138965,2/21/2017,Congressman Jackie Walorski,"Writes with concern regarding the DHS
approach in designating election systems
and databases as ""critical infrastructure.""",,,,,,,,,,
217,1138461,2/10/2017,Congressman Elizabeth Warren,"Writes regarding President Trump’s
executive order on immigration.",,,,,,,,,,
218,1138058,2/1/2017,Congressman Sheldon Whitehouse,"Writes on hehalf of constituent who
recently was granted a Special Immigrant
Visa",,,,,,,,,,
219,February Privacy Office Congressional Report,,,,,,,,,,,,,
220,Opened between 2/1/17 - 2/28/17,,,,,,,,,,,,,
221,1 139221,2/23/2017,Congressman Frederica Wilson,"Writes with concern regarding the
development and implementation of
Executive Order ""Protecting the Nation
from Foreign Terrorist Entry into the
United States""",,,,,,,,,,
222,1138913,2/17/2017,Senator Ron Wyden,"Writes regarding recent reports of CBP
officers demanding smart phone/ social
media access of people entering the
United States.",,,,,,,,,,
223,1139088,2/23/2017,Congressman Lee Zeldin,"Writes regarding violent acts against the
American Jewish community.",,,,,,,,,,
224,1 138471,2/10/2017,Congressman Don Beyer,Security Clearance,,,,,,,,,,
225,1 138521,2/13/2017,Congressman Keith Ellison,"Requests Information on Executive
Order: Protecting the Nation from
Terrorist Entry into the U.S. by Foreign
Nationals",,,,,,,,,,
