Sort,X2,X3,X4,X5,FROM,DATE,SUBJECT,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES
2,Policy Congressional Report,,,,,,,,,,,,,
3,Opened Between 01/01/2014 and 01/31/2014,,,,,,,,,,,,,
4,WF#,Receive Date,Congressman Name,Subject of Request,,,,,,,,,,
5,1006945,1/30/2014,Senator Kelly Ayotte,"Request heightened security vigilance and cooperation leading up to the Olympic games, and request an assessment of information sharing within the U.S. Government and internationally.",,,,,,,,,,
6,1004538,1/6/2014,Congressman Ron Barber,Writes to congratulate SI on his appointment and requests a meeting to discuss an improved border security strategy plan.,,,,,,,,,,
7,1005115,1/2/2014,Congressman Xavier Becerra,Congratulates the Secretary on his confirmation.,,,,,,,,,,
8,1005595,12/11/2014,Congressman Anh T. Betancourt,Applicant writing regarding status of case.,,,,,,,,,,
9,1005803,1/16/2014,Congressman Timothy H. Bishop,"OPPOSES CONSTRUCTION OF THE NATIONAL BIO AND AGRO DEFENSE FACILITY (NBAF) IN MANHATTAN, KANSAS AND THE SALE OF THE PLUM ISLAND ANIMAL DISEASE CONTROL FACILITY IN NEW YORK.",,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,1006643,1/28/2014,Congressman Robert A. Brady,Writes regarding the delay in 1-526 processing times under the EB-5 preference category.,,,,,,,,,,
13,1004520,1/6/2014,Congressman Ken Calvert,Writes on behalf of a constituent regarding her request for reasonable accommodations at work.,,,,,,,,,,
14,1004550,1/6/2014,Congressman Ken Calvert,Writes on behalf of his constituent regarding his denied request to use earned sick leave.,,,,,,,,,,
15,1005029,1/9/2014,Congressman John Campbell,Writes on behalf of constituent who requests to help get back his job with ICE San Bemadino Office.,,,,,,,,,,
16,1005295,1/13/2014,Congressman Jason Chaffetz,"Writes on behalf of the Committee on Oversight and Government Reform's Subcommittee on National Security regarding the facts and circumstances surrounding the April 15, 2013, agreement between DHS and the United Arab Emirates to establish preclearance operations in Abhu Dhabi.",,,,,,,,,,
17,,,,,,,,,,,,,,
18,1004603,1/7/2014,Senator Tom A. Coburn,Writes to congratulate the Secretary on his confirmation and requests responses to questions and certain records regarding cybersecurity programs.,,,,,,,,,,
19,1005916,1/17/2014,Senator Tom A. Coburn,Requests information regarding Department employees that are absent without leave (AWOL).,,,,,,,,,,
20,1006171,1/23/2014,Senator Tom A. Coburn,Writes regarding the Federal Law Enforcement Training Centers (FLETC) capabilities.,,,,,,,,,,
21,1006583,1/28/2014,Senator Tom A. Coburn,"Writes regarding an incident that involved the Mexican military personnel crossing over the International Border a couple of miles from the Sasabe Port of Entry in Sasabe, AZ.",,,,,,,,,,
22,1005367,1/13/2014,Congressman Henry Cuellar,Extends welcome to Ali Mayorkas in his new capacity as Deputy Secretary.,,,,,,,,,,
23,1006807,1/29/2014,Congressman Henry Cuellar,Writes on behalf of constituent who expresses concern with ICE not giving the uniform allowance in over two years.,,,,,,,,,,
24,,,,,,,,,,,,,,
25,1005167,11/23/2013,Congressman Patrica H. Cusson,Applicant writing regarding coming to the United State.,,,,,,,,,,
26,1006977,1/30/2014,Congressman Mario Diaz-Balart,Writes on behalf of a constituent with an unsolicited proposal.,,,,,,,,,,
27,1005364,1/13/2014,Congressman Michael Doyle,Writes regarding the delay in 1-526 processing times under the EB-5 preference category.,,,,,,,,,,
28,1006879,1/29/2014,Congressman John J. Duncan,Writes on behalf of a constituent to inquire about back pay associated with disability benefits.,,,,,,,,,,
29,1006179,1/23/2014,Senator Dianne Feinstein,Writes on behalf of a constituent regarding their concerns that funding has been discontinued for the Multi-Application Multiplex Technology (MAMPT) project.,,,,,,,,,,
30,1005160,1/10/2014,Congressman Bill Flores,Writes in support of the proposal for the funding of a Center of Excellence - Center for Maritime Research.,,,,,,,,,,
31,1007042,1/30/2014,Congressman Tulsi Gabbard,Congratulates the Secretary on his new position.,,,,,,,,,,
32,1006660,1/28/2014,Congressman David Gibbons,Requests a point of contact for a Committee on Appropriations inquiry into the use of overtime by DHS employees.,,,,,,,,,,
33,1005058,1/9/2014,Congressman Louie Gohmert,"Invite Secretary Johnson to attend the 62nd National Prayer Breakfast on February 6, 2014.",,,,,,,,,,
34,,,,,,,,,,,,,,
35,1004699,1/7/2014,Congressman Robert W. Goodlatte,Requests a response to a previous letter concerning the potential ties of a DHS employee to the Muslim Brotherhood.,,,,,,,,,,
36,1005543,1/14/2014,Congressman Morgan Griffith,Writes on behalf of constituent who is concerned about the ammunition purchased by the Department.,,,,,,,,,,
37,1005657,1/15/2014,Congressman Morgan Griffith,Writes on behalf of constituent    regarding antidumping duty order on wooden furniture from China and the imposition of antidumping duties on certain entreis made by Premier imports.,,,,,,,,,,
38,1005362,1/13/2014,Congressman Raul M. Grijalva,Congratulate the Secretary on his recent appointment on behalf of the Congressional Border Caucus and request a meeting.,,,,,,,,,,
39,1006145,1/23/2014,Senator Orrin G. Hatch,Writes on behalf of constituent who writes with concerns regarding CBP citing the company a violation and fining them.,,,,,,,,,,
40,1006638,1/28/2014,Senator Dean Heller,Requests that DHS update the Relative Risk Profile of the Las Vegas / Paradise Metropolitan Statistical Area under the Urban Area Security Initiative (UASI).,,,,,,,,,,
41,1004998,1/8/2014,Congressman Jim Himes,Writes regarding GAO's recent letter to DOL which cited inconsistencies in the published data on H-2A visas,,,,,,,,,,
42,,,,,,,,,,,,,,
43,1006840,1/29/2014,Congressman Ruben Hinojosa,Writes to congratulate the Secretary on his appointment and to also request meeting with him.,,,,,,,,,,
44,1005831,1/16/2014,Congressman Rush Holt,Thanks the Deputy Secretary for his work at USCIS.,,,,,,,,,,
45,1005800,1/16/2014,Congressman Steny H. Hoyer,Writes on behalf of a constituent regarding an employment issue with the Federal Protective Service.,,,,,,,,,,
46,1004898,1/8/2014,Congressman Steve Israel,Requests a meeting regarding disaster recovery aid for housing cooperative and condominium associations.,,,,,,,,,,
47,1005752,1/16/2014,Congressman Steve Israel,Writes concerning the vulnerability of the nation's networks and infrastructure to cyber attacks and to encourage hosting within the U.S. a multilateral cybersecurity exercise focused on enhancing international cooperation in combating cyber attacks.,,,,,,,,,,
