Sort,X2,X3,X4,X5,FROM,DATE,SUBJECT,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES
2,Policy Congressional Report,,,,,,,,,,,,,
3,Opened Between 01/01/2015 and 01/31/2015,,,,,,,,,,,,,
4,WF#,Receive Date,Congressman Name,Subject of Request,,,,,,,,,,
5,1059732,1/7/2015,Senator Cory A. Booker,Writes in support of the Borough of Roselle Fire Department application for the 2014 FEMA Assistance to Firefighters Grant.,,,,,,,,,,
6,1059752,1/7/2015,Senator Cory A. Booker,Writes in support of the Township of Cranford Fire Department application for the 2014 FEMA Assistance to Firefighters Grant.,,,,,,,,,,
7,1059754,1/7/2015,Senator Cory A. Booker,Writes in support of the Borough of Keyport First Aid Fire Squad's application for the 2014 FEMA Assistance to Firefighters Grant.,,,,,,,,,,
8,1059735,1/7/2015,Senator Cory A. Booker,Writes in support of the Kearny Fire Department application for the 2014 FEMA Assistance to Firefighters Grant.,,,,,,,,,,
9,1059755,1/7/2015,Senator Cory A. Booker,Writes in support of Kearny Fire Department's application for the 2014 FEMA Assistance to Firefighters Grant.,,,,,,,,,,
10,,,,,,,,,,,,,,
11,1059756,1/7/2015,Senator Cory A. Booker,Writes in support of the Township of Cranford Fire Department's application for the 2014 FEMA Assistance to Firefighters Grant.,,,,,,,,,,
12,1059737,1/7/2015,Senator Cory A. Booker,Writes in support of the Borough of Keyport First Aid Squad application for the 2014 FEMA Assistance to Firefighters Grant.,,,,,,,,,,
13,1059757,1/7/2015,Senator Cory A. Booker,Writes in support of the Elizabeth Fire Department's application for the 2014 FEMA Assistance to Firefighters Grant.,,,,,,,,,,
14,1059743,1/7/2015,Senator Cory A. Booker,Writes in support of the Borough of Roselle Fire Department application for the 2014 FEMA Assistance to Firefighters Grant.,,,,,,,,,,
15,1059762,1/7/2015,Senator Cory A. Booker,Writes in support of the Elizabeth Fire Department application for the 2014 FEMA Assistance to Firefighters Grant.,,,,,,,,,,
16,1059759,1/7/2015,Senator Barbara Boxer,Writes in support of Fresno Yosemite International Airport's application for designation as a CBP Port of Entry.,,,,,,,,,,
17,1063624,1/29/2015,Congressman Mo Brooks,Requests information regarding ICE releases in the Fifth Congressional District of Alabama.,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,1060390,1/9/2015,Congressman John Carney,Representative Camey writes on behalf ofvho would like to be reinstated back into his old position as FAM or a role that reflects his skill level,,,,,,,,,,
21,1059749,1/7/2015,Senator Thomas R. Carper,Requests support for the National Academy of Public Administration's study on cybersecurity and education.,,,,,,,,,,
22,1063676,,Congressman Sandra Elizabeth Carrasco,Applicant wrting regarding status of 1-821.,,,,,,,,,,
23,1062651,1/26/2015,Congressman Earl Carter,Writes on behalf of a constituent regarding an Assistance to Firefighters Grant application.,,,,,,,,,,
24,1059912,1/7/2015,Congressman John Carter,Writes on behalf of a constituent regarding an Appeal Curtailment of Tour of Duty Due to Hardship.,,,,,,,,,,
