Sort,X2,X3,X4,X5,X6,FROM,DATE,SUBJECT,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES
60,852046,1/4/2010,Congressman Kevin Brady,Constituent^6!    Iwrites with issues pertaininv to their TWIC Card,,,,,,,,,,,
61,853147,1/12/2010,Congressman Kevin Brady,Constituent^    writes wanting to know why his TWIC application was denied.,,,,,,,,,,,
62,853850,1/20/2010,Congressman Bruce Braley,"Writes regarding his legislation, the PLANES Act, and requests information on current plans to rapidly deploy and enhance the use of explosives detection technologies both in the United States and abroad.",,,,,,,,,,,
63,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,
65,854706,1/28/2010,Congressman Ginny Brown-Waite,Writes on behalf of constituent ^b)(6)    Ibecause her name appears on a no fly list.,,,,,,,,,,,
66,852974,1/11/2010,Senator Richard M. Burr,Hamanitarian Parole case.,,,,,,,,,,,
67,854715,1/28/2010,Senator Richard M. Burr,"Writes on behalf of his constituentj(b)(6)    regarding an adoption ol(b,t6f from Nepal.",,,,,,,,,,,
68,853952,1/21/2010,Congressman Robert C. Byrd,"Second stimulus package, of tax credits for small businesses that hire new workers, of an Instrastructure Bank, (policy)",,,,,,,,,,,
69,852822,1/9/2010,Congressman Eric Cantor,(b)(6t    s requesting expedite and status of wife(b><6) (b)(6) 1-601.,,,,,,,,,,,
70,853571,1/15/2010,Senator Maria Cantwell,"(b)(b)    2nd request, requesting approval and expedite of I- 601 for her children<bH6i",,,,,,,,,,,
71,,,,,,,,,,,,,,,
72,853697,1/19/2010,Congressman Shelley Moore Capito,"Writes on behalf of constituent,lbK6t    a FEMA employee, who was told that her OPF was lost. Folder 106105 inquiry is with the Human Capital Division of FEMA.",,,,,,,,,,,
73,854580,1/28/2010,Congressman Shelley Moore Capito,status of anI/140/I-290B,,,,,,,,,,,
74,854608,1/28/2010,Congressman Shelley Moore Capito,Customer would like his appeal of the Form 1-130 Petion reviewed.,,,,,,,,,,,
75,852800,1/9/2010,Congressman Lois Capps,(b)(6)    is requesting status of 1-140 for (bK6),,,,,,,,,,,
