Sort,X2,X3,X4,X5,FROM,DATE,SUBJECT,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES
2,Policy Congressional Report,,,,,,,,,,,,,
3,Opened Between 01/01/2011 and 01/31/2011,,,,,,,,,,,,,
4,WF#,Receive Date,Congressman Name,Subject of Request,,,,,,,,,,
5,892621,1/10/2011,Congressman Gary L. Ackerman,Customer is requesting the status of an 1-730 petition.,,,,,,,,,,
6,893198,1/14/2011,Congressman Gary L. Ackerman,Re an 1-730 status.,,,,,,,,,,
7,893582,1/21/2011,Congressman Gary L. Ackerman,Status of an 1-730 petition,,,,,,,,,,
8,893610,1/21/2011,Congressman Gary L. Ackerman,Customer is requesting the status of an 1-730 petition for his daughters,,,,,,,,,,
9,893808,1/24/2011,Congressman Gary L. Ackerman,Status of 1-730 petitions,,,,,,,,,,
10,893820,1/24/2011,Congressman Gary L. Ackerman,I-730s Case Status.,,,,,,,,,,
11,891983,1/4/2011,Congressman Robert B. Aderholt,Customer is requesting assistance with H2B visas approval applications.,,,,,,,,,,
12,893030,1/13/2011,Congressman Robert B. Aderholt,"Seeks approval to reprogram $550 million in DHS resources to DOD, National Guard.",,,,,,,,,,
13,,,,,,,,,,,,,,
14,893728,1/24/2011,Congressman Tammy Baldwin,Writes on behalf of constituent who requests an investigation to determine if she is on the No Fly list.,,,,,,,,,,
15,893745,1/24/2011,Congressman Joe L. Barton,|'egarding status of 1-730 for his two sons,,,,,,,,,,
16,892587,1/10/2011,Senator Mark Begich,Customer is requesting assistance with an appeal.,,,,,,,,,,
17,892508,1/7/2011,Senator Michael Bennet,Status of an 1-601 waiver,,,,,,,,,,
18,892789,1/11/2011,Congressman Gus M. Bilirakis,"Writes on behalf of constituent,    ,vho requests re- evaluation of his military discharge and a possible upgrade.",,,,,,,,,,
19,893721,1/24/2011,Congressman Jeff Bingaman,writes regarding a constituent^’^1    |and her company Santa Fe Protective Services and their problem with a FPS Contract.,,,,,,,,,,
20,893789,1/24/2011,Congressman Marsha Blackburn,status of an appeal. I-290B,,,,,,,,,,
21,893447,1/19/2011,Congressman Jo Bonner,"Customer is proposing that Congress and DHS/USCIS create a servive center in Mobile Alabama, that would accommodate residents of that area.",,,,,,,,,,
22,S93601,,Congressman Jo Bonner,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,894174,1/27/2011,Congressman Jo Bonner,Requests information about possible grants for the Prodisee Pantry.,,,,,,,,,,
25,893579,1/21/2011,Congressman Cornne Brown,Customer is requesting assistance with withdrawning her affidavit of support for her husband.,,,,,,,,,,
26,893394,1/19/2011,Congressman Scott P. Brown,re the status of,,,,,,,,,,
27,893818,1/24/2011,Congressman Scott P. Brown,Status of an appeal,,,,,,,,,,
28,S94103,1/26/2011,Congressman Scott P. Brown,Re 1-601 waiver,,,,,,,,,,
29,892141,1/5/2011,Senator Richard M. Burr,Writes on behalf of constituent.who has concerns about previous tenants who may try to apply for visas.,,,,,,,,,,
30,892440,1/5/2011,Congressman Dan Burton,"Requests the status of his response to his October 26, 2010 letter expressing concern regarding violence on the southwest border.",,,,,,,,,,
31,893755,1/24/2011,Congressman John Campbell,Status of an Appeal I-290B,,,,,,,,,,
32,892375,1/6/2011,Congressman Eric Cantor,Customer is requesting assistance with his wife's 1-601 waiver.,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,894327,1/31/2011,Congressman Eric Cantor,Wrties on behalf of his constituent's son who is experiencing problems obtaining a permanent resident card for his wife.,,,,,,,,,,
36,892347,1/6/2011,Senator Benjamin L. Cardin,Writes on behal of a constituent who expresses concerns with not being chosen for an Immigration Officer position with USCIS.,,,,,,,,,,
37,892401,1/6/2011,Senator Robert P. Casey,"Writes in support of Nokomis, Inc’s application for the Small Businesss Innovation Research grant and requests full consideration.",,,,,,,,,,
38,892518,1/7/2011,Senator Robert P. Casey,Customer is concerned that her 1-485 application was closed in error by USCIS,,,,,,,,,,
39,893143,1/14/2011,Senator Robert P. Casey,Writes in support for a robust FY2012 budget for Project Global Shield.,,,,,,,,,,
40,893167,1/13/2011,Senator Robert P. Casey,"Writes reeardin.a constituent<D,(61    concerns with discrimination when he travels. Enclosed previous letters from Department on topic.",,,,,,,,,,
41,894057,1/26/2011,Congressman Kathy Castor,Status of an 1-601 waiver.,,,,,,,,,,
42,,,,,,,,,,,,,,
43,892320,1/5/2011,Congressman Jason Chaffetz,Writes regarding the incident at Salt Lake International Airport involving the pat-down of a child,,,,,,,,,,
44,892619,1/10/2011,Senator Saxby Chambliss,Customer is requestng the status of an appeal,,,,,,,,,,
45,893345,1/19/2011,Senator Thad Cochran,Writes to appeal the FEMA denial of time extension to rebuild a county jailhouse destroyed by Hurricane Katrina.,,,,,,,,,,
46,894237,1/28/2011,Congressman Stephen I. Cohen,Writes to request assistance on behalf of constituent concerning constituent's application for TWIC.,,,,,,,,,,
47,893513,1/19/2011,Congressman Gerry Connolly,"Writes, on behalf of constituent, concerning a claim filed with DHS/OGC.",,,,,,,,,,
48,893614,1/21/2011,Congressman Gerry Connolly,Customer is requesting assistance with his security clearance that was denied because his US passport was not excepted as proff of citizenship.,,,,,,,,,,
49,893758,1/24/2011,Senator Bob Corker,status of an I-129F,,,,,,,,,,
50,892566,1/10/2011,Senator Michael D. Crapo,Customer is requesting assistance with a petition filed on behalf of his wife.,,,,,,,,,,
51,,,,,,,,,,,,,,
52,893445,1/19/2011,Senator Michael D. Crapo,Customer is requesting assistance with getting her son in the US because of her critical medical situation,,,,,,,,,,
53,893805,1/24/2011,Congressman Ander Crenshaw,Status of an appeal of denied L485 applications.,,,,,,,,,,
54,894162,1/28/2011,Congressman Joseph Crowley,Re: status of an 1-730 petition.,,,,,,,,,,
55,893606,1/21/2011,Congressman Henry Cuellar,Customer is requesting the status of an 1-601 waiver for his wife.,,,,,,,,,,
56,892366,1/6/2011,Congressman Rosa L. DeLauro,Customer is requesting assistance with her son's immigration status.,,,,,,,,,,
57,892752,1/11/2011,"Congressman Charles W, Dent",Writes on behalf of constituent whose name keeps appearing on the terrorist watch list.,,,,,,,,,,
58,893076,1/13/2011,Congressman Charles W. Dent,"Writes on behalf of constituents, who are awaiting approval of their citizenship applications.",,,,,,,,,,
59,893738,1/24/2011,Congressman Lloyd Doggett,status of an 1-601 waiver,,,,,,,,,,
60,,,,,,,,,,,,,,
61,893739,1/24/2011,Congressman Michael Doyle,Customer is requesting theat the 1-90 application be expedited,,,,,,,,,,
62,892069,1/3/2011,Senator Richard J. Durbin,Writes on behalf of constituent who is following up on a FOIA request.,,,,,,,,,,
63,892148,1/5/2011,Congressman John Ensign,Writes on behalf of constituent who is detained by Homeland Security when arriving at the airport and feels he is being racially profiled against.,,,,,,,,,,
64,892567,1/10/2011,Senator Dianne Feinstein,Customer is requesting the status of his adopted son's HP application.,,,,,,,,,,
65,892624,1/10/2011,Senator Dianne Feinstein,Customer is requesting the status of an 1-601 waiver.,,,,,,,,,,
66,892715,1/11/2011,Senator Dianne Feinstein,Requests that her husband's 1-601 waiver be expedited so that he can help her care for their children.,,,,,,,,,,
67,892137,1/5/2011,Congressman Jeff Fortenberry,Request implementation of the Help Haitian Adoptees Immediately to Integrate Act of 2010 and assistance to families naturalizing adopted children.,,,,,,,,,,
68,894171,1/28/2011,Senator A1 Franken,Re the status of an 1-601 waiver.,,,,,,,,,,
69,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,
71,892563,1/10/2011,Senator Kirsten E. Gillibrand,Refugee Resettlement Program,,,,,,,,,,
72,892365,1/5/2011,Congressman Kay Granger,Requests deployment of National Guard Troops before the starting the Alien Transfer and Exit Program.,,,,,,,,,,
73,894374,1/31/2011,Senator Charles E. Grassley,Write to raise issues with the Government Accountability Office report and requests action to prevent H-1B visa fraud and abuse.,,,,,,,,,,
74,894445,1/31/2011,Senator Charles E. Grassley,Writes regarding ATF's Project Gunrunner.,,,,,,,,,,
75,892629,1/10/2011,Congressman Sam Graves,Customer is requesting assistance with an 1-601 waiver.,,,,,,,,,,
76,893547,1/20/2011,"Congressman Ralph M, Hall","Requests additional information and update for constituent, ID’W (‘b,(6'1    case for visa application.",,,,,,,,,,
77,894121,1/20/2011,Congressman Ralph M. Hall,"Requests additional information and update for constituent, (b)(6)    case for vjsa application.",,,,,,,,,,
78,893612,1/21/2011,Senator Tom Harkin,Status of an 1-290B,,,,,,,,,,
79,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,
81,892575,1/10/2011,Congressman Doc Hastings,Customer is requesting the status of an 1-130 petition for her husband.,,,,,,,,,,
82,893399,1/19/2011,Senator Orrin G. Hatch,Writes on behalf of constituent who is concerned about TSA's security procedures.,,,,,,,,,,
83,892967,1/12/2011,Congressman Martin Heinrich,"Writes on behalf of constituent,who was denied a visa.",,,,,,,,,,
84,893946,1/25/2011,Congressman Jeb Hensarling,Status of an Appeal,,,,,,,,,,
85,894100,1/26/2011,Congressman Brian Higgins,Requests support for the continuation of the Peace Bridge Expansion Project,,,,,,,,,,
86,893822,1/24/2011,Congressman Steny H. Hoyer,Customer is requesting assistance with a change of status deniel.,,,,,,,,,,
87,892616,1/10/2011,Congressman Jaylnslee,Customer is requesting assistance with a petition she filed on behalf of her son. A REE was sent to the incorrect address.,,,,,,,,,,
88,891941,12/30/2010,Senator Johnny Isakson,Writes on behalf of constituent who is always delayed at the airport when flying domestically or internationally due to CBP.,,,,,,,,,,
89,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,
91,892534,1/7/2011,Congressman Darrell Issa,Requests response to previous letters.,,,,,,,,,,
92,894177,1/26/2011,Congressman Darrell Issa,Request information on FOIA requests and political appointees.,,,,,,,,,,
93,893732,1/24/2011,Congressman Mike Kelly,Customer is requesting assistance with an 1-90 application for his wife,,,,,,,,,,
94,892434,1/7/2011,Congressman Peter T. King,Expresses desire to work closely with DHS in advance of the issuance of grant guidance for the fiscal year 2011 Transit Security Grant Program.,,,,,,,,,,
95,892759,1/11/2011,Congressman Jack Kingston,Writes on behalf of constituent who has filed a grievance against his employer/agency (CBP).,,,,,,,,,,
