Sort,X3,X4,X5,X6,FROM,DATE,SUBJECT,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES
2,WF#,Receive Date,Policy Congressional Report Opened Between 01/01/2013 and 01/31/2013,,,,,,,,,,,
3,,,Congressman Name,Subject of Request,,,,,,,,,,
4,971753,1/29/13,Senator Lamar Alexander,Department of State referral.,,,,,,,,,,
5,971774,1/29/13,Senator Lamar Alexander,Department of State referral.,,,,,,,,,,
6,969975,1/10/13,Congressman Jaime Herrera Beutler,Re an I-601-waiver.,,,,,,,,,,
7,969629,1/4/13,Congressman Gus M. Bilirakis,Form 1-485,,,,,,,,,,
8,970107,1/10/13,Senator Roy Blunt,Father is trying to get his family into the United States,,,,,,,,,,
9,971432,1/23/13,Senator Roy Blunt,Form I-290B case,,,,,,,,,,
10,,,,,,,,,,,,,,
11,969795,1/7/13,Congressman Charles W. Boustany,Re a penalty period that can be waived on a departure bond.,,,,,,,,,,
12,969879,1/9/13,Senator Sherrod Brown,Writes on behalf of a constituent regarding the pending finalization of this employment with the Federal Protective Service.,,,,,,,,,,
13,970982,1/15/13,Senator Sherrod Brown,Writes on behalf of his constituent regarding termination after she failed her Standard Operating Test three times.,,,,,,,,,,
14,971621,1/25/13,Congressman Larry Bucshon,Re an 1-140 petition.,,,,,,,,,,
15,969636,1/4/13,Senator Maria Cantwell,Wife filing for her husband Form 1-601,,,,,,,,,,
16,970399,1/15/13,Congressman Shelley Moore Capito,Writes on behalf of her constituent regarding the constituent's benefits as a contract security guard through Federal Protective Services.,,,,,,,,,,
17,970789,1/15/13,Congressman Shelley Moore Capito,Writes on behalf of a constituent regarding changes to his health insurance plan.,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,969369,12/31/12,Senator Benjamin L. Cardin,Writes on behalf of a constituent regarding the lack of food options offered in the new departure gates in the Munich Airport.,,,,,,,,,,
21,971107,1/18/13,Senator Benjamin L. Cardin,Writes on behalf of his constituent regarding his belief that he is being discriminated against by his supervisor.,,,,,,,,,,
22,970857,1/16/13,Congressman Mark E. Carter,Not completed,,,,,,,,,,
23,970808,1/15/13,Congressman Maria Raquel S. Carvalho,Not completed,,,,,,,,,,
24,969840,1/8/13,Senator Robert P. Casey,Writes on behalf of a constituent requesting a terrorist charge be expunged from record.,,,,,,,,,,
25,969482,1/3/13,Congressman Donna M. Christensen,Father files for 4 children Form 1-130,,,,,,,,,,
26,971019,1/17/13,Congressman Judy Chu,Re status of 1-485 cases.,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,969772,1/7/20I3,Congressman Yvette D. Clarke,Re an J-129F immigrant visa.,,,,,,,,,,
30,971878,1/30/13,Congressman Jim Cooper,Constituent is seeking help with his 1-730 case.,,,,,,,,,,
31,970832,1/16/13,Senator John Cornyn,"|W''    |s trying to have his daughter-in-law and her three children to immigration to U.S., currently residing in Doha (Qatar), ( British citizens)",,,,,,,,,,
32,971959,1/30/13,Congressman Tom Cotton,Re: Questions concerning the new regulations imposed upon the participants of the H2A program.,,,,,,,,,,
33,970885,1/16/13,Congressman Rick Crawford,Arkansas Regional Economic Development Center (AREDC),,,,,,,,,,
34,969533,1/3/13,Congressman Elijah E. Cummings,Wife writing for husband to clarify difficulties,,,,,,,,,,
35,970187,1/11/13,Congressman Elijah E. Cummings,Re status of an 1-485 application.,,,,,,,,,,
36,,,,,,,,,,,,,,
37,971645,1/25/13,Congressman Steve Dailies,Re an 1-485 application.,,,,,,,,,,
38,969841,1/8/13,Congressman Rosa L. DeLauro,Writes on behalf of constituent selling a new security system.,,,,,,,,,,
39,971728,1/29/13,Congressman Jeff Denham,Re an FDNS/I-751 case.,,,,,,,,,,
40,970891,1/16/13,"Congressman Theodore E, Deutch",Urges FEMA to thoroughly review appeal for assistance from Broward County that was denied.,,,,,,,,,,
41,969644,1/4/13,Congressman Jeff Duncan,Constituent tiling for beneficiary,,,,,,,,,,
42,971867,1/30/13,Congressman William Enyart,Writes on behalf of constituents (bX0>    |,,,,,,,,,,
43,,,,and <b'(61    |egarding immigration issues,,,,,,,,,,
44,971119,1/18/13,Congressman Blake Farenthold,Husband trying to get wife into the United States before he has surgery,,,,,,,,,,
45,969833,1/8/13,Senator Dianne Feinstein,Writes on behalf of constituent regarding concerns with the solicitation and terms of an upcoming contract.,,,,,,,,,,
46,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,
48,970791,1/15/13,Senator Dianne Feinstein,Writes regarding international students wanting to enter the country for flight school and requests assistance in expediting the process after their site inspection was performed in March 2012.,,,,,,,,,,
49,970839,1/16/13,Senator Dianne Feinstein,Wife's case pending deportment,,,,,,,,,,
50,969634,1/4/13,Congressman J. Randy Forbes,Wife trying to provide documents for her husband,,,,,,,,,,
51,971150,1/18/13,Congressman J. Randy Forbes,Fiancee wants to get fiance here to the United States,,,,,,,,,,
52,969910,1/8/13,Congressman Trent Franks,"Writes on behalf of constituent (W,6} who was detained by CBP at West Palm Beach Airport.",,,,,,,,,,
53,970149,1/11/13,Congressman Joe Garcia,Requests CBP dedicate greater resources to expedite passenger processing at Miami International Airport.,,,,,,,,,,
54,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,
56,969842,1/8/13,Congressman Chris Gibson,Writes on behalf of a constituent seeking a biweekly pay cap waiver for working the Republican and Democratic conventions.,,,,,,,,,,
57,969492,1/3/13,Senator Kirsten E. Gillibrand,Requests USCIS hold Form 1-485 and Form 1-130 in abeyance (DOMA).,,,,,,,,,,
58,971167,1/18/13,Senator Kirsten E. Gillibrand,Write regarding the Defense of Marriage Act (DOMA) and marriage-based immigration petitions.,,,,,,,,,,
59,969450,12/20/12,Senator Charles E. Grassley,"Write regarding the ICE arrest of Luis Abrahan Sanchez Zavaleta, an unpaid intern in the office of Senator Menendez.",,,,,,,,,,
60,969809,1/8/13,Senator Charles E. Grassley,Request a response to questions regarding the arrest of Luis Abrahan Sanchez Zavaleta.,,,,,,,,,,
61,,,,,,,,,,,,,,
62,969513,1/3/13,Congressman Tim Griffin,Request to reconsider expediting 1-924 application for EB-5 Regional Center status by the Regional Economic Development & Investment Group (REDIG) and Arkansas Regional Economic Development Center (AREDC).,,,,,,,,,,
63,970843,1/16/13,Congressman Morgan Griffith,Form I-129f for Petioner,,,,,,,,,,
64,969690,1/7/13,Congressman Raul M. Grijalva,"Expresses support for comprehesive immigration reform and suggests it include an increase in CBP personnel, improved port of entry infrastructure, and protection against racial profiling.",,,,,,,,,,
65,971690,1/25/13,Congressman Raul M. Grijalva,"Requests assistance on behalf of his constituent, who requests why his security clearance was revoked.",,,,,,,,,,
66,969843,1/8/13,Congressman Alcee L. Hastings,Writes on behalf of constituent requesting FEMA to restore her reputation.,,,,,,,,,,
67,971864,1/30/13,Senator Martin Heinrich,"Requested to retake tests for naturalization, constituent wants final results included",,,,,,,,,,
68,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,
70,969569,1/4/13,Congressman Chris Van HoIIen,Writes on behalf of constituent regarding 1-130 petition. (DOMA case),,,,,,,,,,
71,971752,1/29/13,Congressman Chris Van Hollen,(b)(6)    uggest that the Federal Goverment offer a combined process for applying for a pasport and naturalization at the same time.,,,,,,,,,,
72,971972,1/31/13,Congressman Jared Huffman,"(b),c?    has received an EB-5 visa for his business in Hawaii, and now want to know if he can use it for one in California? Also, would like to know the status and potential timig of this visa application.",,,,,,,,,,
73,971746,1/29/13,Congressman Steve Israel,Writes to request that FEMA allocate Hurricane Sandy funds for co-ops in New Y ork,,,,,,,,,,
74,971873,1/30/13,Congressman Darrell Issa,Writes for more information regarding the delay in arresting intern Luis Abraham Sanchez Zavaleta.,,,,,,,,,,
75,969469,12/20/12,Senator Ron Johnson,"Request information regarding the investigation of the U.S. Secret Service incident in Cartagena, Colombia.",,,,,,,,,,
76,,,,,,,,,,,,,,
77,971880,1/30/13,Congressman Walter B. Jones,Writes on behalf of constituent who requests that spouse citizenship is taken because of fear of safety.,,,,,,,,,,
78,971095,1/18/13,Congressman William R. Keating,Writes on behalf of his constituent who would like to continue to work until his 60th birthday as a Deportation Officer.,,,,,,,,,,
79,971390,1/23/13,"Congressman William R, Keating",Constituent filed for his wife and daughter,,,,,,,,,,
80,969836,1/8/13,Senator John F. Kerry,Writes on behalf of a constituent requesting information under the Freedom of Information Act.,,,,,,,,,,
81,969871,1/8/13,Senator John F. Kerry,"Writes on behalf of constituent regarding his pending 1-485, Application to Register Permanent Residence",,,,,,,,,,
82,970892,1/16/13,Senator John F. Kerry,Re an 1-612 waiver.,,,,,,,,,,
83,971631,1/25/13,Senator John F. Kerry,Re status on several 1-730 cases.,,,,,,,,,,
84,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,
86,969489,1/3/13,Congressman Jack Kingston,Mother moving to live near her son and daughter in law,,,,,,,,,,
87,969368,12/31/12,Senator Amy Klobuchar,"Writes on behalf of a constituent regarding frustrations with long lines at a TSA checkpoint, causing him to miss his connecting flight.",,,,,,,,,,
88,969844,1/8/13,Senator Amy Klobuchar,Writes on behalf of constituent (b)(6)    Regarding his recent notice of failure to re-certify and proposal removal.,,,,,,,,,,
89,971492,1/24/13,Senator Amy Klobuchar,Writes on behalf of a constituent regarding his frustrations with an audit conducted by DHS.,,,,,,,,,,
90,971494,1/24/13,Senator Amy Klobuchar,Writes regarding TSA denying him the right to board a flight because he was a security risk.,,,,,,,,,,
91,969393,12/31/12,Congressman Dennis J. Kucinich,Thanks the Secretary for her work in service of the American people.,,,,,,,,,,
92,,,,,,,,,,,,,,
93,969631,1/11/13,Senator Mary L. Landrieu,"As Chairwoman of Senate Appropriations Subcommittee on Homeland Security, requests USCIS provide information on transition adoption cases in Guatemala as needed.",,,,,,,,,,
94,970148,1/10/13,Senator Mary L. Landrieu,"As Chairwoman of Senate Appropriations Subcommittee on Homeland Security, requests USCIS provide information on Russian adoption cases.",,,,,,,,,,
95,969480,1/3/13,Congressman Sheila Jackson Lee,"Constituent was brought in United States, he wants to stay, asking for Request for Consideration of Prosecutorial Discretion",,,,,,,,,,
96,971792,1/29/13,Senator Carl Levin,"Writes in support of the inclusion of bicycle and pedestrian access on the New International Trade Crossing Bridge between Detroit, Michigan and Windsor, Ontario.",,,,,,,,,,
97,970263,1/14/13,Congressman Sander M. Levin,Mother trying to get her son a correct diagnosis here in the United States,,,,,,,,,,
98,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,
100,971962,1/30/13,Congressman Jean Ligocki,Not completed,,,,,,,,,,
101,971963,1/30/13,Congressman Sam Lubner,Not completed,,,,,,,,,,
102,970901,1/16/13,Congressman Ben Lujan,Writes to express appreciation for working with the Secretary regarding the implementation of REAL ID in New Mexico.,,,,,,,,,,
103,971016,1/17/13,Congressman Carolyn B. Maloney,Writes on behalf of a constituent regarding a $300 fine for not declaring food at Newark International Airport.,,,,,,,,,,
104,969773,1/7/13,Congressman Carolyn McCarthy,Constituent sent a copy of his Form 1-485,,,,,,,,,,
105,972029,1/31/13,Congressman Michael McCaul,Request that the Adminstration’s budget enable the Department to assume responsibility for the Tethered Aerostat Radar System (TARS).,,,,,,,,,,
106,971711,1/28/13,Senator Mitch McConnell,Re status of an 1-601 waiver.,,,,,,,,,,
107,971127,1/18/13,Congressman Gloria McLeod,Grandmother has any options with regard to fixing her granddaughter's citizenship's status,,,,,,,,,,
108,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,
110,971721,1/29/13,Congressman Grace Meng,Re status on an 1-730 petition.,,,,,,,,,,
111,971088,1/18/13,Congressman John L. Mica,Re: An H-1B case.,,,,,,,,,,
112,971207,1/22/13,Senator Barbara A. Mikulski,"Requests specific information on the impact that sequestor will have on Department operations, employees, contractors, and local economies.",,,,,,,,,,
113,971702,1/28/13,Congressman Gary G. Miller,"The Institute for Fair Elections is attempting to fgather statistics related to the number of persons seeking citizenship, who were declined due to having voted prior to becoming a citizen.",,,,,,,,,,
114,971488,1/24/13,Senator Jerry Moran,Writes on behalf of his constituent regarding the application process for hazmat certifications of a commercial drivers' license.,,,,,,,,,,
115,969466,1/3/13,Senator Bill Nelson,Appeal with officer,,,,,,,,,,
116,,,,,,,,,,,,,,
117,970795,1/16/13,Senator Bill Nelson,Re a pending 1-601 waiver.,,,,,,,,,,
118,970886,1/16/13,Senator Bill Nelson,Re an 1-360 case.,,,,,,,,,,
119,971493,1/24/13,Senator Bill Nelson,Writes on behalf of his constituent regarding the requirements to fly as an Air Marshal.,,,,,,,,,,
120,970993,8/3/11,Congressman Nelson Peacock,"USCIS REPORT TO CONGRESS - Characteristics of H-1B Specialty Occupation Workers FY2010 Annual Report (October 1,2009 - September 30, 2010)",,,,,,,,,,
121,970994,8/3/11,Congressman Nelson Peacock,"USCIS REPORT TO CONGRESS - Report on H-1B Petitions FY2010 Annual Report (October 1,2009 -September 30, 2010)",,,,,,,,,,
122,970995,8/1/11,Congressman Nelson Peacock,USCIS REPORT TO CONGRESS - Report on Certain Applications for Naturalization Pending Longer Than One Year as of December 2009 and December 2010,,,,,,,,,,
123,,,,,,,,,,,,,,
124,971008,7/29/11,Congressman Nelson Peacock,"USCIS REPORT TO CONGRESS - Report on Adjustments of Status Granted Under Section 13 of the Act of September 11, 1957 (October 1, 2010 to October 31, 2010)",,,,,,,,,,
