Sort,X2,X3,X4,X5,FROM,DATE,SUBJECT,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES
2,January Privacy Office Congressional Report Opened Between 01/01/2016 and 01/31/2016,,,,,,,,,,,,,
3,WF#,Receive Date,Congressman Name,Subject of Request,,,,,,,,,,
4,1117499,1/5/2016,Senator Cory A. Booker,Senator Booker is writing in on behalf of two fire departments in Pennsylvania that's having their grant recalled,,,,,,,,,,
5,1116572,1/6/2016,Congressman Madeleine Bordallo,Requests information for Guam REAL ID compliance standards.,,,,,,,,,,
6,1117835,1/19/2016,Congressman Benjamin Cardin,Senator Cardin writes in on behalf of one of his constituents who seeking help resolving issues she's having with supervisor and team lead,,,,,,,,,,
7,1117650,1/15/2016,Congressman John Carter,Urge the Administration to not house undocumented immigrants on military installations,,,,,,,,,,
8,1117637,1/14/2016,Congressman Robert Casey,Requests the Secretary meet him in Philadelphia to discuss CVE,,,,,,,,,,
9,1117621,1/13/2016,Congressman Barbara Comstock,Rep. Comstock writes on behalf of | <b>(6) regarding the status of her security clearance.,,,,,,,,,,
10,1116489,12/4/2015,Congressman Gerry Connolly,Representative Connolly writes on behalf of who js checking the status her employment application because she received a determination letter,,,,,,,,,,
11,1118120,1/28/2016,Congressman Bob Corker,Expresses concerns over the implementation of the Visa Waiver Program.,,,,,,,,,,
12,1118074,1/20/2016,Congressman Michaeleen Crowell,Requests USSS protection for Senator Bernard Sanders during his presidential campaign.,,,,,,,,,,
13,,,,,,,,,,,,,,
14,1117916,1/21/2016,Senator Ted Cruz,Requests information about the Department's alleged restrictions on investigator access to publicly accessible social media.,,,,,,,,,,
15,1116568,1/6/2016,Congressman Rosa Delauro,Requests information regarding recent immigration enforcement raids targeting families.,,,,,,,,,,
16,1116774,1/8/2016,Congressman Mario Diaz-Balart,Requests information on efforts to address the increasing number of Cuban refugees and the costs on communities receiving them.,,,,,,,,,,
17,1118015,1/27/2016,Congressman Jeff Flake,Request the immigration history of an individual who received deferred action under DACA.,,,,,,,,,,
18,1118054,1/28/2016,Congressman Jeff Flake,Requests an update on the Department’s plans regarding dual nationals impacted by recent changes to the Visa Waiver Program.,,,,,,,,,,
19,1118231,1/29/2016,Congressman Rodney Frelinghuysen,Forwards a letter from a former intern in Rep. Frelinghuysen’s office and I,,,,,,,,,,
20,1117294,1/11/2016,Congressman Bob Goodlatte,Writes with concern regarding stays recently issued in four removal cases by the Board of Immigration Appeals.,,,,,,,,,,
21,1116537,1/6/2016,Senator Charles E. Grassley,Requests information regarding vetting procedures for individuals from Specially Designated Countires (SDCs).,,,,,,,,,,
22,1117232,1/11/2016,Senator Charles E. Grassley,Requests the immigration history of two individuals.,,,,,,,,,,
23,1117417,1/11/2016,Senator Charles E. Grassley,Writes with concern regarding Cuban refugees currently in Costa Rica and seeking to travel to the United States.,,,,,,,,,,
24,1117803,1/20/2016,Senator Charles E. Grassley,Requests the immigration history of an individual.,,,,,,,,,,
25,,,,,,,,,,,,,,
26,1118224,1/29/2016,Senator Charles E. Grassley,Expresses concerns regarding the increased fees for certain HUB and L-l petitioners.,,,,,,,,,,
27,1117656,1/15/2016,Congressman Dean Heller,Requests information regarding the Relative Risk Profile issued by EEMA for the Las Vegas urban area.,,,,,,,,,,
28,1118150,1/29/2016,Congressman Michael Honda,Commends the Secretary for providing human trafficking awareness training at FLETC,,,,,,,,,,
29,1117921,1/22/2016,Congressman Jeh Charles Johnson,Write with concerns regarding the recent Immigration enforcement raids targeting mothers and children from Central America.,,,,,,,,,,
30,1117500,12/18/2015,Senator Ron Johnson,Requests an individual's immigration and criminal history,,,,,,,,,,
31,1118096,1/27/2016,Congressman Ron Johnson,Requests information regarding the implementation of the Visa Waiver Program Improvement and Terrorist Travel Prevention Act of 2015.,,,,,,,,,,
32,1118088,1/28/2016,Congressman Ron Johnson,Request information on how the Department intends to address the growing threat of the Zika virus in the US.,,,,,,,,,,
33,1117464,1/12/2016,Congressman Peter King,Requests information on the Department's plans to address radicalized prisoners who are to be released in the coming decades,,,,,,,,,,
34,1117546,1/13/2016,Congressman Peter T. King,Request information regarding the Department's participation in Capstone 16.,,,,,,,,,,
35,,,,,,,,,,,,,,
36,1118111,1/28/2016,Congressman Leonard Lance,"Congressman is writing on behalf of a constituent that is employed at ICE, who believes he is due overtime pay for work on the papal visit protection but is currently salary capped. Constituent believes or was told there was a waiver approved for employees such as himself that are salary capped to earn overtime.",,,,,,,,,,
37,1117934,1/22/2016,Congressman Zoe Lofgren,Writes to strongly condemn recent Department enforcement operations targeting refugees.,,,,,,,,,,
38,1118134,1/28/2016,Congressman Alan Lowenthal,|writes regarding his case with FPS.,,,,,,,,,,
39,1117611,1/14/2016,Congressman Sean Patrick Maloney,Rep. Maloney writes on behalf of|(b) | 1(b)(6) | regarding his (citizenship) status in the U.S.,,,,,,,,,,
40,1118108,1/28/2016,Congressman Kevin McCarthy,Express concerns over the implementation of the Visa Waiver Program.,,,,,,,,,,
41,1117922,1/22/2016,Congressman Claire McCaskill,Requests copies of all prior annual reports on the use of Other Transaction Authority by the Department.,,,,,,,,,,
42,1116320,12/28/2015,Congressman Michael McCaul,Requests answers to questions regarding TSA's screening for Terrorist threats.,,,,,,,,,,
43,1116462,1/4/2016,Congressman Michael McCaul,Request the Department's cooperation throughout the Committee's review of the Department's Intelligence Enterprise,,,,,,,,,,
44,1116835,,Congressman Michael McCaul,,,,,,,,,,,
45,1117629,1/14/2016,Congressman Michael McCaul,Writes with concerns regarding security gaps that exists within the processing of mail sent to the US,,,,,,,,,,
46,1116632,1/6/2016,Congressman Gregory Meeks,Requests the Department oversee the investigation at JFK airport regarding perimeter security.,,,,,,,,,,
47,,,,,,,,,,,,,,
48,1117465,1/1272016,Congressman Grace Meng,Urges the Department to allow homeless shelters to use funds from the Emergency Food and Shelter National Board Program for feminine hygiene products,,,,,,,,,,
49,1117898,1/21/2016,Senator Bill Nelson,"Recommends increased collaboration between federal agencies to mitigate the risk posed by UAS to aviation, critical infrastructure, and national security",,,,,,,,,,
50,1116324,12/28/2015,Congressman Scott Perry,Notifies the Department of the Committee's intent to investigation TSA employee misconduct.,,,,,,,,,,
51,1116687,1/7/2016,Congressman Scott Perry,Requests information on the management of the Department's vehicle fleet.,,,,,,,,,,
52,1117645,12/18/2015,Senator Rob Portman,Review of the policies and procedures of the Department in relation to the TECS database.,,,,,,,,,,
53,1117826,1/20/2016,Senator Harry Reid,Writes with concerns regarding FEMA’s calculation of the relative risk to Las Vegas.,,,,,,,,,,
54,1116453,1/4/2016,Congressman Martha Roby,Opposes HHS’ plan to house undocumented immigrant detainees at Maxwell-Gunter Air Force Base,,,,,,,,,,
55,1117857,1/20/2016,Congressman C. A. Dutch Ruppersberger,Writes with concerns about the CBP Multirole Enforcement Aircraft (MEA) program.,,,,,,,,,,
56,1116328,1/4/2016,Congressman Gregorio Sablan,Requests that the situation concerning the backlog of CW-1 permit renewals be addressed.,,,,,,,,,,
57,1116642,1/7/2016,Congressman Bernard Sanders,Urges the Department employ administrative relief to vulnerable groups who have been targeted by recent raids.,,,,,,,,,,
58,,,,,,,,,,,,,,
59,1117815,1/20/2016,Congressman Charles Schumer,Requests an update on the Department's efforts to field the Ultralight Aircraft Detection (ULAD) System.,,,,,,,,,,
60,1118070,1/28/2016,Congressman Jeanne Shaheen,Urges a coordinated and comprehensive response to the Zika virus.,,,,,,,,,,
61,1116717,1/7/2016,Congressman Adam Smith,Expresses concerns over ICE’s deportation of undocumented women and children.,,,,,,,,,,
62,1117529,1/13/2016,Congressman Bennie G. Thompson,Writes to express great concern about the Department's recent enforcement operations targeting families from Central America.,,,,,,,,,,
63,1117718,1/19/2016,Congressman Fred Upton,Requests the Department reopen the case of an individual for relief under the Conventions Against Torture (CAT) protections.,,,,,,,,,,
64,1118262,1/29/2016,Congressman Chris Van Hollen,Representative Van Hollen writes in support of | who applied for a Job with USCIS,,,,,,,,,,
65,1117439,1/11/2016,Congressman Brad Wenstrup,Rep. Wenstrup forwards concerns from J regarding his wait for his security clearance and background check.,,,,,,,,,,
66,,,,,,,,,,,,,,
67,February Privacy Office Congressional Report Opened Between 02/01/2016 and 02/29/2016,,,,,,,,,,,,,
68,WF#,Receive Date,Congressman Name,Subject of Request,,,,,,,,,,
69,1118895,2/9/2016,Congressman Sanford D. Bishop,Expresses concern on the defederalization of the Middle Georgia Regional Airport (MCN).,,,,,,,,,,
70,1119196,2/16/2016,Senator Richard Blumenthal,"Requests the Department to provide the strategy to develop an interoperable communications system relating to H.R. 615, the DHS Interoperable Communications Act.",,,,,,,,,,
71,1119006,2/11/2016,Senator Cory A. Booker,Write with concern regarding Homeland Security Grant Program funding for New Jersey.,,,,,,,,,,
72,1118818,2/4/2016,Congressman Cheri Bustos,Expresses concern about new security procedures for the Rock Island Arsenal.,,,,,,,,,,
73,1119035,2/11/2016,Congressman Shelley Moore Capito,Senator Capito writes on behalf of (b) regarding his being removed from his position because FPS pulled his suitability.,,,,,,,,,,
74,1119601,2/24/2016,Congressman Thomas Carper,Requests response regarding the Federal Cybersecurity Enhancement Act of 2015 and the EINSTEIN system.,,,,,,,,,,
75,1119011,2/10/2016,Congressman Jason Chaffetz,Requests information related to USSS's Policies.,,,,,,,,,,
76,1119256,1/21/2016,Congressman Jason Chaffetz,"Wrote to Director Saldana requesting supporting documents for an investigation involving former ICE Senior Advisor for Cybercrime Alvin Smith, detailed from the USSS in 2015",,,,,,,,,,
77,1119373,2/19/2016,Congressman Jason Chaffetz,Requests information about the Department's inventory controls and procedures for reporting lost or stolen items.,,,,,,,,,,
78,,,,,,,,,,,,,,
79,1119555,2/23/2016,Congressman Jason Chaffetz,Requests information regarding federal employees who receive taxpayer salaries and benefits for official time duties.,,,,,,,,,,
80,1119707,2/24/2016,Congressman Jason Chaffetz,Requests information regarding the Department's IT systems.,,,,,,,,,,
81,1118923,2/10/2016,Congressman John Conyers,Request information regarding the Department's implementation of recent changes to the Visa Waiver Program.,,,,,,,,,,
82,1119654,2/17/2016,Congressman Ander Crenshaw,Rep. Crenshaw writes on behalf of (b)(6) regarding his claim for eligibility for Post 9/11 GI Bill benefits.,,,,,,,,,,
83,1119145,2/12/2016,Congressman Carlos Curbelo,Requests assistance on behalt oi 1(b)(6) | (b)(6) | in obtaining admission to the United States.,,,,,,,,,,
84,1119185,2/16/2016,Congressman Carlos Curbelo,Requests information regarding constituent's discharge from USCG,,,,,,,,,,
85,1119139,2/11/2016,Congressman Ron Desantis,"Request testimony at a hearing on February 10, 2016 titled ""The President’s Waiver of Restrictions on the Visa Waiver Program."" The letter was received on 2/11/16, the day after the hearing, at which Commissioner Kerlikowske testified.",,,,,,,,,,
86,1119834,2/25/2016,Congressman Mario Diaz-Balart,"Rep. Mario Diaz-Balart invites Asst. Sec. Johnson to participate in an Identity Theft Prevention seminar on March 30th and March 31st in Naples, FL and Miami Lakes, FL respectively.",,,,,,,,,,
87,1118940,2/4/2016,Congressman Shaun Donovan,"Responds on behalf of Secretary Johnson. Response is to the ""Stop the Bleed"" campaign.",,,,,,,,,,
88,1118866,2/4/2016,Congressman Jeff Duncan,"Requests information on U.S. national security implications of U.S. actions with Cuba,",,,,,,,,,,
89,,,,,,,,,,,,,,
90,1118777,2/5/2016,Senator Richard J. Durbin,Writes regarding Illinois’ REAL ID status.,,,,,,,,,,
91,1119065,2/11/2016,Senator Richard J. Durbin,Write regarding recent changes to the Visa Waiver Program and their effect on certain dual nationals.,,,,,,,,,,
92,1119780,2/25/2016,Congressman Rodney Frelinghuysen,Writes to highlight the following areas that are of critical importance to New Jersey in the Department’s budget request.,,,,,,,,,,
93,1119948,2/29/2016,Congressman Bob Goodlatte,"Requests alien registration on an individual in Columbus, Ohio.",,,,,,,,,,
