comid,UltOrg,Affiliate,PACShort
C00141879,PETRO; Deblois Oil,"NA",Deblois Oil
C00141945,Hunt Companies; Rrh Corp,"NA",Hunt Oil
C00142158,Ogden Corp; Covanta Energy Corp; Covanta Holding,"NA",Ogden Corp; Covanta Energy Corp
C00142489,Allete Inc; Minnesota Power & Light; Minnesota Power,"NA",Allete Inc; Minnesota Power & Light; Minnesota Power
C00144147,Southern Co,Southern Co,Mississippi Power
C00144774,Southern Co,Southern Co,Southern Co
C00144824,Piedmont Natural Gas; Duke Energy,NA; Duke Energy,Piedmont Natural Gas
C00145037,AGL Resources; Southern Co Gas; Atlanta Gas Light Co,AGL Resources; Southern Co Gas; NA,AGL Resources; Southern Co Gas; Atlanta Gas Light Co
C00145540,American Electric Power,American Electric Power,Ohio Power
C00145722,Murphy Oil,NA; Murphy Oil,Murphy Oil
C00146084,Williams Companies,Williams Companies,Williams Companies
C00147256,Occidental Petroleum,Occidental Petroleum,Midcon Corp; MidCon Corp
C00147819,NiSource Inc; Bay State Gas,NiSource Inc; NA,Bay State Gas
C00147918,Ecology & Environment Inc,"NA",Ecology & Environment Inc
C00148106,Red Apple Group,"NA",United Refining
C00148411,Wickland Oil,"NA",Wickland Oil
C00149484,Progress Energy; Florida Power; Florida Progress Corp,Progress Energy; NA,Florida Power
C00149765,National Assn of Texaco Wholesalers,"NA",National Assn of Texaco Wholesalers
C00151175,Equitable Resources; EQT Corp,"NA",Equitable Resources; EQT Corp
C00152934,Permian Corp; National Intergroup,NA; National Intergroup,Permian Corp
C00153379,Sierra Pacific Resources; NV Energy; Berkshire Hathaway,NA; Berkshire Hathaway; Sierra Pacific Resources,Sierra Pacific Resources; NV Energy
C00156471,Energy East Corp; New York State Electric & Gas,Energy East Corp; NA,New York State Electric & Gas
C00157107,Dynegy Inc; Illinois Power,Dynegy Inc; NA,Illinois Power
C00158113,American Electric Power,American Electric Power,Columbus Southern Power
C00159244,Associated Retail Gasoline Dealers,"NA",Petroleum Retailers & Auto Repair Assn
C00159418,MCN Energy Group; DTE Energy; Michigan Consolidated Gas,NA; DTE Energy,MCN Energy Group; Michigan Consolidated Gas
C00160085,Dominion Resources; Consolidated Natural Gas,Dominion Resources; Consolidated Natural Gas,CNG Producing Co
C00160101,Exelon Corp; Philadelphia Electric; PECO Energy,Exelon Corp; NA,PECO Energy; Philadelphia Electric
C00161422,TECO Energy,"NA",TECO Energy
C00161570,American Public Power Assn,"NA",American Public Power Assn
C00161745,PacifiCorp; Kennecott Corp,PacifiCorp; Kennecott Corp,Nerco Oil & Gas
C00162396,Missouri Public Service Co,"NA",Missouri Public Service Co
C00163253,MDU Resources Group,"NA",MDU Resources Group
C00164244,DQE Inc; Duquesne Light Holdings; Duquesne Light Co,NA; Duquesne Light Co,Duquesne Light Co
C00164970,Nicor Inc; AGL Resources,NA; AGL Resources,Nicor Inc
C00165290,FirstEnergy Corp; Pennsylvania Power,FirstEnergy Corp; NA,Pennsylvania Power
C00165878,Cleco Corp; Central Louisiana Electric,"NA",Cleco Corp; Central Louisiana Electric
C00166082,Independent Oil & Gas Assn of PA; Pennsylvania Natural Gas; Independent Oil & Gas Assn of Pa,"NA",Independent Oil & Gas Assn of PA; Pennsylvania Natural Gas; Independent Oil & Gas Assn of Pa
C00167106,Northeast Utilities,Northeast Utilities,Public Service Co of New Hampshire
C00167940,Kroger Co,Kroger Co,Mini Mart
C00172015,Gulf Coast Assn of Alabama,"NA",Gulf Coast Assn of Alabama
C00174136,Ocean Drilling & Exploration Co,"NA",Ocean Drilling & Exploration Co
C00174367,Northwest Natural Gas,"NA",Northwest Natural Gas
C00177469,PG&E Corp; Pacific Gas & Electric,PG&E Corp; NA,PG&E Corp; Pacific Gas & Electric
C00183434,Independent Oil Producers' Agency,"NA",Independent Oil Producers' Agency
C00185975,Cooperative Power Assn,"NA",Cooperative Power Assn
C00187799,NorthWestern Corp; Northwestern Public Service Co,NA; NorthWestern Corp; Northwestern Public Service Co,NorthWestern Energy; Northwestern Public Service Co
C00190306,American Wind Energy Assn,NA; American Wind Energy Assn,American Wind Energy Assn
C00190652,Southwestern Energy,"NA",Southwestern Energy
C00190983,Environmental Elements Corp,"NA",Environmental Elements Corp
C00193185,Cincinnati Gas & Electric; Cinergy Corp,NA; Cinergy Corp,Cincinnati Gas & Electric
C00194852,Foster Wheeler,"NA",Foster Wheeler
C00195776,Lear Petroleum Corp,"NA",Lear Petroleum Corp
C00197855,Reliant Energy; Arkla Inc; NorAm Energy; Houston Industries,Reliant Energy; Arkla Inc; NorAm Energy; Houston Industries,NorAm Energy; Arkla Inc
C00198366,Dominion Resources; Consolidated Natural Gas; Hope Gas,Dominion Resources; Consolidated Natural Gas; NA,Hope Gas
C00198440,Kansas Gas & Electric,"NA",Kansas Gas & Electric
C00199653,Stewart & Stevenson,"NA",Stewart & Stevenson
C00200907,Scana Corp,"NA",Scana Corp
C00202564,Mesa Petroleum,Mesa Petroleum,Mesa Petroleum
C00202853,Iowa Electric Light & Power; IES Industries Inc,"NA",Iowa Electric Light & Power; IES Industries Inc
C00202911,Crown Central Petroleum,"NA",Crown Central Petroleum
C00203653,Independent Energy Producers PAC,"NA",Independent Energy Producers PAC
C00204180,FuelCell Energy; Energy Research Corp,"NA",FuelCell Energy; Energy Research Corp
C00205047,RGS Energy; Rochester Gas & Electric,"NA",Rochester Gas & Electric
C00206136,Ameren Corp; Union Electric,"NA",Ameren Corp; Union Electric
C00206995,Rosewood Corp,"NA",Rosewood Corp
C00207761,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Virginia ACRE
C00207878,Sierra Pacific Resources,Sierra Pacific Resources,Sierra Pacific Resources
C00208249,Empire District Electric; Liberty Utilities,NA; Liberty Utilities,Empire District Electric
C00208520,Kentucky Utilities,"NA",Kentucky Utilities
C00209940,Greater Wash/Md Service Station Assn,"NA",Greater Wash/Md Service Station Assn
C00210534,Pekin Energy,"NA",Pekin Energy
C00211615,UtiliCorp United; Aquila Inc; Great Plains Energy,NA; Great Plains Energy; UtiliCorp United,UtiliCorp United; Aquila Inc; Black Hills Energy
C00213090,Pride Refining Co,"NA",Pride Refining Co
C00214429,Centerior Energy Corp; FirstEnergy Corp,Centerior Energy Corp; FirstEnergy Corp,Centerior Energy Corp; FirstEnergy Corp
C00214601,Americans for Sound Energy Policy,"NA",Americans for Sound Energy Policy
C00214940,Public Service Enterprise Group; Public Service Electric & Gas Company,NA; Public Service Enterprise Group,Public Service Electric & Gas; Public Service Electric & Gas Company
C00215384,ONEOK Inc; Oneok Inc,NA; ONEOK Inc,ONEOK Inc; Oneok Inc
C00215509,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Idaho ACRE
C00215921,Public Service Co of NH/Yankee Div; Public Service Co of NH,NA; Public Service Co of NH,Public Service Co of NH/Yankee Div
C00215939,Ultramar Diamond Shamrock; Diamond Shamrock R&M Inc; Diamond Shamrock Inc,"NA",Ultramar Diamond Shamrock; Diamond Shamrock R&M Inc; Diamond Shamrock Inc
C00216341,UIL Holdings; Iberdrola SA; United Illuminating,NA; Iberdrola SA,United Illuminating
C00218040,Western Resources Inc; Westar Energy; KPL Gas Service,"NA",Western Resources Inc; Westar Energy; KPL Gas Service
C00219774,WPS Resources; Upper Peninsula Power,WPS Resources; NA,Upper Peninsula Power
C00220269,Basin Electric Power Co-op; Basin Electric Power Co-Op,"NA",Basin Electric Power Co-op; Basin Electric Power Co-Op
C00222109,Atlantic City Electric,"NA",Atlantic City Electric
C00226548,TXU Corp; Energy Future Holdings Corp; Vistra Energy; Texas Utilities Co,TXU Corp; Energy Future Holdings Corp; Vistra Energy; Texas Utilities Co,TXU Corp; Energy Future Holdings Corp; Vistra Energy; Texas Utilities Co
C00228106,PPL Corp; Pennsylvania Power & Light; PP&L Resources,NA; PPL Corp,PPL Corp; Pennsylvania Power & Light
C00228759,Oxford Energy Co,"NA",Oxford Energy Co
C00228866,United Gas Pipe Line Co; Koch Industries,NA; Koch Industries,United Gas Pipe Line Co; Koch Gateway Pipeline
C00230714,New Jersey Resources Corp,"NA",New Jersey Resources Corp
C00230821,National Independent Energy Producers,"NA",National Independent Energy Producers
C00231571,Graham Resources,"NA",Graham Resources
C00231910,Service Station Dealers Assn/Michigan; Service Station Dealers Assn/Mich,"NA",Service Station Dealers Assn/Michigan; Service Station Dealers Assn/Mich
C00231951,Anadarko Petroleum,Anadarko Petroleum; NA,Anadarko Petroleum
C00234773,Oryx Energy,"NA",Oryx Energy
C00234963,American Electric Power,American Electric Power,American Electric Power Fuel Supply
C00235556,CNG Development Co,"NA",CNG Development Co
C00235986,American Electric Power,American Electric Power,Appalachian Power
C00236067,Harza Engineering,"NA",Harza Engineering
C00236489,Koch Industries,NA; Koch Industries,Koch Industries
C00240069,Vectren Corp; Southern Indiana Gas & Electric,"NA",Southern Indiana Gas & Electric; Vectren Corp
C00242370,Montgomery Watson Americas; MWH Global; Montgomery Engineering,"NA",Montgomery Watson Americas; MWH Americas; Montgomery Engineering
C00242792,TEX/CON Oil & Gas,"NA",TEX/CON Oil & Gas
C00243444,EnergySouth; Sempra Energy; Mobile Gas Service Corp,NA; Sempra Energy,Mobile Gas Service Corp; EnergySouth
C00243865,Cabot Oil & Gas,"NA",Cabot Oil & Gas
C00246033,Entergy Corp,Entergy Corp,Entergy Operations
C00246306,Independent Petroleum Assn of America,Independent Petroleum Assn of America; NA,Independent Petroleum Assn of America
C00246579,Halliburton Co,Halliburton Co,NUS Corp; Halliburton NUS Environmental Corp
C00247510,Powell Industries,"NA",Powell Industries
C00247775,PowerGen; Eon AG; PPL Corp; Louisville Gas & Electric,NA; PPL Corp,Louisville Gas & Electric; Eon US
C00248583,Burlington Northern,Burlington Northern,El Paso Natural Gas
C00249599,Dow Chemical; Destec Energy,Dow Chemical; NA,Destec Energy
C00250910,AGL Resources; Virginia Natural Gas,AGL Resources; NA,Virginia Natural Gas
C00251843,Roy F Weston Inc; Weston Solutions,"NA",Roy F Weston Inc; Weston Solutions
C00252437,Kamo Electric Cooperative,"NA",Kamo Electric Cooperative
C00255950,TXU Corp; Energy Future Holdings Corp; Vistra Energy; Texas Utilities Co,TXU Corp; Energy Future Holdings Corp; Vistra Energy; Texas Utilities Co,TXU Corp; Energy Future Holdings Corp; Vistra Energy; Texas Utilities Co
C00255992,TXU Corp; Energy Future Holdings Corp,TXU Corp; Energy Future Holdings Corp,TXU Corp; Oncor Group; TXU Electric Delivery; Oncor Electric Delivery
C00256958,Giant Industries,"NA",Giant Industries
C00258335,Entergy Corp,Entergy Corp,Entergy Operations
C00259572,American Wind Energy Assn,NA; American Wind Energy Assn,American Wind Energy Assn
C00259622,Red Apple Group,"NA",United Refining
C00260463,Entergy Corp,Entergy Corp,Louisiana Power & Light/New Orleans; Louisiana Power & Light
C00262204,Tractebel Power,"NA",Tractebel Power
C00265595,AES Corp; AES Shady Point,AES Corp; NA,AES Corp; AES Shady Point
C00267955,Western Farmers Electric Cooperative,"NA",Western Farmers Electric Cooperative
C00271361,Berkshire Hathaway; California Energy,Berkshire Hathaway; NA,California Energy
C00276485,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Wyoming ACRE
C00279224,Apache Corp,"NA",Apache Corp
C00279331,CONSOL Energy,"NA",CONSOL Energy
C00280933,Duquesne Light Co,Duquesne Light Co,Duquesne Light Co
C00281618,Total Petroleum Inc,"NA",Total Petroleum Inc
C00282053,Nuclear Fuel Services,"NA",Nuclear Fuel Services
C00285486,United Cities Gas Co,"NA",United Cities Gas Co
C00287508,OHM Corp,"NA",OHM Corp
C00292136,Otter Tail Corp,"NA",Otter Tail Power; Otter Tail Corp
C00292243,Missouri Gas Energy,"NA",Missouri Gas Energy
C00292375,Northwestern Public Service Co,Northwestern Public Service Co,Northwestern Public Service Co
C00295659,Triton Energy; Amerada Hess Corp,"NA",Triton Energy; Amerada Hess Corp
C00296533,Southern Co,Southern Co,Savannah Electric & Power
C00296616,Shell Oil; Central & South West Corp,Shell Oil; Central & South West Corp,Tejas Energy & Coral Energy; Transok Inc; TransOK Inc
C00298596,NiSource Inc; NIPSCO Industries,NiSource Inc; NA,NiSource Inc; Northern Indiana Public Service Co; NIPSCO Industries
C00298752,Chevron Corp,Chevron Corp,Chevron Corp/Texas
C00300137,Torch Energy Advisors,"NA",Torch Energy Advisors
C00300368,Entergy Corp,Entergy Corp,Entergy Corp
C00304964,Cinergy Corp; Duke Energy,NA; Duke Energy; Cinergy Corp,Cinergy Corp
C00307488,Georgia Assn of Petroleum Retailers,"NA",Georgia Assn of Petroleum Retailers
C00308718,XTO Energy,"NA",XTO Energy
C00317735,Environmental Chemical Corp,"NA",Environmental Chemical Corp
C00318766,Independent Petroleum Assn of America; California Independent Petroleum Assn,Independent Petroleum Assn of America; NA,California Independent Petroleum Assn
C00319194,Georgia Oilmen's Assn,"NA",Georgia Oilmen's Assn
C00323196,Anadarko Petroleum; Union Pacific Resources Group,Anadarko Petroleum; NA,Anadarko Petroleum; Union Pacific Resources Group
C00323444,Oil Heat Institute of Long Island,"NA",Oil Heat Institute of Long Island
C00324483,Berkshire Hathaway; MidAmerican Energy,Berkshire Hathaway; MidAmerican Energy,MidAmerican Energy; Berkshire Hathaway Energy
C00325183,Tenneco Inc; El Paso Natural Gas,Tenneco Inc; NA,Tenneco Energy
C00326009,Electric Power Supply Assn,"NA",Electric Power Supply Assn
C00326306,Entergy Corp,Entergy Corp,Entergy Enterprises
C00326447,Petroleum Marketers Assn,Petroleum Marketers Assn,Alabama Oilmens Assn
C00326579,Allegheny Energy,Allegheny Energy,Allegheny Energy
C00326603,PG&E Corp,PG&E Corp,PG&E Gas Transmission Texas
C00328971,Integrated Waste Services Assn,"NA",Integrated Waste Services Assn
C00329201,Midstream Fuel Service,"NA",Midstream Fuel Service
C00330837,Wyoming Refining,"NA",Wyoming Refining
C00332734,Xcel Energy; New Century Energies,Xcel Energy; New Century Energies,Xcel Energy; New Century Energies
C00333534,Reliant Energy; CenterPoint Energy; Houston Industries,Reliant Energy; CenterPoint Energy; NA; Houston Industries,Reliant Energy; CenterPoint Energy; Entex
C00333625,Unisource Energy,"NA",Unisource Energy
C00335232,Allegheny Energy,Allegheny Energy,Allegheny Energy
C00335588,Water Systems Council,"NA",Water Systems Council
C00337808,OGE Energy,OGE Energy; NA,OGE Energy
C00337881,Oregon Gasoline Dealers Assn,"NA",Oregon Gasoline Dealers Assn
C00340836,National Ground Water Assn,"NA",National Ground Water Assn
C00341784,Peoples Energy; Integrys Energy Group,NA; Integrys Energy Group,Peoples Energy; Integrys Energy Group
C00342766,Frontier Oil; HollyFrontier Corp,"NA",Frontier Oil; HollyFrontier Corp
C00343988,KeySpan Energy; National Grid plc,KeySpan Energy; NA; National Grid plc,KeySpan Energy; National Grid USA
C00344226,Dominion Resources,Dominion Resources,Dominion Resources
C00350066,Conoco Inc; ConocoPhillips,NA; ConocoPhillips,Conoco Inc; ConocoPhillips
C00350363,Dynegy Inc,Dynegy Inc; NA,Dynegy Inc
C00350710,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Georgia ACRE
C00352674,Great River Energy,"NA",Great River Energy
C00353169,Pennzoil-Quaker State,Pennzoil-Quaker State; NA,Pennzoil-Quaker State
C00354035,Natural Fuel Gas Co,"NA",Seneca Resources
C00354753,Devon Energy,"NA",Devon Energy
C00355719,USEC Inc,"NA",USEC Inc
C00358366,Tesoro Petroleum; Tesoro Corp; Marathon Petroleum,Tesoro Petroleum; NA; Marathon Petroleum,Tesoro Petroleum; Tesoro Corp; Andeavor
C00362640,Calpine Corp,"NA",Calpine Corp
C00363796,AES Eastern Energy,"NA",AES Eastern Energy
C00363879,Entergy Corp,Entergy Corp,Entergy Corp
C00365007,Mirant Corp,"NA",Mirant Corp
C00365502,McDermott International; Babcock & Wilcox; Babcock & Wilcox Enterprises,McDermott International; NA,Babcock & Wilcox Enterprises
C00366559,Xcel Energy; NRG Energy,Xcel Energy; NA; NRG Energy,NRG Energy
C00368092,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Louisiana ACRE
C00371062,Caithness Energy,NA; Caithness Energy,Caithness Energy
C00375568,Tractebel North America; GDF Suez Energy North America; GDF SUEZ; ENGIE,"NA",Tractebel North America; GDF Suez Energy North America; ENGIE North America
C00376848,Syntroleum Corp,"NA",Syntroleum Corp
C00377754,Florida Municipal Electric Assn,"NA",Florida Municipal Electric Assn
C00379396,Panda Energy International,"NA",Panda Energy International
C00381020,Enron Corp; Portland General Electric,Enron Corp; NA,Portland General Electric
C00381954,Atmos Energy,"NA",Atmos Energy
C00383489,Public Service Enterprise Group,Public Service Enterprise Group; NA,Public Service Enterprise Group
C00385831,Southern Union Co,Southern Union Co,New England Gas Co
C00385849,PEPCO Holdings; Exelon Corp,PEPCO Holdings; Exelon Corp,PEPCO Holdings
C00387878,EnviroCare of Utah,"NA",EnviroCare of Utah
C00388462,"Kohlberg, Kravis et al; ITC Holdings; Fortis Inc",NA; Fortis Inc,International Transmission Co; ITC Holdings
C00388751,Headwaters Inc,"NA",Headwaters Inc
C00388983,Arcadis NV,NA; Arcadis NV,Arcadis G&M; Arcadis US
C00389288,Chesapeake Energy,"NA",Chesapeake Energy
C00390062,Missouri Farmers for Biodiesel,"NA",Missouri Farmers for Biodiesel
C00390989,Westar Energy; Evergy Inc,NA; Evergy Inc,Westar Energy; Evergy Inc
C00396085,Hannon Armstrong Capital,"NA",Hannon Armstrong Capital
C00398255,Aiken Electric Cooperative,"NA",Aiken Electric Cooperative
C00398545,Millennium Cell,"NA",Millennium Cell
C00402941,Great Plains Energy,Great Plains Energy,Strategic Energy
C00404079,PG&E Corp,PG&E Corp,PG&E Corp
C00406801,Energy East; Iberdrola SA,NA; Iberdrola SA,Energy East; Iberdrola USA; Avangrid
C00407635,Consolidated Edison Inc,Consolidated Edison Inc; NA,Consolidated Edison Inc
C00409565,National Ocean Industries Assn,"NA",National Ocean Industries Assn
C00410597,Siouxland Energy & Livestock Cooperative,"NA",Siouxland Energy & Livestock Cooperative
C00414169,Berkeley Electric Cooperative,"NA",Berkeley Electric Cooperative
C00414490,Golden Grain Energy,"NA",Golden Grain Energy
C00415026,National Petrochemical & Refiners Assn; American Fuel & Petrochem Manufacturers,"NA",National Petrochemical & Refiners Assn; American Fuel & Petrochem Manufacturers
C00418384,Midwest Grain Processors,"NA",Midwest Grain Processors
C00420950,Pioneer Natural Resources,"NA",Pioneer Natural Resources USA
