comid,UltOrg,Affiliate,PACShort
C00545319,Dominion Resources,Dominion Resources,Dominion Resources; Dominion Energy/Connecticut
C00548164,Proliance Energy,"NA",Proliance Energy
C00551184,Continental Resources,"NA",Continental Resources
C00554444,ONE Gas,"NA",ONE Gas
C00554691,Kentucky Oil & Gas Assn,"NA",Kentucky Oil & Gas Assn
C00555276,Distributed Wind Energy Assn,"NA",Distributed Wind Energy Assn
C00557322,Hess Corp,"NA",Hess Corp
C00558411,US Venture Inc,"NA",US Venture Inc
C00558718,Genie Energy,"NA",Genie Energy
C00558759,PDC Energy,"NA",PDC Energy
C00559542,National Assn of Royalty Owners,"NA",National Assn of Royalty Owners
C00560078,Secure Energy for America Assn,Secure Energy for America Assn; NA,Secure Energy for America Assn
C00563585,Jordan Cove Energy Project,"NA",Jordan Cove Energy Project
C00564575,Valley Electric Assn,"NA",Valley Electric Assn
C00565309,Mitsubishi Hitachi Power Systems,"NA",Mitsubishi Hitachi Power Systems
C00569095,OwnEnergy Inc,"NA",OwnEnergy Inc
C00575340,TransCanada Corp,TransCanada Corp,Columbia Pipeline Group
C00577072,Babcock & Wilcox Enterprises,"NA",Babcock & Wilcox Enterprises
C00577155,Apex Clean Energy,"NA",Apex Clean Energy
C00579367,Vistra Energy,Vistra Energy,Dynegy Inc
C00580654,Gulfport Energy,"NA",Gulfport Energy
C00590265,Veresen Inc,"NA",Jordan Cove LNG
C00608323,Atlas Properties,Atlas Properties,Brightergy LLC
C00608331,GPA Midstream Assn,"NA",GPA Midstream Assn
C00610782,Southern Co,Southern Co,Gulf Power
C00613133,Delta Air Lines,Delta Air Lines,Monroe Energy
C00620914,Enable Midstream Partners,"NA",Enable Midstream Partners
C00621011,Plug Power Inc,"NA",Plug Power Inc
C00624643,Water Quality Assn,"NA",Water Quality Assn
C00624833,Americans for Electricity Choice Action,"NA",Americans for Electricity Choice Action
C00629410,Cypress Creek Renewables,"NA",Cypress Creek Renewables
C00632588,8Minutenergy Renewables,"NA",8Minutenergy Renewables
C00635516,Tellurian Inc,"NA",Tellurian Inc
C00635615,Caithness Energy,Caithness Energy,Caithness Services
C00637322,Par Pacific Holdings,"NA",Par Pacific Holdings
C00646992,World Energy Inc,"NA",World Energy Inc
C00658831,Siouxland Ethanol,"NA",Siouxland Ethanol
C00660902,CNX Resources,"NA",CNX Resources
C00660928,Energy Freedom Advocates,"NA",Energy Freedom Advocates
