IDs,company_short,company_short_refs,n
20141121-0009; 20040312-0255,NO,NO,44
20040322-0258; 20040312-0255,Regional Transmission Organization,Regional Transmission Organization,42
20150204-0011; 20141229-0090; 20160624-0017; 20160510-0011; 20160428-0006; 20160329-0033; 20160325-0007; 20160309-0119; 20160226-0015; 20160212-0013; 20151216-0008; 20151103-0009; 20151022-0040; 20151019-0007; 20150914-0025; 20150914-0007; 20150908-0011; 20150908-0010; 20150908-0009; 20150812-0015; 20150730-0012; 20150728-0017; 20150610-0008; 20090113-0362(partial); 20081204-0022(partial); 20080102-0300; 20000811-0256,Kinder Morgan,"Kinder Morgan; Kinder Morgan,",40
20061130-0116; 20061120-0032; 20061106-0188; 20060802-0114; 20020521-0105; 20011019-0105; 20011004-0492; 20010806-0447; 20010709-0369; 20000828-0333; 20020604-0424; 20020604-0087; 20020509-0111; 20020403-0652; 20020129-0194; 20020102-0245; 20020102-0093; 20020102-0090; 20020102-0089; 20020102-0088; 20011221-0270; 20010806-0440; 20010716-0099; 20010705-0289; 20001005-0097; 20000828-0319,Millenium,Millenium Pipeline; Millenium; Millenium Pipeline Project; Millenium Pipeline/Columbia Gas Project,40
20021001-0192; 20021001-0191; 20021001-0190; 20020930-0236; 20020930-0230; 20020930-0229; 20020930-0228; 20020930-0227; 20020930-0226; 20020930-0220; 20020926-0397; 20020924-0059; 20020910-0166; 20020910-0164; 20020909-0633; 20020909-0178; 20020823-0296; 20020815-0648; 20020815-0640; 20020813-0319; 20020813-0007; 20020716-0149; 20020716-0145; 20020716-0141; 20020716-0140; 20020702-0076; 20020702-0068; 20020702-0061; 20020625-0315; 20020625-0314; 20020625-0313; 20020625-0312; 20020625-0311; 20020625-0310; 20020625-0309; 20020621-0230; 20020617-0409; 20020610-0156; 20020610-0155; 20020610-0154,Dominion's Greenbrier,Dominion's Greenbrier Pipeline Project,40
20040716-0364; 20100830-0005; 20080722-0015; 20080611-0073; 20041018-0032; 20040928-0117; 20040928-0110; 20040928-0108; 20040922-0114; 20040726-0299; 20040720-0182; 20041001-0011; 20040922-0115; 20040304-0096,Weaver'se,"Weaver's Cove; Weaver's Cove,",39
20011019-0270; 20010111-0319; 20020807-3143; 20010329-0009; 20010329-0005; 20010329-0003; 20010329-0002,ISO New England,"ISO New England; ISO New England,Inc.; ISO New England,Inc",39
20160629-0006; 20150602-0300; 20180814-0008; 20180731-0107; 20180726-5029; 20180330-0012; 20180111-0006; 20171020-0014; 20160909-0033; 20151211-0026; 20181207-0010; 20181204-0008; 20180619-0011; 20180124-0062; 20170619-0007; 20170214-0132; 20170111-0035; 20161216-0006; 20160921-0011; 20160818-0006; 20160808-0034; 20151029-0040; 20151026-0085; 20150824-0015; 20150729-0052; 20150702-0024,Mountain Valley,"Mountain Valley Pipeline; Mountain Valley Pipeline,; Mountain Valley Pipeline Project; Mountain Valley Pipeline project; Mountain Valley Pipeline - Southgate",37
20160908-0008; 20160602-0013; 20151223-0021; 20150302-0021; 20131009-0016; 20120210-0001; 20120113-0002; 20180223-0007; 20170405-0192; 20170201-0010; 20170109-0048; 20161216-0007; 20161004-0075; 20160805-0007; 20160729-0015; 20160729-0014; 20160614-0011; 20160601-0006; 20150625-0023; 20150408-0006; 20140424-0016; 20100318-0018; 20090908-0072(partial); 20080919-0123(partial); 20080731-0186(partial); 20080424-0053; 20071217-0183,Spectra,"Spectra, Energy.; Spectra",36
20150430-0038; 20141006-0054; 20180111-0007; 20170428-0009; 20170421-0006; 20161014-0011; 20160926-0009; 20160624-0017; 20160510-0011; 20160510-0010; 20160405-0074; 20160309-0119; 20160212-0008; 20151020-0012; 20150908-0010; 20150908-0009; 20150902-0023; 20150715-0058; 20150518-0133; 20141107-0007; 20120712-0011; 20020318-0734; 20010709-0434; 20010709-0433; 20000828-0095; 20020315-0274; 20020301-0098,Tennessee,Tennessee Gas Pipeline; Tennessee Gas Pipeline Co; Tennessee Gas,35
20171020-0019; 20110816-0036; 20000828-0092; 20000828-0051; 20180516-0006; 20180326-0009; 20160926-0008; 20160301-0012; 20130625-0010; 20080929-0011; 20080919-0131; 20080820-0006; 20080310-0104; 20070402-0017; 20070312-0037; 20070308-0146; 20030813-0100; 20020117-0079; 20010806-0434; 20010806-0433; 20010709-0367; 20010627-0095; 20010622-0220; 20010329-0065; 20000911-0352; 20070402-0018,Transcontinental,Transcontinental Gas Pipe Line; Transcontinental Gas Pipeline; Transcontinental Gas Pipeline Corporation; Transcontinental Pipeline Corporation; Transcontinental Pipeline; Transcontinental Gas; Transcontinental Gas Pipe Line Corporation; Transcontinental Gas Pipe Line Corp.; Transcontinental Gas Pipe Line compressor station 206; Transcontinental Gas Pipeline / Williams Sentinel Expansion Project,30
20160519-0010; 20160419-0011; 20160419-0010; 20160413-0017; 20160411-0008; 20150402-0007; 20150115-0026; 20170809-0032; 20120816-0006; 20091028-0041,Jordane,Jordan Cove,29
20101028-0010; 20151223-0021; 20150126-0032; 20161103-0022; 20161004-0075; 20160805-0007; 20160729-0015; 20150625-0023; 20150514-0028; 20150408-0006; 20150210-0059; 20150203-0051; 20140930-0027,Algonquin,Algonquin,27
20080215-0206; 20070529-0063; 20070222-0304; 20070116-4005; 20021211-0322; 20021209-0156; 20020910-0161; 20011004-0483; 20010806-0426; 20010328-0070; 20000828-0331; 20000828-0324; 20000828-0316; 20000803-0321; 20071107-0186; 20020524-0537; 20020509-0094; 20001229-0055; 20001228-0403; 20000918-0275; 20000918-0271; 20000828-0075,Guardian,"Guardian Pipeline; Guardian Pipeline Co; Guardian; Guardian Pipeline,; Guardian Pipeline Project; Guardian Pipeline project",26
20090629-0037; 20090908-0069; 20090702-0125; 20090618-0095; 20080611-0154; 20080522-0154; 20080515-0182(partial); 20080512-0256; 20080411-0032; 20071107-0195(partial); 20070807-0083; 20070709-0238(partial); 20070709-0237; 20070507-0290; 20060725-0018; 20080310-0102; 20080207-0113; 20080201-0205; 20080130-0121; 20080130-0107; 20061030-0178(partial); 20060817-0093(partial),Rockies Express,"Rockies Express Pipeline; Rockies Express,; Rockies Express Pipeline,; Rockies Express Gas; Rockies Express; Rockies Express Pipeline, East; Rockies Express Pipeline - East; Rockies Express - East Pipeline; Rockies Express Pipeline / REX East Project; Rockies Express Pipeline - East Project",25
20020117-0096; 20020102-0239; 20020102-0086; 20100910-0033(partial); 20100910-0029(partial); 20020813-0004; 20020716-0143; 20020716-0136; 20020521-0106; 20011221-0268; 20011019-0102; 20010830-0761; 20010806-0485; 20010806-0446; 20010726-0102; 20010726-0100,Florida Gas Transmission,Florida Gas Transmission,24
20130725-0017; 20080626-0022; 20040702-0082; 20031120-0152; 20031105-0382,Nevada Power,Nevada Power,22
20011019-0286,West,"West, Midwest, Northeast and Southeast Regional Transmission Organizations",22
20070223-0069; 20070119-0213; 20070112-4005,Broadwater Liquefied Natural,Broadwater Liquefied Natural Gas,21
20180511-0007; 20020102-0046; 20180611-0032; 20131009-0015; 20110411-0044; 20080522-0156,PJM Interconnection,"PJM Interconnection; PJM Interconnection,; PJM Interconnection,LLC",20
20160715-0011; 20160309-0012; 20151022-0039; 20180405-0013; 20141218-0006; 20160921-0008; 20160913-0008; 20160801-0067; 20170324-0041; 20170125-0013; 20170105-0016; 20160801-0065; 20160713-0006; 20160606-0198; 20150129-0019; 20150129-0017; 20141021-0036,PennEast,"PennEast; PennEast Pipeline; PennEast Pipeline Project; PennEast Pipeline Project, Docket No. CP15-558-000; PennEast Pipelinne; PennEast Pipelinne Project",20
20040212-0120; 20161011-0018; 20110328-0003; 20081029-0112; 20081016-4009; 20080602-0040; 20040217-0007; 20021218-0422; 20020815-0660; 20020813-0008; 20020808-0147; 20020521-0110; 20020509-0114; 20020509-0093; 20020503-0218; 20020423-0105; 20010709-0593; 20001229-0058; 20020813-0022,Williams,Williams; Williams Pipeline; Williams Gas; Williams Gas Pipeline West; Williams Gas Pipeline Group; Williams Pipeline Co's pipeline through Thurston County,20
20160523-0008,CatawbaWateree Hydroelectric,CatawbaWateree Hydroelectric Project,20
20020204-0160; 20011221-0264; 20011221-0259; 20011019-0074; 20011011-0121; 20011005-0027; 20011005-0019; 20011005-0005; 20081001-0002; 20080919-0118; 20080820-0004; 20011018-0036; 20010621-0007,California Independent System Operator,California Independent System Operator,19
20140416-0025; 20100910-0040; 20040701-0068; 20150603-0093; 20141024-0020; 20040423-0053,Cheniere,Cheniere,16
20031120-0152; 20031105-0382; 20060725-0057; 20060714-0060; 20040928-0125,Enron Power Marketing,"Enron Power Marketing,; Enron Power Marketing",16
20000828-0070; 20000828-0062; 20000814-0220; 20020503-0167; 20020129-0185; 20020117-0160; 20020117-0097; 20011129-0078; 20010709-0367; 20010614-0075; 20180326-0010; 20010830-0773,Independence Energy Group,Independence Pipeline; Independence; Independence Pipeline Project,16
20130102-0018; 20021206-0127; 20021204-0085; 20020509-0108; 20011018-0299; 20040423-0304; 20020423-0090; 20020423-0089,El Paso Natural,"El Paso Natural Gas, a subsidiary of Kinder Morgan; El Paso Natural Gas; El Paso Natural Gas Pipeline",16
20010917-0262; 20020204-0078; 20020117-0167; 20020117-0166; 20020117-0098; 20020102-0240; 20020102-0092; 20011217-0093; 20011206-0243; 20011108-0078; 20010917-0242; 20010917-0213; 20010917-0212; 20010815-0584; 20010806-0486; 20010806-0435,Millenium Natural,Millenium Natural Gas Pipeline Project; Millenium Natural Gas Pipeline,16
20100830-0007; 20070719-0017; 20070716-0290; 20070702-0202(partial); 20061130-0149; 20070921-0070; 20070815-0122; 20110128-0004; 20070716-0291; 20070709-0236; 20070625-0093; 20061130-0152; 20061019-0137,Southeast Supply Header,"Southeast Supply Header; Southeast Supply Header,; Southeast Supply Header Project",15
20020423-0283; 20020423-0282; 20020423-0281; 20020423-0280; 20020423-0279; 20020423-0278; 20020423-0120; 20020423-0119; 20020423-0118; 20020423-0117; 20020423-0116; 20020423-0115; 20020423-0114; 20020423-0106; 20010806-0443,Greenbier,Greenbier Pipeline Project,15
20130812-0005; 20020716-0467; 20000330-0181; 20110328-0005; 20110210-0022; 20090501-0034; 20090427-0061; 20010831-0155; 20010820-0203; 20010412-0107; 20010329-0094; 20001229-0113; 20000828-0130,Alabama Power,Alabama Power,14
20071003-0168; 20071001-0199; 20101028-0019; 20100910-0038; 20100804-0017; 20100318-0025; 20100128-0009; 20091013-0082; 20090716-0033; 20010713-0306,PPL Montana,PPL Montana,14
20180430-0020; 20180426-0012,Driftwood LNG terminal and the Driftwood,Driftwood LNG terminal and the Driftwood Pipeline,14
20120925-0047,Trunklme,Trunklme Gas,14
20020102-0289; 20011221-0109; 20011016-0207; 20010928-0114; 20010917-0169; 20010917-0158; 20010820-0181; 20010820-0177; 20010820-0174; 20010820-0145; 20010806-0619; 20010726-0428; 20010709-0275; 20010709-0274,Clean Water Act,Clean Water Act,14
20170809-0029; 20170807-0007; 20170802-0028; 20160826-0013; 20160803-0011; 20160729-0009; 20150804-0014,Grand River Dam Authority,Grand River Dam Authority,13
20010713-0475; 20020604-0215; 20020424-0435; 20010928-0061; 20010918-0029; 20010806-0329; 20010709-0562; 20170621-0007; 20161021-0011; 20161021-0010; 20101006-0002,FERC,FERC; FERC Project No. 12569; FERC Project No. 10482; FERC Project No. 2114,13
20170807-0007; 20170802-0028; 20160808-0032; 20170619-0036,Pensacola,Pensacola Project; Pensacola Project No 1494,13
