IDs,company_short,company_short_refs,n
20100910-0040,Expansion Sabine Pass LNG,Expansion Sabine Pass LNG,7
20080424-0031; 20070507-0107; 20060918-0297; 20060810-0070; 20060802-0124; 20060725-0049; 20060613-0021(partial),Meldahl Hydroelectric,Meldahl Hydroelectric Project; Meldahl Hydroelectric Project under P-10395,7
20080215-0197,Broadwater Liquified Natural,Broadwater Liquified Natural Gas,7
20180418-0021; 20160831-0049; 20100308-0002; 20161013-0030; 20130618-0011; 20110302-0021,Boyce Hydro,Boyce Hydro,6
20170621-0008; 20170404-0472,Hydro Renewable,Hydro Renewable,6
20070706-0135,Calnev,Calnev Pipe Line; Calnev Pipeline Expansion,6
20040728-0251; 20040723-0183; 20031010-0098; 20040513-0093; 20040511-0203; 20020509-0108,El Paso,El Paso Corporation; El Paso Pipeline,6
20040525-0113; 20040511-0052; 20040511-0051,NRG McClain,NRG McClain,6
20040206-0074; 20040202-0154; 20091218-4021; 20091209-0036,PPL,"PPL Corporation; PPL; PPL, Montana",6
20020930-0275; 20020910-0211; 20020903-2100; 20020820-0004,Nebraska Public Power District,"Nebraska Public Power District; Nebraska Public Power District, Project 1835",6
20010709-0250,South Carolins Electric and,South Carolins Electric and Gas,6
20170807-0009; 20150727-0012; 20171020-0011; 20141205-0019,Rover,Rover Pipeline; Rover Pipeline project; Rover Pipeline Project,6
20151201-0086(partial); 20110321-0050; 20071231-0079; 20020923-0167; 20010709-0422; 20031205-0040,Duke Power,Duke Power; Duke Power Co.,6
20101229-0017(partial); 20080619-0124; 20080618-0080; 20080616-0089,Midcontinent Express,"Midcontinent Express Pipeline; Midcontinent Express Pipeline,",6
20100625-0005; 20100617-0022; 20021126-0236; 20020815-0588; 20020815-0585; 20020815-0584,South Carolina Electric &,South Carolina Electric & Gas; South Carolina Electric & Gas Co.,6
20091013-0003; 20070614-0167; 20061115-0318; 20061103-0139; 20010329-0058; 20000331-0104,Texas Eastern Transmission,"Texas Eastern Transmission, LP; Texas Eastern Transmission Corp.; Texas Eastern Transmission Corporation",6
20090716-0039; 20080422-0015; 20080408-0167,New York Regional Interconnect,"New York Regional Interconnect,",6
20090114-0023(partial); 20070531-0028; 20020816-0007; 20020816-0006; 20020816-0004; 20020815-0580,Alcoa,Alcoa,6
20080130-0121; 20080408-0164; 20071107-0105; 20070709-0238(partial); 20070709-0237; 20070508-0195,REX East,REX East; REX East Project; REX East Pipeline Project; REX East Pipeline,6
20030123-0076; 20030123-0075; 20030220-0028; 20021104-0114; 20020509-0097; 20020423-0285,Dominion Greenbrier,Dominion Greenbrier Pipeline; Dominion Greenbrier Pipeline Project,6
20010712-0179; 20010709-0593; 20010709-0265; 20010622-0315; 20010621-0392; 20010402-0103,Southern,Southern,6
20180125-0007,Lake Powell,Lake Powell Pipeline Project,6
20170621-0008; 20170404-0472,Northern Pass Transmission Line,Northern Pass Transmission Line,6
20100826-0010; 20100810-0027,Baker's Falls Hydroelectric,Baker's Falls Hydroelectric Project reactivation,6
20071003-0168; 20071001-0199,Mystic Lake Hydroelectric,Mystic Lake Hydroelectric Project,6
20040423-0071; 20040423-0012; 20040305-0128; 20020815-0570; 20141117-0036,Housatonic River,Housatonic River Project,6
20020930-0222; 20020702-0067; 20020604-0497; 20020813-0003; 20020515-0591; 20020423-0284,Patriot,Patriot Project; Patriot Pipeline Envionmental Impact Report; Patriot Pipeline,6
20150218-0150; 20150115-0027; 20141024-0020,Atlantic Sunrise Natural,Atlantic Sunrise Natural Gas Pipeline Project; Atlantic Sunrise Natural Gas Pipeline Expansion project.,6
20100830-0006,Bulk electric system NOPR,Bulk electric system NOPR,6
20090526-0032; 20090508-0035; 20090506-0163; 20000828-0133,Yadkin Hydroelectric,Yadkin Hydroelectric Project No. 2197-073; Yadkin Hydroelectric Project,6
20021206-0096; 20021204-0094,Standard Market Design NOPR,Standard Market Design NOPR,6
20010806-0434; 20010806-0433; 20010627-0095; 20010622-0220; 20010329-0065; 20000918-0273,Sundance Expansion,Sundance Expansion Project,6
20181109-0007; 20181105-0012; 20181105-0011,Tellurian,Tellurian,5
20171004-0007; 20160621-0020,Eastern Shore Natural,Eastern Shore Natural Gas,5
20160921-0014; 20091002-0056; 20021008-0143; 20021008-0142; 20020927-0220,Exelon,Exelon Corp.; Exelon Corporation,5
20150224-0014; 20020403-0770; 20081029-0059; 20070921-0098; 20020604-0424,Columbia Energy,Columbia Gas,5
20140716-0028; 20140416-0023; 20140409-0026; 20140304-0041,American Midstream Partners,"American Midstream Partners; American Midstream Partners LP, (AMP); American Midstream Partners,",5
20090716-0033; 20101028-0019; 20100910-0038; 20100804-0017; 20091013-0082,Missouri-Madison Hydroelectric,"Missouri-Madison Hydroelectric Project; Missouri-Madison Hydroelectric Project, FERC Docker No. P-2188",5
20070507-0107; 20060810-0070; 20060802-0124; 20060725-0049; 20060714-0019,City of Hamilton,City of Hamilton,5
20040630-0105; 20020503-0201; 20000811-0196; 20000811-0189,Niagara Mohawk Power,Niagara Mohawk Power Corp.; Niagara Mohawk Power Corporation,5
20040512-0200; 20040616-0041; 20040604-0024; 20040206-0074,Hydroelectric project,Hydroelectric project,5
20031120-0105; 20031030-0046; 20031010-0098; 20031010-0079,Cheyenne Plains,Cheyenne Plains Gas Pipeline,5
20030716-0211; 20030801-0141; 20030707-0319; 20030609-0158; 20030602-0161,Automated Power Exchange,"Automated Power Exchange; Automated Power Exchange,",5
20020102-0089,Congressional Black Caucus,Congressional Black Caucus,5
20010712-0179; 20010709-0265; 20010622-0315; 20010621-0392; 20010402-0103,Woodstone Toronto Development,"Woodstone Toronto Development,; Woodstone Toronto Development",5
20010328-0460; 20010126-0263; 20010402-0063; 20010329-0064; 20001228-0404,Trunkline,Trunkline Gas; Trunkline Pipeline,5
20130603-0010,Enterprise TE Products,Enterprise TE Products Pipe Line Co,5
20090528-0146; 20090527-0014; 20090515-0076; 20030609-0252; 20010928-0102,Wisconsin Valley Improvement,Wisconsin Valley Improvement,5
20081222-0222; 20081125-0042; 20080611-0072; 20060619-0249,Mid-Atlantic Express,"Mid-Atlantic Express,; Mid-Atlantic Express",5
20080619-0124; 20080618-0080; 20080616-0089,Enogex,"Enogex,",5
20080515-0156,Mid-Atlantic,Mid-Atlantic,5
20080306-0212,AEG Sparrows Point LNG,"AEG Sparrows Point LNG,",5
20021230-0157; 20020403-0663; 20020403-0646; 20020117-0095; 20011221-0262,Iroquois Gas Transmission System,"Iroquois Gas Transmission System LP; Iroquois Gas Transmission System, L.P.",5
20020730-0175; 20000918-0274; 20010801-0128; 20010629-0135,Alliance,Alliance Pipeline; Alliance Pipeline Project,5
20010622-0217; 20010328-0460; 20010126-0263; 20001228-0404,Centennial,Centennial Pipeline; Centennial Pipeline Project; Centennial Pipeline's Project,5
20181108-0011; 20181105-0011; 20181105-0010; 20181031-0010,Driftwood LNG project,Driftwood LNG project,5
20170404-0473,Gross Reservoir Expansion,Gross Reservoir Expansion Project,5
20110823-4001,MARC I,MARC I Pipeline project,5
20110621-0056,Multi-Value,Multi-Value Projects,5
20080626-0022,Purchase of Bighornrating Facility,Purchase of Bighorn Generating Facility,5
20040625-0012; 20040618-0014; 20040610-0033; 20020509-0159; 20020509-0157,Box Canyon,Box Canyon Projects; Box Canyon Project,5
20020522-0216; 20020521-0383; 20020521-0223; 20020521-0202; 20020403-0706,Toledo Bend Dam,Toledo Bend Dam,5
20011019-0492,Condit Hydroelectric,Condit Hydroelectric Project,5
20001004-0353,MarketLink,MarketLink Project,5
20180111-0007; 20170428-0009; 20170421-0006,Connecticut Expansion,Connecticut Expansion Project,5
20150914-0025; 20150914-0007,Lynnfield Lateral pipeline.,Lynnfield Lateral pipeline.,5
20150908-0010; 20150908-0009; 20150902-0023,North East,North East,5
20120712-0003,Line MB Loop Extension,Line MB Loop Extension Project  Proposed Project,5
20090908-0066; 20090702-0126; 20090515-0057; 20090508-0078,Gas storage cavern One Blanche Island,Gas storage cavern On Cote Blanche Island,5
20080929-0011; 20080919-0131,Sentinel Expansion,Sentinel Expansion Project,5
20171108-0007,FFP Missouri/Rye Development,FFP Missouri/Rye Development,4
20160111-0040; 20151224-0006; 20150713-0038; 20150415-0067,UGI Sunbury,"UGI Sunbury; UGI Sunbury,LLC",4
20151211-0026; 20150729-0052,NextEra,NextEra,4
20150805-0046; 20150805-0045,Texas LNG Brownsville,Texas LNG Brownsville,4
20150602-0302; 20130222-0006; 20090515-0077; 20080118-0300,Gulf South,Gulf South Pipeline; Gulf South Pipelines,4
20140801-0009; 20140724-0012; 20140724-0011,Puerto Rico Electric Power Authority,Puerto Rico Electric Power Authority,4
20140723-0052,Tranco / Williams,Tranco / Williams,4
20140429-0017; 20030716-0209,Southern California Edison,Southern California Edison,4
20110218-0026; 20110218-0024; 20110214-5117; 20110214-5104,FreePort LNG,FreePort LNG,4
20100923-0018(partial); 20110315-0013(partial); 20101006-0005(partial); 20060918-0296,AmerenUE,AmerenUE,4
20080227-0019; 20080208-5076; 20070614-0162; 20010917-0269,Colorado Interstate,Colorado Interstate Gas,4
20071231-0066; 20020923-0130; 20010705-0049,New York Independent System Operator,"New York Independent System Operator,; New York Independent System Operator",4
20070720-0066; 20040928-0125; 20040506-0119,Nevadapanies,Nevada Companies,4
20041018-0032,Environmental Protection Agency,Environmental Protection Agency,4
20041018-0032,Department of Interior,Department of Interior,4
20040223-0049,Ca]pine,Ca]pine Corporation,4
20031010-0044,Central Miane Powers,Central Miane Power Co's,4
20030313-0298; 20090526-0034; 20080324-0266; 20020806-2276,PG&E,PG&E Corp.; PG&E,4
20020930-0222; 20021206-0128; 20021206-0126; 20021204-0086,East Tennessee Natural,East Tennessee Natural Gas Co.; East Tennessee Natural Gas,4
20020521-0018; 20021001-0190; 20020919-0119,Dominion Resources,Dominion Resources,4
20020117-0189; 20080522-0161; 20010806-0610; 20010705-0262,Wisconsin Public Service,Wisconsin Public Service Corporation; Wisconsin Public Service Corporate; Wisconsin Public Service,4
20010329-0003,The Maine Public Utilitiesmission,The Maine Public Utilities Commission,4
20010111-0319,Maine Public Utilitiesmission,Maine Public Utilities Commission,4
20180725-0463,MoGas,MoGas Pipeline,4
20180622-0008; 20150928-0009,PJM,PJM,4
20161116-0018; 20130807-0011; 20130624-0005,Elba Liquefaction,Elba Liquefaction; Elba Liquefaction Project,4
20160831-0008; 20160323-0045,Arlington Storage,Arlington Storage,4
20160729-0015; 20140930-0027,Algonquin Transmission,"Algonquin Transmission,",4
20100910-0035; 20100318-0024; 20030220-0076; 20021230-0232,Xcel,Xcel,4
20090507-0004; 20040902-0031,Weavere,Weaver Cove,4
20081113-0081; 20081107-0109; 20080806-0193; 20080702-0285,Bradwood Landing,Bradwood Landing,4
20081113-0081; 20081107-0109; 20080806-0193; 20080702-0285,NorthernStar,NorthernStar,4
20080306-0218; 20071231-0066; 20071228-0077,Cross Hudson,Cross Hudson; Cross Hudson Project,4
20040702-0083,Cross Sound Cable,Cross Sound Cable,4
20030327-0038; 20030326-0251; 20030415-0319,Pittsfield Hydroelectric,Pittsfield Hydroelectric Project.,4
20020215-0113; 20010801-0265; 20010709-0365; 20010627-0096,ANR,ANR Pipeline,4
20001228-0399; 20001026-0067; 20001026-0065; 20001229-0057,Buccaneer,Buccaneer Gas Pipeline; Buccaneer Gas Pipeline Project,4
20180905-0006,Bellows Falls,Bellows Falls Project,4
20180905-0006,Wilder,Wilder Project,4
20180905-0006,Vernon,Vernon Project,4
20180905-0006,Northfield Mountain,Northfield Mountain Project,4
20180905-0006,Turners Falls,Turners Falls Project,4
20180702-0006,Fields Point Liquefaction,Fields Point Liquefaction Project,4
20160602-0013; 20160519-0043; 20160512-0009; 20160428-0011,Access Northeast,Access Northeast Project,4
20160129-0074; 20030606-0057; 20000811-0292; 20030407-0272,Hydroelectric,Hydroelectric Project No. 10489-014; Hydroelectric Project,4
20150720-0043,Sardis Lake Hydroelectric,Sardis Lake Hydroelectric Project,4
20150720-0043,Grenada Lake Hydroelectric,Grenada Lake Hydroelectric Project,4
20150720-0043,Enid Lake Hydroelectric,Enid Lake Hydroelectric Project,4
20150720-0043,Arkabutla Lake Hydroelectric,Arkabutla Lake Hydroelectric Project,4
20140820-0011; 20180607-4003; 20160304-0017(partial); 20151102-0008,Atlantic Sunrise,Atlantic Sunrise Project; Atlantic Sunrise Pipeline Project; Atlantic Sunrise Pipeline,4
20140716-0028; 20140416-0023; 20140409-0026,American Midstream,American Midstream Pipeline,4
20130528-0028; 20000828-0102; 20000728-0317; 20070521-0663,Niagara Power,Niagara Power Project,4
20110218-0026; 20110218-0024; 20110214-5117; 20110214-5104,Expansion of Freeport LNG on Quintana Island,"Expansion of Freeport LNG on Quintana Island, Texas",4
20040726-0299,Keyspan project,Keyspan project,4
20040720-0182; 20040922-0115,Keyspan,Keyspan Project; Keyspan Projects,4
20040223-0049,Mountainview,Mountainview Project,4
20031030-0025; 20031030-0004,St.Lawrence and Niagara Hydroelectric,St.Lawrence and Niagara Hydroelectric Projects,4
20031010-0044,grant the Maine Public Utilitiesmission's and Central Miane Powers request for rehearing,grant the Maine Public Utilities Commission's and Central Miane Power Co's request for rehearing,4
20021008-0082; 20030114-0297; 20021230-0160; 20021018-0239,The Patriot,The Patriot Project; The Patriot  Project,4
20020919-0204; 20040813-0029; 20040625-0021; 20020117-0184,Holyoke,Holyoke Project; Holyoke Project No. 2004,4
20010712-0179; 20010709-0265; 20010622-0315; 20010621-0392,Swinging Bridge,Swinging Bridge Project,4
20180516-0006; 20170214-0131; 20160928-0010; 20160926-0008,Northeast Supply Enhancement,Northeast Supply Enhancement Project,4
20170405-0192; 20160614-0011; 20160105-0023,Atlantic Bridge project,Atlantic Bridge project,4
20100830-0005,Offshore berthing and LNG unloading facility in Mount Hope Bay,Offshore berthing and LNG unloading facility in Mount Hope Bay,4
20080422-0015; 20080408-0167,Electric Transmission Line,Electric Transmission Line,4
20070706-0178; 20061207-0028; 20061207-0027; 20061201-0218,Klamath Hydroelectric,Klamath Hydroelectric Project,4
20061222-0058,Brookhaven Lateral,Brookhaven Lateral Project,4
20040202-0258,large-scale LNG,large-scale LNG,4
20020815-0588; 20020815-0585; 20020815-0584; 20020716-0240,Lake Murray draw down,Lake Murray draw down,4
20180124-0063; 20180105-0007; 20170303-0012,Oroville Dam,Oroville Dam,3
20170621-0008,Northern Pass Transmission,Northern Pass Transmission,3
20170605-0048; 20151103-0010,Loup River Public Power District,Loup River Public Power District,3
20160921-0014; 20060613-0022; 20020521-0111,Entergy,Entergy Corp.; Entergy; Entergy Corp,3
20160115-0006; 20160111-0039; 20140619-0006,GB,GB,3
20151211-0026,Dominion Virginia Power,Dominion Virginia Power,3
20150916-0017,Alaska Village Electricperative,"Alaska Village Electric Cooperative,",3
20150723-0030,TransCanada,TransCanada,3
20140716-0024; 20140714-0073; 20140707-0015,Erie Power,"Erie Power,",3
20140429-0017,Arizona Public Service,Arizona Public Service,3
20130425-0009,Carbon Zero,"Carbon Zero,",3
20101223-0003(partial); 20091026-0249; 20090716-0034,Placernty Water Agency,Placer County Water Agency,3
20100525-0022,Domtar Maine,Domtar Maine,3
20090928-0063; 20090811-0007; 20090716-0037,Gundersen Lutheran Hydro,"Gundersen Lutheran Hydro,",3
20080722-0163(partial); 20080709-0043; 20080611-0082(partial),Essex Hydro,Essex Hydro,3
20071026-0169; 20150923-0029,Oregon LNG,Oregon LNG; Oregon LNG Project,3
20061130-0105; 20061127-0105; 20061106-0120,Shangri-La Marina Group,"Shangri-La Marina Group,",3
20060628-0052; 20060615-0257; 20060613-0067,Classis Development,Classis Development Corporation,3
20060628-0052; 20060615-0257; 20060613-0067,Biron Licensee Group,"Biron Licensee Group,",3
20040720-0182,Keyspan Liquefied Natural,Keyspan Liquefied Natural Gas,3
20040423-0012; 20040813-0028,Northeastration Services,Northeast Generation Services,3
20040322-0257; 20040312-0256,Oklahoma Gas and Electic,Oklahoma Gas and Electic,3
20030418-0059; 20011108-0110,Idaho Power,Idaho Power,3
20021206-0099; 20020919-0204; 20040813-0029,Holyoke Gas & Electric,Holyoke Gas & Electric,3
20020808-0152; 20150310-0056,Tenessee,Tenessee Gas Pipeline Co.; Tenessee Pipelines,3
20020506-0070; 20020509-0112,SCG,SCG Pipeline,3
20020117-0169; 20020129-0189; 20010611-0560,Tennesse,Tennesse Gas Pipeline,3
20010918-0081; 20011011-0189; 20001005-0099,Iroquois,Iroquois Pipeline; Iroquois Pipeline Eastchester Project; Iroquois Pipeline Project,3
20010209-0376,Kodiak Electric Association,Kodiak Electric Association,3
20010209-0376,Copper Valley Electric Association,Copper Valley Electric Association,3
20010116-0155; 20000828-0353; 20011025-0442,Connecticut Light and Power,Connecticut Light and Power,3
20001229-0026; 20040211-0289; 20040204-0126,Dynegy,Dynegy,3
20000803-0322; 20000802-0343; 20000728-0161,Petal Gas Storage,Petal Gas Storage,3
20170919-0007,Enel Green Power,Enel Green Power,3
20170908-0009; 20170829-0011; 20110329-0014(partial),Enbridge,"Enbridge,; Enbridge Pipeline",3
20161021-0011; 20161021-0010; 20160503-0017,Eagle Creek Renewable,Eagle Creek Renewable,3
20160302-0013; 20150310-0056,Constitution,Constitution Pipeline; Constitution  Pipeline,3
20150505-0193,Kinder Morgan's,Kinder Morgan's,3
20150311-0008; 20150311-0007; 20150303-0016,Dominion Atlanticst,Dominion Atlantic Coast Pipeline,3
20141230-0008,Portland Natural Gas Transmission System,Portland Natural Gas Transmission System,3
20141222-4039; 20141211-0030,ET Rover,"ET Rover Pipeline,LLC; ET Rover Project",3
20140311-0010; 20140428-0006,Dominione Point LNG,Dominion Cove Point LNG; Dominion Cove Point LNG Project,3
20130515-0002; 20111108-0046,Na,Na,3
20101006-0003; 20100617-0023,AER NY-Gen,"AER NY-Gen,",3
20100910-0039; 20031030-0017; 20020118-0015,American Electric Power,American Electric Power,3
20100826-0012,Emera,Emera,3
20100826-0012,Maine and Maritimes,Maine and Maritimes Corporation,3
20090908-0070; 20020521-0282; 20001228-0432,Florida Power & Light,Florida Power & Light,3
20090609-0052; 20090406-0082(partial); 20080801-0029(partial),NIPSCO,NIPSCO,3
20080806-0185(partial); 20080730-0141(partial),Steckman Ridge,"Steckman Ridge, LP; Steckman Ridge Project",3
20071107-0187(partial); 20070625-0111; 20060802-0104,Transwestern,"Transwestern Pipeline; Transwestern Pipeline,",3
20040521-0049; 20040217-0006; 20040217-0004,Liquid Natural,Liquid Natural Gas,3
20031205-0039; 20031205-0038; 20031205-0037,Marina,Marina,3
20021218-0413; 20021216-0241; 20021206-0202,El Paso Global LNG,El Paso Global LNG Co.,3
20020815-0571; 20020301-0126; 20020214-0512,Orion Power,Orion Power,3
20020423-0102; 20020214-0533; 20011129-0057,Northwest,Northwest Pipeline Corporation; Northwest Pipeline Corp.,3
20011108-0110; 20010629-0165,National Marine Fisheries Service,National Marine Fisheries Service,3
20011001-0598; 20010801-0268; 20010709-0251,Birch Power,Birch Power,3
20000918-0275,Granite State Transmission,Granite State Transmission,3
20180928-0018; 20170428-0017(partial); 20171214-0013,Wallace Dam,Wallace Dam Project; Wallace Dam,3
20180418-0021; 20180110-0006; 20150416-0047,Edenville Hydroelectric,Edenville Hydroelectric Project No. 10808; Edenville Hydroelectric Project,3
20180227-0006,Forest City,Forest City Project,3
20180209-0006; 20170824-0015; 20170824-0012,Forest City Dam,Forest City Dam,3
20171211-0012; 20171206-0007; 20170907-0010,Lake Elsinore Advanced Pumped Storage,Lake Elsinore Advanced Pumped Storage Project,3
20171031-0018; 20151026-0089,Northern Access,Northern Access Project,3
20170912-0089,Forest City dam,Forest City dam,3
20160621-0020,System Reliability,System Reliability Project,3
20160524-0022,Artificial Island Transmission Line,Artificial Island Transmission Line Project,3
20160506-0008; 20160419-0022,Allegheny Lock and Dam No. 2 Hydroelectric project,Allegheny Lock and Dam No. 2 Hydroelectric project,3
20160506-0008; 20160419-0022,Emsworth Locks and Dam Hydroelectric,Emsworth Locks and Dam Hydroelectric Project,3
20160506-0008; 20160419-0022,Emsworth Back Channel Hydroelectric project,Emsworth Back Channel Hydroelectric project,3
20160506-0008; 20160419-0022,Montgomery,"Montgomery, Locks and Dam Hydroelectric Project",3
20160315-0013; 20151103-0007,Mountaineer XPress project,Mountaineer XPress project,3
20160222-0007; 20160129-0008; 20130723-0066,Magnolia LNG project,Magnolia LNG project,3
20160111-0040; 20151224-0006; 20150415-0067,Sunbury,Sunbury Pipeline Project,3
20151216-0007,Elba Liquefaction Proiect,Elba Liquefaction Proiect,3
20151216-0007,Pineline Unurade Proiects,Pineline Unurade Proiects,3
20150923-0029; 20121026-0003,Washington Expansion,Washington Expansion Project,3
20150916-0017,Old Harbor's Hydroelectric,Village of Old Harbor's Hydroelectric Project,3
20150723-0030,Project No. 1892 New Hampshire-Vermont,Project No. 1892 New Hampshire-Vermont,3
20150723-0030,Project No. 1855 New Hampshire—Vermont,Project No. 1855 New Hampshire—Vermont,3
20150723-0030,Project No. 1904 New Hampshire  Vermont,Project No. 1904 New Hampshire  Vermont,3
20140724-0012; 20140724-0011,Aguirre Offshore Gasport,Aguirre Offshore Gasport Project,3
20140716-0024; 20140714-0073; 20140707-0015,North Easteneration Plant,North East Cogeneration Plant,3
20130425-0009,Vermont Tissue hydroelectric plant,Vermont Tissue hydroelectric plant,3
20100525-0022,Jurisdictional Pettition DI10-9,Jurisdictional Pettition DI10-9,3
20080227-0019; 20080208-5076; 20070614-0162,High Plains Expansion,High Plains Expansion Project,3
20061130-0105; 20061127-0105; 20061106-0120,Shangri-La Resort,Shangri-La Resort,3
20060628-0052; 20060615-0257; 20060613-0067,Biron Hydroelectric,Biron Hydroelectric Project,3
20040507-0108; 20040630-0139; 20040630-0138(partial),Tapoco,Tapoco Project,3
20020716-0563; 20020702-0063; 20020621-0396,Proposed pipelines innecticut,Proposed pipelines in Connecticut,3
20010329-0123; 20001229-0111; 20001228-0439,White River Hydroelectric,White River Hydroelectric Project,3
20010209-0376,Four Dam Pool,Four Dam Pool Project,3
20010209-0376,Swan Lake-Lake,Swan Lake-Lake Project,3
20000828-0354; 20000828-0125; 20000828-0122,Hydroelectric Power,Hydroelectric Power Project,3
20150928-0009,Artificial Island solution project,Artificial Island solution project,3
20100830-0012(partial); 20100830-0010(partial); 20100830-0008(partial),Transportation of natural gas from southwestern Wyoming through Utah and Nevada to Malin,"Transportation of natural gas from southwestern Wyoming through Utah and Nevada to Malin, Oregon",3
20100525-0023; 20091123-0150; 20091013-0008,Smith Mountain Pumped Storage,Smith Mountain Pumped Storage Project,3
20090528-0146; 20090527-0014; 20090515-0076,Project No. 2113-022,Project No. 2113-022,3
20090507-0004,LNG import terminal,LNG import terminal,3
20080820-0006; 20080602-0040; 20080310-0104,Sentinel,Sentinel Project; Sentinel Pipeline Expansion; Sentinel Pipeline Expansion Project,3
20070719-0017; 20070716-0290; 20070702-0202(partial),Southeast Supply Header project,Southeast Supply Header project,3
20070402-0017; 20070312-0037; 20070308-0146,Potomac Expansion,Potomac Expansion Project,3
20070223-0072; 20070221-0022; 20070207-4005,Broadwater,Broadwater,3
20040701-0067,Keyspan Liquefied Natural Gas Facility Upgrade,Keyspan Liquefied Natural Gas Facility Upgrade Project,3
20031201-0209,PPL's FERC-Licensed hydroelectric,PPL's FERC-Licensed hydroelectric Project,3
20021104-0057; 20021028-0166; 20021024-0359,Lake Level Toledo Bend Reservoir,Lake Level Toledo Bend Reservoir; Lake Level Toledo Bend Reservoir Project No. P-2305,3
20021008-0065; 20021008-0064; 20021008-0063,SMD NOPR,SMD NOPR,3
20020813-0004; 20020716-0143; 20020716-0136,Gaspression Station 27,Gas Compression Station 27,3
20011001-0598; 20010801-0268; 20010709-0251,Marsh Valley Development,Marsh Valley Development,3
20001228-0405; 20000926-0305; 20000911-0352,Transco Sundance Expansion,Transco Sundance Expansion Project,3
20181226-0008,Pasadena Water and Power,Pasadena Water and Power,2
20181130-0007; 20181016-0023,RH energytrans,"RH energytrans,; RH energytrans",2
20181016-0022,Adelphia Gateway,"Adelphia Gateway,; Adelphia Gateway Project",2
20180208-0007; 20180202-0013,Sugar River Power,Sugar River Power,2
20180110-0006; 20181002-0041,Boyce Hydro Power,"Boyce Hydro Power,",2
20171114-0047; 20161018-0008,Klamath River Renewal,Klamath River Renewal Corporation,2
20171020-0015; 20160908-0008,DTE,DTE,2
20170824-0015; 20170824-0012,Woodland Pulp ILC,Woodland Pulp ILC,2
20170428-0017(partial); 20171214-0013,Georgia Power,Georgia Power,2
20170310-0079; 20020815-0653,Southern Natural,"Southern Natural Gas,; Southern Natural Gas",2
20170203-0029; 20150302-0021,NEXUS,NEXUS; NEXUS Pipeline,2
20160120-0069; 20150625-0024,Golden Pass Products,"Golden Pass Products,; Golden Pass Products",2
20160120-0069; 20150625-0024,Golden Pass,"Golden Pass Pipeline,",2
20151202-0029; 20150625-0029,Pacific,Pacific Corps; Pacific Corp.,2
20150126-0187; 20150126-0158,Juneau Hydropower,Juneau Hydropower,2
20140501-0007,"American Midstream Partners
American Midstream","American Midstream Partners, LP 
American Midstream Pipeline",2
20110315-0004,Great River Hydropower,Great River Hydropower,2
20110315-0004,Mississippi River Number 21 Hydropower,Mississippi River Number 21 Hydropower,2
20100915-0003(partial); 20100901-0018(partial),Greenwoodnty,"Greenwood County, SC",2
20080814-0227; 20080814-0224,The City of Holyoke Gas & Electric,The City of Holyoke Gas & Electric,2
20080731-0201,Erie Boulevard Hydropower,"Erie Boulevard Hydropower, L.P",2
20080702-0298; 20070430-0068,Hydro Green,Hydro Green,2
20061215-0203,Snohomishnty Public Utility District,Snohomish County Public Utility District,2
20061214-0113; 20061207-0024,Shangri-La Group,"Shangri-La Group,",2
20040824-0164; 20040813-0003,Snohomish Public Utility District,Snohomish Public Utility District,2
20040813-0003; 20031201-0210,Energy,"Energy,; Energy Projects",2
20040728-0251; 20040723-0183,Royal Dutch/Shell Group,Royal Dutch/Shell Group,2
20040513-0025; 20080611-0072,Liquefied Natural,Liquefied Natural Gas,2
20040312-0257; 20040305-0197,Natural Gas Market Transparency,Natural Gas Market Transparency,2
20031201-0211; 20020403-0726,Ponderay Newsprint,Ponderay Newsprint,2
20020930-0281; 20020923-0196,ALCOA,ALCOA,2
20020930-0281; 20020923-0196,CP&I,CP&I,2
20020815-0574; 20180406-0006,New York State Electric and,New York State Electric and Gas Corp; New York State Electric and Gas Corporation,2
20020813-0050; 20020813-0047,P-12164-000 proposed power generation facility ontage grove dam,P-12164-000 proposed power generation facility on Cottage grove dam,2
20020716-0142; 20020702-0064,SG Resources Mississippi,"SG Resources Mississippi,",2
20020509-0159; 20020509-0157,Public Utility District No. 1,Public Utility District No. 1,2
20011206-0032; 20011129-0008,Bonneville Power Administration,Bonneville Power Administration,2
20010831-0155; 20010820-0203,HOBO,HOBO,2
20010820-0173; 20010806-0336,Cascade Power,Cascade Power,2
20010806-0366; 20010710-0042,Niagara Mohawk Pension Club,Niagara Mohawk Pension Club,2
20010801-0270; 20010710-0040,Wing Municipalization,"Wing Municipalization; Wing Municipalization, L.L.C.",2
20010801-0270; 20010710-0040,Alliance for Municipal Power,Alliance for Municipal Power,2
20010709-0365; 20010627-0096,WEPCO,WEPCO,2
20010705-0049; 20180406-0006,Con Edison,Con Edison,2
20000828-0136; 20021126-0244,Hydro,Hydro Project; Hydro -  PacifiCorp,2
20000802-0343; 20000728-0161,Destin,Destin Gas Pipeline,2
20171004-0006; 20170214-0131,Williams Transco,Williams Transco,2
20170126-4015,Penn East,Penn East; Penn East Pipeline,2
20161214-4004; 20161213-0031,Jersey Central 'Power and Light,Jersey Central 'Power and Light,2
20160729-0014,Natural Resource Group,Natural Resource Group,2
20150929-0033,LNG Development,LNG Development,2
20150323-0071; 20150317-0070,Merced River Hydroelectric,Merced River Hydroelectric Project,2
