ID,agency,DATE,FROM,first_name,last_name,bioname,party_code,chamber,congress,SUBJECT,TYPE,NOTES,ERROR
11665,Treasury_Fiscal,2019-02-28,JEFF VAN DREW,Jefferson,VAN DREW,"VAN DREW, Jefferson",100,House,116,Debt,1,NA,NA
11726,Treasury_Fiscal,2019-01-31,JEFF VAN DREW,Jefferson,VAN DREW,"VAN DREW, Jefferson",200,House,116,Direct Deposit,1,NA,NA
11726,Treasury_Fiscal,2019-01-31,JEFF VAN DREW,Jefferson,VAN DREW,"VAN DREW, Jefferson",100,House,116,Direct Deposit,1,NA,NA
11727,Treasury_Fiscal,2019-01-31,JEFF VAN DREW,Jefferson,VAN DREW,"VAN DREW, Jefferson",200,House,116,Direct Deposit,1,NA,NA
11727,Treasury_Fiscal,2019-01-31,JEFF VAN DREW,Jefferson,VAN DREW,"VAN DREW, Jefferson",100,House,116,Direct Deposit,1,NA,NA
11818,Treasury_Fiscal,2019-03-01,JUSTIN AMASH,Justin,AMASH,"AMASH, Justin",328,House,116,Direct Deposit,1,NA,NA
11818,Treasury_Fiscal,2019-03-01,JUSTIN AMASH,Justin,AMASH,"AMASH, Justin",200,House,116,Direct Deposit,1,NA,NA
11819,Treasury_Fiscal,2019-03-01,JUSTIN AMASH,Justin,AMASH,"AMASH, Justin",328,House,116,Direct Deposit,1,NA,NA
11819,Treasury_Fiscal,2019-03-01,JUSTIN AMASH,Justin,AMASH,"AMASH, Justin",200,House,116,Direct Deposit,1,NA,NA
1091,VA,2019-01-30,"Van Drew, Jeff",Jefferson,VAN DREW,"VAN DREW, Jefferson",200,House,116,DD214 Issues,1,NA,NA
1091,VA,2019-01-30,"Van Drew, Jeff",Jefferson,VAN DREW,"VAN DREW, Jefferson",100,House,116,DD214 Issues,1,NA,NA
1092,VA,2019-01-30,"Van Drew, Jeff",Jefferson,VAN DREW,"VAN DREW, Jefferson",200,House,116,DD214 Issues,1,NA,NA
1092,VA,2019-01-30,"Van Drew, Jeff",Jefferson,VAN DREW,"VAN DREW, Jefferson",100,House,116,DD214 Issues,1,NA,NA
1095,VA,2019-01-30,"Van Drew, Jeff",Jefferson,VAN DREW,"VAN DREW, Jefferson",200,House,116,Disability Claim,1,NA,NA
1095,VA,2019-01-30,"Van Drew, Jeff",Jefferson,VAN DREW,"VAN DREW, Jefferson",100,House,116,Disability Claim,1,NA,NA
