first_name,last_name,LetterID,ID,agency,DATE,FROM,bioname,SUBJECT,TYPE,NOTES,ERROR
NA,NA,NA,228,DOJ_CIV,2020-01-08,CLIFF STEARNS*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,229,DOJ_CIV,2020-01-08,W. TODD AKIN*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,230,DOJ_CIV,2020-01-08,MARK SOUDER*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,231,DOJ_CIV,2020-01-08,JOHN CULBERSON*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,232,DOJ_CIV,2020-01-08,GARY G MILLER*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,233,DOJ_CIV,2020-01-08,SAM JOHNSON*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,234,DOJ_CIV,2020-01-08,TED POE*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
Walter,JONES,NA,247,DOJ_CIV,2020-01-08,WALTER JONES*,"JONES, Walter Beaman, Jr.",PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,251,DOJ_CIV,2020-01-08,JIM MCDERMOTT,,INQUIRY IF(b) (6) IN BANGLADESH,1,NA,NA
NA,NA,NA,252,DOJ_CIV,2020-01-08,DANA ROHRABACHER*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,253,DOJ_CIV,2020-01-08,TOM TANCREDO*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,254,DOJ_CIV,2020-01-08,PHIL GINGREY*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
Ken,CALVERT,NA,255,DOJ_CIV,2020-01-08,KEN CALVERT*,"CALVERT, Ken",PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,256,DOJ_CIV,2020-01-08,JOHN T DOOLITTLE*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,257,DOJ_CIV,2020-01-08,DAVID DAVIS*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,258,DOJ_CIV,2020-01-08,WILLIAM T. SALI*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,259,DOJ_CIV,2020-01-08,JOHN CAMPBELL*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,260,DOJ_CIV,2020-01-08,BRIAN P. BILBRAY*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,261,DOJ_CIV,2020-01-08,VIRGIL GOODE*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,262,DOJ_CIV,2020-01-08,JEFF BINGAMAN,,RADIATION COMPENSATION,1,NA,NA
NA,NA,NA,263,DOJ_CIV,2020-01-08,"RUSSELL, D FEINGOLD",,HR6407/GOVT. READING FIRST CLASS MAIL,1,NA,NA
Addison,WILSON,NA,265,DOJ_CIV,2020-01-08,JOE WILSON*,"WILSON, Addison Graves (Joe)",PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,266,DOJ_CIV,2020-01-08,BOB GOODLATTE*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,267,DOJ_CIV,2020-01-08,ED ROYCE*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
Marsha,BLACKBURN,NA,268,DOJ_CIV,2020-01-08,MARSHA BLACKBURN*,"BLACKBURN, Marsha",PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,269,DOJ_CIV,2020-01-08,"JOHN J DUNCAN, JR *",,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
Duncan,HUNTER,NA,270,DOJ_CIV,2020-01-08,DUNCAN HUNTER*,"HUNTER, Duncan Duane",PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,271,DOJ_CIV,2020-01-08,ROBIN HAYES*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,278,DOJ_CIV,2020-01-08,SUE MYRICK*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,279,DOJ_CIV,2020-01-08,WALLY HERGER*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,760,DOJ_CIV,2020-01-08,DARRELL AND JIM ISSA AND JORDAN,,OPERATION CHOKE POINT SHORT-TERM ONLINE LENDERS. REQUESTS DOCUMENTS.,1,NA,NA
Marc,VEASEY,NA,838,DOJ_CIV,2020-01-08,MARC VEASEY,"VEASEY, Marc",ATI ENTERPRISES FCA CASE,NA,NA,NA
NA,NA,NA,208,DOJ_CIV,2020-01-09,TED STEVENS,,TOBACCO LITIGATION,4,NA,NA
Richard,SHELBY,NA,250,DOJ_CIV,2020-01-09,RICHARD C SHELBY,"SHELBY, Richard C.",BREAST IMPLANTS/DOW CORNING SETTLEMENT,1,NA,NA
Patrick,TOOMEY,NA,325,DOJ_CIV,2020-01-09,PATRICK TOOMEY,"TOOMEY, Patrick Joseph",CONCERNS ABOUT SUSPENSION OF MED CAL LICENSE,NA,NA,NA
