first_name,last_name,LetterID,ID,agency,DATE,FROM,bioname,SUBJECT,TYPE,NOTES,ERROR
Dianne,FEINSTEIN,NA,848,DOJ_CIV,2020-02-02,DIANNE FEINSTEIN,"FEINSTEIN, Dianne",CONSTITUENT FTCA CONCERN RE THE ADVOCACY FOR CONSUMER RIGHTS,NA,NA,NA
NA,NA,NA,883,DOJ_CIV,2020-02-02,PATRICK MURPHY,,REQUESTING DOJ TO COMPLETE THE COMPREHENSIVE GUIDANCE ON BENEFITS TO SAME-SEX MARRIED VETERANS,1,NA,NA
NA,NA,NA,111,DOJ_CIV,2020-02-03,BEN CHANDLER,,CONST REQ MORE INFO ABT HIS FTCA CLA M,5,"NA",NA
Patrick,LEAHY,NA,112,DOJ_CIV,2020-02-03,PATRICK LEAHY,"LEAHY, Patrick Joseph",QUESTNS FOR AAG WEST -1 26 FRAUD HEARNG,1,"NA",NA
Patrick,LEAHY,NA,119,DOJ_CIV,2020-02-03,PATRICK LEAHY,"LEAHY, Patrick Joseph",QUESTNS - AAG BREUER -1/26 FRAUD HEARNG,1,"NA",NA
NA,NA,NA,353,DOJ_CIV,2020-02-03,RUBIO MARCO,,CONSTITUENT IS HAVING MORTGAGE AND CREDIT PROBLEMS WITH BANK OF AMERICA,NA,NA,NA
Lloyd,DOGGETT,NA,968,DOJ_CIV,2020-02-03,LLOYD DOGGETT,"DOGGETT, Lloyd Alton, II",EXPRESSING CONCERN ABOUT THE MEDIA REPORTS ALLEGING THAT BRITISH AMERICAN TOBACCO (BAT) CONSPIRED TO BRIBE POLITICIANS AND PUBLIC HEALTH OFFICIALS ACROSS CENTRAL AND EAST AFRICA TO BLOCK WEAKEN AND DELAY THE PASSAGE IMPLEMENTAITON OF PUBLIC HEALTH LAWS DESIGNED TO PROTECT PEOPLE FROM THE DEADLY EFFECTS OF TOBACCO. REQUESTING DOJ TO INVESTIGATE BATS ALLEGED BRIBERY TO DETERMINE WHETHER IT VIOLATED THE TERMS OF THE FOREIGN CORRUPT PRACTICES ACT.,1,NA,NA
Ruben,GALLEGO,NA,969,DOJ_CIV,2020-02-03,RUBEN GALLEGO,"GALLEGO, Ruben","LTR ON BEHALF OF(b) (6) REQUESTING ASSISTANCE REGARDING THE STATUS OF HER
 HUSBAND S CLAIM FOR BENEFITS UNDER THE RADIATION EXPOSURE COMPENSATION ACT (RECA). SEE WF 2723239",1,NA,NA
Steve,SCALISE,NA,1057,DOJ_CIV,2020-02-03,STEVE SCALISE/23 OTHERS,"SCALISE, Steve",SOLYNDRA,NA,NA,NA
Lois,FRANKEL,NA,40,DOJ_CIV,2020-02-05,LOIS FRANKEL,"FRANKEL, Lois",MORTGAGE FRAUD,NA,NA,NA
Peter,DeFAZIO,NA,776,DOJ_CIV,2020-02-05,PETER A. DEFAZIO,"DeFAZIO, Peter Anthony",CONSTITUENT WANTS COPIES OF HIS RECORDS WHICH DOJ PROVIDED COURT AS PART OF VIETNAM VETS V. CIA,NA,NA,NA
NA,NA,NA,786,DOJ_CIV,2020-02-05,MARK BEGICH,,SUPPOSED $10 BILLION SETTLEMENT WITH DOJ,NA,NA,NA
Theodore,DEUTCH,NA,842,DOJ_CIV,2020-02-05,TED DEUTCH,"DEUTCH, Theodore E. (Ted)",VCF,NA,NA,NA
James,LANKFORD,NA,970,DOJ_CIV,2020-02-05,JAMES LANKFORD,"LANKFORD, James",LTR ON BEHALF OF CONSTITUENT SEEKING ASSISTANCE CONCERNING THE PROPOSED SETTLEMENT.,NA,NA,NA
NA,NA,NA,272,DOJ_CIV,2020-02-06,JOHN SULLIVAN,,ACROMED CORP CLASS ACTION SETTLEMENT,NA,NA,NA
NA,NA,NA,644,DOJ_CIV,2020-02-06,BILL SHUSTER,,ASSISTANCE WITH KEEPING HER K-9 PARTNER,NA,NA,NA
Theodore,DEUTCH,NA,645,DOJ_CIV,2020-02-06,THEODORE DEUTCH,"DEUTCH, Theodore E. (Ted)",FORECLOSER OF HOME,NA,NA,NA
Mark,WARNER,NA,803,DOJ_CIV,2020-02-06,MARK WARNER,"WARNER, Mark",TRIBAL-OWNED ONLINE LENDERS (OPEARTION CHOKE POINT),NA,NA,NA
Robert,PORTMAN,NA,1054,DOJ_CIV,2020-02-06,ROB PORTMAN,"PORTMAN, Robert Jones (Rob)",HHS BIRTH CONTROL REGULATION,NA,NA,NA
NA,NA,NA,1067,DOJ_CIV,2020-02-06,TOM LATHAM,,ILLEGAL ARRESTS OTHER NONSENSE,NA,NA,NA
Walter,JONES,NA,1077,DOJ_CIV,2020-02-06,WALTER B. JONES,"JONES, Walter Beaman, Jr.",BLACK FARMERS LITIGATION,NA,NA,NA
Charles,GRASSLEY,NA,185,DOJ_CIV,2020-02-07,CHARLES GRASSLEY,"GRASSLEY, Charles Ernest",REQ COPY ST. JUDGE MED SETTLEMENT,5,"NA",NA
Marco,RUBIO,NA,186,DOJ_CIV,2020-02-07,MARCO RUBIO,"RUBIO, Marco",CIVIL FEDERAL TAX L EN CASE,"NA","NA",NA
NA,NA,NA,187,DOJ_CIV,2020-02-07,JO BONNER,,THANK ASG - VISIT AL - IMPCT OF BP SPILL,"NA","NA",NA
NA,NA,NA,238,DOJ_CIV,2020-02-07,RON PAUL,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,239,DOJ_CIV,2020-02-07,"WALTER, B JONES",,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,240,DOJ_CIV,2020-02-07,JOHN T SALAZAR,,RADIATION COMPENSATION,1,NA,NA
John,CORNYN,NA,273,DOJ_CIV,2020-02-07,JOHN CORNYN,"CORNYN, John",PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
Charles,ROBERTS,NA,779,DOJ_CIV,2020-02-07,PAT ROBERTS,"ROBERTS, Charles Patrick (Pat)",RECA,NA,NA,NA
Gus,BILIRAKIS,NA,783,DOJ_CIV,2020-02-07,GUS BILIRAKIS,"BILIRAKIS, Gus",SEPTEMBER 11TH VICTIMS COMPENSATION (VCF),NA,NA,NA
Robert,LATTA,NA,144,DOJ_CIV,2020-02-08,ROBERT LATTA,"LATTA, Robert E.",LAWSUIT AGAINST GMC MOTORS CORP.,"NA","NA",NA
Charles,GRASSLEY,NA,182,DOJ_CIV,2020-02-08,CHARLES GRASSLEY,"GRASSLEY, Charles Ernest",REQ INFO RE SEC/DOJ FRAUD CORDINATION,5,"NA",NA
Sherrod,BROWN,NA,183,DOJ_CIV,2020-02-08,SHERROD BROWN,"BROWN, Sherrod",ENFORCE SERVICEMBRS CIV RELIEF ACT,"NA","NA",NA
Rick,CRAWFORD,NA,184,DOJ_CIV,2020-02-08,RICK CRAWFORD,"CRAWFORD, Rick",REQ INFO ABOUT EOUSA PRETRIAL PRGM,5,"NA",NA
Sheila,JACKSON LEE,NA,204,DOJ_CIV,2020-02-08,SHEILA JACKSON LEE,"JACKSON LEE, Sheila",PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,205,DOJ_CIV,2020-02-08,JEFF BINGAMAN,,RADIATION COMPENSATION,1,NA,NA
NA,NA,NA,206,DOJ_CIV,2020-02-08,JEFF BINGAMAN,,RADIATION COMPENSATION,1,NA,NA
Dianne,FEINSTEIN,NA,207,DOJ_CIV,2020-02-08,DIANNE FEINSTEIN,"FEINSTEIN, Dianne",PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,646,DOJ_CIV,2020-02-08,BILL NELSON,,REQUESTING THE REMOVAL OF PHYSICIANS LICENSE SUSPENSION,1,NA,NA
NA,NA,NA,145,DOJ_CIV,2020-02-09,NATHAN DEAL,,BANK FRAUD/GA COMMUNITY BANK,"NA","NA",NA
NA,NA,NA,237,DOJ_CIV,2020-02-09,PETE DOMENICI,,RADIATION COMPENSATION,1,NA,NA
NA,NA,NA,843,DOJ_CIV,2020-02-09,ORIN CHUCK DEAN MIKE PAT JOHN JOHN JOHNNY T M PAT RICHARD MICHAEL ROB HATCH GRASSLEY HELLER CRAPO ROBERTS CORNYN THUNE ISAKSON SCOTT TOOMEY BURR ENZI PORTMAN,,"SEN FINANCE CMTTEE - LACK OF INFO FROM OBAMA ADMIN RE (b) (6) 
 CONTINGENCY PLAN IF LOST",1,NA,NA
NA,NA,NA,844,DOJ_CIV,2020-02-09,DAN COATS,,CONCERN W/ LACK OF CONTENGINCY PLACE RE IF ADMIN LOSES(b) (6),1,NA,NA
Charles,GRASSLEY,NA,971,DOJ_CIV,2020-02-09,CHARLES GRASSLEY,"GRASSLEY, Charles Ernest",LTR FROM CHMN GRASSLEY JUDICIARY COMTE EXPRESSING CONCERN REGARDING THE USE AND ABUSE OF PAID ADMINISTRATIVE LEAVE.,NA,NA,NA
NA,NA,NA,974,DOJ_CIV,2020-02-09,DEAN HELLER,,"LTR ON BEHALF OF(b) (6) REGARD NG THE AMOUNT OF COMPENSAT ON SHE RECEIVED FROM
 HER RECA CLAIM.",1,NA,NA
NA,NA,NA,1056,DOJ_CIV,2020-02-09,CONNIE MACK,,RECA,NA,NA,NA
Christopher,VAN HOLLEN,NA,845,DOJ_CIV,2020-02-10,CHRIS VAN HOLLEN,"VAN HOLLEN, Christopher",RECOMMENDING CONSTITUENT FOR ATTORNEY JOB WITH VCF,NA,NA,NA
Kevin,McCARTHY,NA,846,DOJ_CIV,2020-02-10,KEVIN MCCARTHY,"MCCARTHY, Kevin",RECA,NA,NA,NA
NA,NA,NA,777,DOJ_CIV,2020-02-11,ALLYSON Y. SCHWARTZ,,OPERATION CHOKE POINT,NA,NA,NA
NA,NA,NA,1199,DOJ_CIV,2020-02-11,JAMES PETER MCGOVERN KING,,LEGAL REPRESENATION FOR(b) (6) (b) (6),1,NA,NA
NA,NA,NA,199,DOJ_CIV,2020-02-12,SCOTT GARRETT,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,203,DOJ_CIV,2020-02-12,TRENT LOTT*,,REFUND FROM INTERNET PURCHASE,1,NA,NA
Amy,KLOBUCHAR,NA,647,DOJ_CIV,2020-02-12,AMY KLOBUCHAR,"KLOBUCHAR, Amy",LOAN MODIFICATION DIFFICULTY,NA,NA,NA
Scott,PETERS,NA,976,DOJ_CIV,2020-02-12,SCOTT PETERS,"PETERS, Scott",REQUESTING INFORMATION REGARDING THE SETTLEMENT DOJ ENTERED INTO WITH METLIFE HOME LOANS.,1,NA,NA
NA,NA,NA,641,DOJ_CIV,2020-02-13,BILL OWENS,,RECA,NA,NA,NA
NA,NA,NA,1046,DOJ_CIV,2020-02-13,BILL NELSON,,RECA,NA,NA,NA
NA,NA,NA,276,DOJ_CIV,2020-02-14,JEFF BINGAMAN,,RADIATION COMPENSATION,1,NA,NA
NA,NA,NA,781,DOJ_CIV,2020-02-14,DONNA F. EDWARDS,,ODOMETER FRAUD OTHER ISSUES WITH AUTO DEALER,NA,NA,NA
NA,NA,NA,202,DOJ_CIV,2020-02-16,JEFF BINGAMAN,,RADIATION COMPENSATION,1,NA,NA
NA,NA,NA,975,DOJ_CIV,2020-02-16,DAVID JOLLY,,LTR ON BEHALF OF(b) (6) REGARDING THE ISSUES HE IS HAVING WITH HIS BP CLAIM.,1,NA,NA
NA,NA,NA,1060,DOJ_CIV,2020-02-16,ALLEN WEST,,QUI TAM MATTER,NA,NA,NA
Susan,COLLINS,NA,1068,DOJ_CIV,2020-02-16,SUSAN M. COLLINS,"COLLINS, Susan Margaret",GARNISHMENT OF WAGES,NA,NA,NA
NA,NA,NA,1073,DOJ_CIV,2020-02-16,KELLY AYOTTE,,WORKERS COMP FROM BOP,NA,NA,NA
NA,NA,NA,1078,DOJ_CIV,2020-02-16,JOHN MCCAIN,,MORTGAGE SETTLEMENT WITH BANKS,NA,NA,NA
Ted,LIEU,NA,1203,DOJ_CIV,2020-02-17,TED LIEU,"LIEU, Ted",LTR TO THE AG REQUESTING A DOJ INVESTIGATION INTO EXXONMOBIL FOR THE ORGANIZED ENTERPRISE OF DECEIVING THE PUBLIC ON CLIMATE SCIENCE IN ORDER TO BENEFIT THE SALE OF ITS PRODUCTS.,1,NA,NA
NA,NA,NA,1204,DOJ_CIV,2020-02-17,NA Loudermilk,,Requesting info for consitituent about unpaid depo transcript,1,NA,NA
Vernon,BUCHANAN,NA,973,DOJ_CIV,2020-02-19,VERN BUCHANAN,"BUCHANAN, Vernon G.",LTR ON BEHALF OF(b) (6) REGARDING THE STATUS OF HIS DEEP WATER HORIZON CLAIM.,1,NA,NA
Mark,WARNER,NA,52,DOJ_CIV,2020-02-20,MARK WARNER,"WARNER, Mark",TRIBAL-OWNDED ONLINE LENDERS,NA,NA,NA
NA,NA,NA,200,DOJ_CIV,2020-02-20,RUSSELL D FEINGOLD,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,201,DOJ_CIV,2020-02-20,EDWARD M KENNEDY,,RETURN OF PROBATE ESTATE DOCUMENTS,1,NA,NA
NA,NA,NA,787,DOJ_CIV,2020-02-20,BARBARA BOXER,,FBI INVESTIGATION OF R.E. LOANS FAILURE OF DOJ TO PROSECUTE,NA,NA,NA
Buddy,CARTER,NA,890,DOJ_CIV,2020-02-20,EARL CARTER,"CARTER, Buddy",LTR ON BEHALF OF GA CONSTITUTENT WHO BELIEVES THAT SAVANNAH JUDGES BROKE LAWS RE CLOSED CASES,NA,NA,NA
NA,NA,NA,197,DOJ_CIV,2020-02-21,KAY BAILEY HUTCHISON,,TELECOMMUNICATIONS SUITS & SURVEILLANCE,NA,NA,NA
NA,NA,NA,198,DOJ_CIV,2020-02-21,"WALTER, B JONES",,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,782,DOJ_CIV,2020-02-21,BOB J. RANDY GOODLATTE FORBES,,(b) (6) V. HOLDER,1,NA,NA
NA,NA,NA,1059,DOJ_CIV,2020-02-21,ED WHITFIELD,,RECA,NA,NA,NA
Sherrod,BROWN,NA,42,DOJ_CIV,2020-02-22,SHERROD BROWN,"BROWN, Sherrod",DISPUTE WITH INSURANCE COMPANY,NA,NA,NA
NA,NA,NA,189,DOJ_CIV,2020-02-22,JEFF BINGAMAN,,RADIATION COMPENSATION,1,NA,NA
NA,NA,NA,194,DOJ_CIV,2020-02-22,JEFF BINGAMAN,,RADIATION COMPENSATION,1,NA,NA
NA,NA,NA,196,DOJ_CIV,2020-02-22,JEFF BINGAMAN,,RADIATION COMPENSATION,1,NA,NA
NA,NA,NA,1074,DOJ_CIV,2020-02-22,JIM MATHESON,,RECA,NA,NA,NA
NA,NA,NA,190,DOJ_CIV,2020-02-23,GINNY BROWN-WAITE,,CLAIM AGAINST CORNING/ASBESTOS EXPOSURE,1,NA,NA
NA,NA,NA,191,DOJ_CIV,2020-02-23,CHARLIE MELANCO N,,KATRINA FTCA CLAIM EXTENSION REQUEST,1,NA,NA
NA,NA,NA,192,DOJ_CIV,2020-02-23,MARY L LANDRIEU,,KATRINA FTCA CLAIM EXTENSION REQUEST,1,NA,NA
NA,NA,NA,195,DOJ_CIV,2020-02-23,JEFF BINGAMAN,,RADIATION COMPENSATION,1,NA,NA
NA,NA,NA,51,DOJ_CIV,2020-02-25,NIKI TSONGAS,,SEPTEMBER 11TH VICTIMS COMPENSATION FUND (VCF),NA,NA,NA
Brad,SHERMAN,NA,650,DOJ_CIV,2020-02-25,BRAD SHERMAN,"SHERMAN, Brad",NATIONAL MORTGAGE SETTLEMENT,NA,NA,NA
Gerald,CONNOLLY,NA,662,DOJ_CIV,2020-02-25,GERALD CONNOLLY,"CONNOLLY, Gerald E. (Gerry)",CONSTITUENT WANTS LAWFUL PERMANENT RESIDENCY,NA,NA,NA
Mark,TAKANO,NA,41,DOJ_CIV,2020-02-26,MARK TAKANO,"TAKANO, Mark",AMICUS BRIEF IN(b) (6),1,NA,NA
NA,NA,NA,56,DOJ_CIV,2020-02-26,GARY G. MILLER,,VA WHISTLEBLOWER,NA,NA,NA
NA,NA,NA,193,DOJ_CIV,2020-02-26,RICK RENZI,,RADIATION COMPENSATION,1,NA,NA
NA,NA,NA,784,DOJ_CIV,2020-02-26,"JEFF TOM RICHARD MAZIE EL ZABETH RICHARD
 ELIJAH SUZANNE ALLYSON JOHN MAXINE MERKLEY UDALL DURBIN HIRONO WARREN
 BLUMENTHAL CUMMINGS BONAMICI SCHWARTZ",,"PAYMENTS BY BANKS AND THIRD-PARTY
 PAYMENT PROCESSORS",NA,NA,NA
Karen,BASS,NA,894,DOJ_CIV,2020-02-26,KAREN BASS,"BASS, Karen",LTR ON BEHALF OF CA CONSITUENT REGARDING UNFAIR LOAN PRACTICES PERTAINING TO BOA LOAN,NA,NA,NA
Charles,SCHUMER,NA,785,DOJ_CIV,2020-02-27,CHARLES SCHUMER,"SCHUMER, Charles Ellis (Chuck)","SEPTEMBER 11TH VICTIMS COMPENSATION FUND
 (VCF)",NA,NA,NA
NA,NA,NA,1063,DOJ_CIV,2020-02-27,Bill YOUNG,,(b) (6) V. UNITED STATES,1,NA,NA
Emanuel,CLEAVER,NA,55,DOJ_CIV,2020-02-28,EMANUEL CLEAVER,"CLEAVER, Emanuel, II",CONSTITUENT WANTS TO MAKE AN APPOINTMENT WITH CIV,NA,NA,NA
NA,NA,NA,1075,DOJ_CIV,2020-02-28,MARY L. LANDRIEU,,SERVICEMEMBERS CIVIL RELIEF ACT,NA,NA,NA
John,THUNE,NA,1076,DOJ_CIV,2020-02-28,JOHN THUNE,"THUNE, John",VICTIMS OF CRIME FUND,NA,NA,NA
Christopher,VAN HOLLEN,NA,1200,DOJ_CIV,2020-02-28,CHRIS VAN HOLLEN,"VAN HOLLEN, Christopher",IMMIGRATION CASE,NA,NA,NA
NA,NA,NA,534,DOJ_CIV,2020-02-29,BARBARA MIKULSKI,,SEED MODIFICATION BY MONSANTO,NA,NA,NA
Raul,GRIJALVA,NA,1064,DOJ_CIV,2020-02-29,RAUL M. GRIJALVA,"GRIJALVA, Raúl M.",(b) (6) ET AL V. BP EXPLORATION,1,NA,NA
Edward,MARKEY,NA,1071,DOJ_CIV,2020-02-29,EDWARD J. MARKEY/2 OTHERS,"MARKEY, Edward John",WANT BP SETTLEMENT INVESTED IN GULF,NA,NA,NA
Adam,SMITH,NA,53,DOJ_CIV,2020-03-01,ADAM SMITH,"SMITH, Adam",REGULATION OF SECURIT ES COMPANIES,NA,NA,NA
Amy,KLOBUCHAR,NA,127,DOJ_CIV,2020-03-01,AMY KLOBUCHAR,"KLOBUCHAR, Amy",REQ INVEST/ARMY BIOLOGICAL RES LAB,5,"NA",NA
Charles,GRASSLEY,NA,128,DOJ_CIV,2020-03-01,CHARLES E. GRASSLEY,"GRASSLEY, Charles Ernest",GM SITE IN SIOUX CITY,"NA","NA",NA
NA,NA,NA,134,DOJ_CIV,2020-03-01,BARBARA MIKULSKI,,BLACK FARMERS SETTLEMENT/P GFORD II,"NA","NA",NA
NA,NA,NA,138,DOJ_CIV,2020-03-01,BARBARA A. MIKULSKI,,BLACK FARMERS CASE/PIGFORD II,"NA","NA",NA
NA,NA,NA,139,DOJ_CIV,2020-03-01,BARBARA A. MIKULSKI,,BLACK FARMERS/PIGFORD II,"NA","NA",NA
NA,NA,NA,172,DOJ_CIV,2020-03-01,RANDY NEUGEBAUER,,REQ ADMIN HALT ENFORCEMENT - HEALTH LAW,5,"NA",NA
NA,NA,NA,173,DOJ_CIV,2020-03-01,JEFF MILLER,,REQ ADMIN HALT ENFORCEMENT - HEALTH LAW,5,"NA",NA
NA,NA,NA,653,DOJ_CIV,2020-03-01,CLAIRE MCCASKILL,,RECA,NA,NA,NA
Bill,JOHNSON,NA,656,DOJ_CIV,2020-03-01,BILL JOHNSON,"JOHNSON, Bill","MORTGAGE FRAUD AND VARIOUS OTHER
 CRIMINAL ISSUES",NA,NA,NA
Jon,TESTER,NA,660,DOJ_CIV,2020-03-01,JON TESTER,"TESTER, Jon",ISSUE WITH VA BENEFITS,NA,NA,NA
Danny,DAVIS,NA,891,DOJ_CIV,2020-03-01,DANNY DAVIS,"DAVIS, Danny K.",LTR ON BEHALF OF IL CONSTITUENT REQUESTING ASSISTANCE WITH ARBITRATION CASE,1,NA,NA
NA,NA,NA,1066,DOJ_CIV,2020-03-01,LAMAR/CHARLES SMITH/GRASSLEY,,OVERREACH OF AUTHORITY BY NINTH C RCUIT,NA,NA,NA
NA,NA,NA,74,DOJ_CIV,2020-03-02,L SA MURKOWSKI,,THE SKIES OF INTERIOR ALASKA WERE BLACKEND BY A WILDFIRE TOUCHED OFF BY MILITARY. EXPRESSING CONCERNS THAT CHENA HOT SPRINGS RESORT ENTERED IN A SETTLEMENT WITH THE ARMY FOR DAMAGES ARISING FROM THE FIRE.,NA,NA,NA
NA,NA,NA,181,DOJ_CIV,2020-03-02,LAMAR SMITH,,DOJ FOIA ENFRCEMNT/CRT FOIA,"NA","NA",NA
NA,NA,NA,388,DOJ_CIV,2020-03-02,CHARLES GONZALEZ,,HISPANIC/FEMALE USDA DISCIM (b) (6),1,NA,NA
NA,NA,NA,389,DOJ_CIV,2020-03-02,JO BONNER,,CONST REQ MONEY FOR INVLVMT IN CASE,5,NA,NA
NA,NA,NA,852,DOJ_CIV,2020-03-02,BILL NELSON,,CONSTITUENT/SMALL NON-PROFIT REQUEST FOR AN INVESTIGATION OF A BANK,1,NA,NA
Richard,BURR,NA,71,DOJ_CIV,2020-03-03,RICHARD BURR,"BURR, Richard M.",LTR ON BEHALF OF(b) (6) REGARDING PROBLEMS WITH HER MOTHER'S (b) (6) 911 COMPENSATION FUND CLAIM.,1,NA,NA
NA,NA,NA,136,DOJ_CIV,2020-03-03,PARKER GRIFF TH,,COMPLAINT RE  DECISION IN EEOC CASE,"NA","NA",NA
NA,NA,NA,137,DOJ_CIV,2020-03-03,CLIFF STEARNS,,VETERAN MEDICAL FILE STOLEN,"NA","NA",NA
Ben,LUJAN,NA,179,DOJ_CIV,2020-03-03,BEN RAY LUJAN,"LUJÁN, Ben Ray",RADIATION COMPENSATION,1,"NA",NA
NA,NA,NA,27,DOJ_CIV,2020-03-05,TOM/RICHARD HARKIN/BLUMENTHAL,,FDA WARNING ON CIGARETTE LABELS,NA,NA,NA
Jeff,MERKLEY,NA,28,DOJ_CIV,2020-03-05,JEFF MERKLEY,"MERKLEY, Jeff",FDA WARNING ON CIGARETTE LABELS,NA,NA,NA
NA,NA,NA,529,DOJ_CIV,2020-03-05,RICHARD LUGAR,,MORTGAGE SETTLEMENT,NA,NA,NA
NA,NA,NA,530,DOJ_CIV,2020-03-05,RICHARD LUGAR,,MORTGAGE SETTLEMENT,NA,NA,NA
NA,NA,NA,1069,DOJ_CIV,2020-03-05,FRANK/RICHARD LAUTENBERG/DURBIN,,FDA WARNING ON CIGARETTE LABELS,NA,NA,NA
NA,NA,NA,537,DOJ_CIV,2020-03-06,JOHN DUNCAN JR.,,RECA,NA,NA,NA
Tammy,BALDWIN,NA,851,DOJ_CIV,2020-03-06,TAMMY BALDWIN,"BALDWIN, Tammy",NOAA ALLEGEDLY VIOLATING 28 CFR 50 23 IN PROPOSED SETTLEMENT,NA,NA,NA
NA,NA,NA,54,DOJ_CIV,2020-03-07,CHARLES DENT,,SEPTEMBER 11TH VICTIMS COMPENSATION FUND (VCF),NA,NA,NA
Ronald,WYDEN,NA,652,DOJ_CIV,2020-03-07,RON WYDEN,"WYDEN, Ronald Lee","MORTGAGE INDUSTRY CHARGING FEES ALREADY PAID BY GOVERNMENT ENTITY (FALSE CLAIMS
 CT)",1,NA,NA
Charles,GRASSLEY,NA,978,DOJ_CIV,2020-03-07,CHARLES GRASSLEY,"GRASSLEY, Charles Ernest",LEAGUE OF WOMEN VOTERS V NEWBY (EAC) - EXPRESSING CONCERNS THAT DOJ D D NOT ADVOCATE FOR EAC AND SIDED W/ PLAINTIFFS REQUESTS ANSWERS TO FIVE QUESTIONS INCLUDED IN LETTER,1,NA,NA
NA,NA,NA,1079,DOJ_CIV,2020-03-07,CHARLES BOUSTANY JR.,,(b) (6) V. USA,1,NA,NA
NA,NA,NA,149,DOJ_CIV,2020-03-08,JIM MATHESON,,RADIATION COMPENSATION,1,"NA",NA
Patrick,LEAHY,NA,150,DOJ_CIV,2020-03-08,PATRICK LEAHY,"LEAHY, Patrick Joseph",REQ INFO - DOJ USE OF STATE SECRETS PRIV,5,"NA",NA
NA,NA,NA,151,DOJ_CIV,2020-03-08,DONALD CLARK,,NOTIFY DOJ  FTC/TOYS R US SETLMNT AGRMNT,"NA","NA",NA
Sheila,JACKSON LEE,NA,152,DOJ_CIV,2020-03-08,SHEILA JACKSON LEE,"JACKSON LEE, Sheila",REQ USMS F ND FUJITVE(b) (6) IN NIGERIA,1,"NA",NA
Charles,GRASSLEY,NA,1072,DOJ_CIV,2020-03-08,CHARLES E. GRASSLEY,"GRASSLEY, Charles Ernest",DOJ INVESTIGATION OF MINNESOTA MEDICAID,NA,NA,NA
Charles,GRASSLEY,NA,72,DOJ_CIV,2020-03-09,CHARLES E. GRASSLEY,"GRASSLEY, Charles Ernest",LTR FROM CHMN GRASSLEY JUDICIARY COMTE EXPRESSING CONCERNS REGARDING POTENTIAL ABUSES WITHIN THE MEDICARE HOSPICE BENEFIT WHEREAS HOSPICE COMPANIES ARE RECRUITING PATIENTS WHO ARE NOT ACTUALLY TERMINALLY ILL.,NA,NA,NA
Sean,DUFFY,NA,75,DOJ_CIV,2020-03-09,SEAN P. DUFFY,"DUFFY, Sean",CHRMAN EXPRESSING CONCERNS REGARDING DOJ'S FAILURE TO COMPLY WITH THE COMTE S SUBPOENA AND INFORMAT ON REQUEST ON 5/11/15 INVOLVING MORTGAGE-LENDING SETTLEMENTS.,1,NA,NA
NA,NA,NA,77,DOJ_CIV,2020-03-09,STEVE ISRAEL,,9/11 VCF,NA,NA,NA
NA,NA,NA,135,DOJ_CIV,2020-03-09,JEAN SCHMIDT,,CONTRACTING ISSUE WITH AIRPORT,"NA","NA",NA
NA,NA,NA,153,DOJ_CIV,2020-03-09,RICHARD LUGAR,,CONST CONCERN - DOJ/ST SECRETS PRIVLEGE,"NA","NA",NA
Jon,TESTER,NA,291,DOJ_CIV,2020-03-09,JON TESTER,"TESTER, Jon",ADVISING THAT ROTHE DEVELOPMENT CORP INC. IS CHALLENGING THE FACIAL CONSTITUTIONAL VALIDITY OF SBAS SECTION 8(A) BUSINESS DEVELOPMENT PROGRAM.,NA,NA,NA
NA,NA,NA,73,DOJ_CIV,2020-03-10,BOB GOODLATTE,,LTR EXPRESSING APPRECIATION FOR DOJ'S COOPERATION TO MAKE AVAILABLE THIRD PARTY PAYMENT TERMS IN CERTAIN DOJ SETTLEMENTS.,NA,NA,NA
Kathleen,RICE,NA,76,DOJ_CIV,2020-03-10,KATHLEEN RICE,"RICE, Kathleen Maura",RADIATION EXPOSURE,NA,NA,NA
Charles,GRASSLEY,NA,990,DOJ_CIV,2020-03-10,CHARLES E. GRASSLEY,"GRASSLEY, Charles Ernest",REQUESTING INFORMAITON ON AGENCY USE OF ADMINISTRATIVE LEAVE.,1,NA,NA
NA,NA,NA,57,DOJ_CIV,2020-03-11,MARK BEGICH (THREE OTHERS),,(b) (6),1,NA,NA
NA,NA,NA,148,DOJ_CIV,2020-03-11,SANDY ADAMS,,REQ ADMIN HALT ENFORCEMENT - HEALTH LAW,5,"NA",NA
John,CARTER,NA,154,DOJ_CIV,2020-03-11,JOHN CARTER,"CARTER, John R.",REQ ADMIN HALT ENFORCEMENT - HEALTH LAW,5,"NA",NA
Scott,DESJARLAIS,NA,155,DOJ_CIV,2020-03-11,SCOTT DESJARLAIS,"DESJARLAIS, Scott",REQ ADMIN HALT ENFORCEMENT - HEALTH LAW,5,"NA",NA
