comid,UltOrg,Affiliate,PACShort,Catcode
C00001289,Chevron Corp; Union Oil; Unocal Corp,Chevron Corp; NA,Unocal Corp; Union Oil,E1110; E1120
C00002972,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,E1610
C00004952,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Mississippi ACRE,E1610
C00004960,Burlington Resources; ConocoPhillips,NA; ConocoPhillips,Burlington Resources,E1120
C00007450,American Gas Assn,"NA",American Gas Assn,E1140
C00007849,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Speak Up for Rural Electrification,E1610
C00008169,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Missouri ACRE,E1610
C00008748,Pacific Enterprises; Sempra Energy,NA; Sempra Energy,Pacific Enterprises; Southern California Gas; Sempra Energy,E1140; E1620
C00010561,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Kansas ACRE,E1610
C00010710,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,North Carolina Assn of Electric Coops; National Rural Electric Cooperative Assn,E1610
C00010967,Dominion Resources; Consolidated Gas Transmission Corp; Consolidated Natural Gas,Dominion Resources; NA; Consolidated Natural Gas,Dominion Transmission & Storage; Consolidated Gas Transmission Corp; CNG Transmission Corp,E1140
C00011387,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Colorado ACRE,E1610
C00013995,Iowa Resources Inc; Midwest Resources Inc,NA; Midwest Resources Inc,Iowa Resources Inc; Midwest Resources Inc,E1600; E1620
C00014472,Dominion Resources; Consolidated Natural Gas,Dominion Resources; Consolidated Natural Gas,East Ohio Gas,E1140
C00015925,Indiana Gas,"NA",Indiana Gas,E1140
C00015933,Pinnacle West Capital,"NA",Pinnacle West Capital; Arizona Public Service Co,E1600
C00019653,Edison International; SCEcorp,"NA",Edison International; Southern California Edison,E1600
C00025346,Sunoco Inc; Energy Transfer Equity; Sun Co,NA; Energy Transfer Equity,Sunoco Inc; Sun Co,E1160
C00025395,PNM Resources; Public Service Co of New Mexico,"NA",Public Service Co of New Mexico,E1600; E1620
C00030676,USX Corp,USX Corp,USX Corp,E1100
C00032771,Transco Energy Co; Williams Companies,Transco Energy Co; Williams Companies,Texas Gas Transmission,E1140
C00032805,BP; Atlantic Richfield,BP; NA,Atlantic Richfield,E1110
C00033167,Dominion Resources; Consolidated Natural Gas,Dominion Resources; Consolidated Natural Gas,Dominion Peoples Natural Gas; Peoples Natural Gas,E1140
C00033530,BP; British Petroleum,BP; NA,BP; BP America,E1110
C00034041,Kerr-McGee Corp; Anadarko Petroleum,NA; Anadarko Petroleum,Kerr-McGee Corp; Anadarko Petroleum,E1120; E1160
C00034728,True Companies,"NA",True Companies,E1120
C00035006,Chevron Corp; ChevronTexaco,NA; ChevronTexaco; Chevron Corp,Chevron Corp; ChevronTexaco,E1110
C00035055,DuPont Co,DuPont Co,Conoco Inc,E1100
C00035204,Petroleum Marketers Assn,Petroleum Marketers Assn,Petroleum Marketers Assn,E1170
C00035527,Occidental Petroleum,Occidental Petroleum,Occidental Oil & Gas,E1110
C00035709,TXU Corp; Texas Utilities Co; Enserch Corp,TXU Corp; Texas Utilities Co; NA,TXU Corp/Transmission & Pipeline; Texas Utilities Co/Pipeline; Enserch Corp,E1120; E1140
C00039503,Shell Oil; Royal Dutch Shell,Shell Oil; NA,Shell Oil,E1110
C00039610,HOUPAC,"NA",HOUPAC,E1120
C00040394,Williams Companies,NA; Williams Companies,Williams Companies,E1140
C00040568,USX Corp; Marathon Oil,USX Corp; NA,Marathon Oil,E1100; E1110
C00040824,Dominion Resources; Consolidated Natural Gas,Dominion Resources; Consolidated Natural Gas,Consolidated Natural Gas,E1140
C00040881,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Ohio ACRE,E1610
C00040907,Panhandle Eastern Corp; PanEnergy Corp; Duke Energy,Panhandle Eastern Corp; NA; Duke Energy,Texas Eastern Gas Transmission; PanEnergy Corp; Duke Energy,E1140; E1620
C00041038,Washington Water Power; Avista Corp,"NA",Washington Water Power; Avista Corp,E1600; E1620
C00041178,Texaco; ChevronTexaco,NA; ChevronTexaco,Texaco; ChevronTexaco,E1110
C00041376,Constellation Energy; Exelon Corp; Baltimore Gas & Electric,NA; Exelon Corp,Constellation Energy; Baltimore Gas & Electric,E1620
C00041418,Panhandle Eastern Corp,Panhandle Eastern Corp,Panhandle Eastern Corp,E1140
C00041616,Mapco Inc,"NA",Mapco Inc,E1160
C00041947,ABB Group,"NA",ABB Group,E1700
C00048702,New England Power Co; New England Electric System; National Grid USA; National Grid plc,NA; National Grid plc,New England Power Co; National Grid USA,E1600; E1620
C00049056,Kaneb Services,"NA",Kaneb Services,E1100
C00050310,Sonat Inc; Southern Natural Resources,"NA",Sonat Inc,E1140
C00051979,NiSource Inc; Columbia Gas System; Columbia Energy Group,NiSource Inc; Columbia Gas System; Columbia Energy Group,Columbia Energy Group; Columbia Gas System; NiSource Inc,E1140; E1620
C00054890,NiSource Inc; Columbia Gas System,NiSource Inc; Columbia Gas System,Columbia Gas Distribution; Columbia Gas of Ohio,E1140
C00055236,NiSource Inc; Columbia Gas System,NiSource Inc; Columbia Gas System,Columbia Gas Transmission; Columbia Natural Resources,E1120
C00055616,Consolidated Edison of New York; Consolidated Edison Inc,NA; Consolidated Edison Inc,Consolidated Edison of New York,E1620
C00056572,American Electric Power; Central & South West Corp,American Electric Power; Central & South West Corp,Public Service Co of Oklahoma,E1600
C00059477,Xcel Energy; Southwestern Public Service Co; New Century Energies,Xcel Energy; NA; New Century Energies,Southwestern Public Service Co,E1600
C00060079,Pennzoil-Quaker State; Pennzoil Co,Pennzoil-Quaker State; NA,Pennzoil-Quaker State; Pennzoil Co,E1160
C00060103,BP; Amoco Corp,BP; NA,BP; Amoco Corp,E1110
C00062760,Panhandle Energy,"NA",Panhandle Energy,E0000
C00063024,Service Station Dealers of America,"NA",Service Station Dealers of America,E1170
C00063131,Sempra Energy; San Diego Gas & Electric,Sempra Energy; NA,San Diego Gas & Electric,E1620
C00063461,McDermott International; McDermott Inc,McDermott International; McDermott Inc,Babcock & Wilcox Enterprises,E1700
C00064774,FPL Group; NextEra Energy,"NA",Florida Power & Light; NextEra Energy,E1600
C00066985,OGE Energy; Oklahoma Gas & Electric,OGE Energy; NA,Oklahoma Gas & Electric,E1620
C00068056,Montana Power; NorthWestern Corp,NA; NorthWestern Corp,Montana Power; NorthWestern Energy,E1620
C00075473,CMS Energy; Consumers Power Co,"NA",CMS Energy; Consumers Power Co,E1620
C00075994,Ashland Inc; Ashland Oil,Ashland Inc; Ashland Oil,Ashland Inc; Ashland Oil,E1160
C00076703,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Iowa Assn of Electric Cooperatives; Iowa ACRE,E1610
C00076737,Southwest Gas,NA; Southwest Gas,Southwest Gas,E1140
C00077198,Pacificorp,Pacificorp,Pacific Power & Light (Wyoming),E1600
C00077305,Southern Co,Southern Co,Alabama Power,E1600
C00077370,Tesoro Petroleum; Pacific Resources; Broken Hill Proprietary,Tesoro Petroleum; NA; Broken Hill Proprietary,Tesoro Hawaii Corp; Pacific Resources; BHP Petroleum Americas,E1160
C00079442,Texas Utilities Co,Texas Utilities Co,Texas Utilities Electric Co/TP&L Div,E1600
C00079483,Texas Utilities Co,Texas Utilities Co,Texas Utilities Electric Co/Tesco Div,E1600
C00079681,National Propane Gas Assn,"NA",National Propane Gas Assn,E1190
C00079723,Texas Utilities Co,Texas Utilities Co,Texas Utilities Electric Co/DP&L Div,E1600
C00079756,El Paso Electric,"NA",El Paso Electric,E1600
C00081075,American Independent Refiners Assn,"NA",American Independent Refiners Assn,E1160
C00081273,Berkshire Hathaway; Midwest Energy Co; Midwest Resources Inc; MidAmerican Energy,Berkshire Hathaway; NA; Midwest Resources Inc; MidAmerican Energy,MidAmerican Energy; Midwest Energy Co; Midwest Resources Inc,E1620
C00081455,Centerpoint Energy; Houston Industries; RRI Energy; NRG Energy,Centerpoint Energy; NA; Houston Industries; NRG Energy,Reliant Energy; Houston Industries; RRI Energy; GenOn Energy,E1600; E1620; E1630
C00081471,Washington Natural Gas; Puget Sound Energy,NA; Puget Sound Energy,Washington Natural Gas,E1140
C00081547,Detroit Edison; DTE Energy,NA; DTE Energy,Detroit Edison; DTE Energy,E1600; E1620
C00082008,Portland General Electric; Enron Corp,NA; Enron Corp,Portland General Electric,E1600
C00082248,Central & South West Corp; American Electric Power,Central & South West Corp; American Electric Power,Central Power & Light,E1600
C00082313,Dallas Energy,"NA",Dallas Energy,E1120
C00082420,American Electric Power; Central & South West Corp,American Electric Power; Central & South West Corp,West Texas Utilities,E1600
C00082800,PacifiCorp; Berkshire Hathaway; Pacificorp,NA; Berkshire Hathaway; Pacificorp; PacifiCorp,PacifiCorp; Pacific Power & Light,E1600
C00082818,Centerpoint Energy; Arkla Inc; Entex; NorAm Energy; Houston Industries,Centerpoint Energy; Arkla Inc; Entex; NorAm Energy; Houston Industries,Reliant Energy Entex; Arkla Inc; Entex,E1140
C00083089,Central & South West Corp; American Electric Power,Central & South West Corp; American Electric Power,Central & South West Services,E1600
C00083337,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Louisiana ACRE,E1610
C00083535,Duke Energy; Duke Power,Duke Energy; NA,Duke Energy; Duke Power,E1140; E1600; E1620
C00083758,National Fuel Gas Corp,"NA",National Fuel Gas Corp,E1140
C00083808,Michigan Petroleum Assn,"NA",Michigan Petroleum Assn,E1120
C00083832,IDACORP Inc; Idacorp Inc,"NA",Idaho Power,E1600
C00083857,Occidental Petroleum,Occidental Petroleum; NA,Occidental Petroleum,E1100; E1110
C00084988,American Electric Power; Central & South West Corp,American Electric Power; Central & South West Corp,Southwestern Electric Power,E1600
C00087965,Mitchell Energy & Development,"NA",Mitchell Energy & Development,E1120; E1140
C00088377,Southern Union,"NA",Southern Union,E1140
C00088906,Interstate Power; Alliant Inc,NA; Alliant Inc,Interstate Power,E1620
C00091702,Coastal Corp; El Paso Corp,NA; El Paso Corp,Coastal Corp; El Paso Corp,E1140
C00091884,Progress Energy; Carolina Power & Light,Progress Energy; NA,Progress Energy; Carolina Power & Light,E1600
C00092254,Transco Energy; Williams Companies,Transco Energy; Williams Companies,Transco Energy,E1140
C00092833,Northern Indiana Public Service Co,"NA",Northern Indiana Public Service Co,E1620
C00093948,El Paso Energy; El Paso Corp; Burlington Northern; El Paso Natural Gas,NA; El Paso Corp; Burlington Northern,El Paso Energy; El Paso Corp; El Paso Natural Gas,E1140
C00094276,Maxus Energy Corp,"NA",Maxus Energy Corp,E1120
C00095406,Exxon Mobil; Mobil Oil,Exxon Mobil; NA,Exxon Mobil; Mobil Oil,E1110
C00095869,Edison Electric Institute,"NA",Edison Electric Institute,E1600
C00095984,Quaker State Oil Refining Corp,"NA",Quaker State Oil Refining Corp,E1160
C00096743,Petroleum Marketers Assn,Petroleum Marketers Assn,Illinois Petroleum Marketers Assn,E1170
C00096842,American Electric Power,American Electric Power,American Electric Power,E1600
C00096859,Public Service Co of Indiana; Cinergy Corp,NA; Cinergy Corp,Public Service Co of Indiana; PSI Energy,E1600
C00097758,Questar Corp; Dominion Resources,NA; Dominion Resources,Questar Corp,E1140
C00097865,National Assn of Truck Stop Operators,"NA",National Assn of Truck Stop Operators,E1170
C00099366,Energy East Corp; Connecticut Natural Gas,Energy East Corp; NA,Connecticut Natural Gas,E1140
C00099937,Cooper Industries,"NA",Cooper Industries,E1700
C00099945,Wisconsin Energy Corp; WEC Energy Group,"NA",Wisconsin Electric Power; We Energies,E1600; E1620
C00100347,Entergy Corp,Entergy Corp,Entergy Mississippi; Mississippi Power & Light,E1600
C00100727,Entergy Corp,Entergy Corp,Entergy Services,E1600; E1620
C00100826,Circle K Corp,"NA",Circle K Corp,E1170
C00101592,Puget Sound Power & Light; Puget Sound Energy; Puget Equico,NA; Puget Sound Energy,Puget Sound Power & Light; Puget Sound Energy,E1600; E1620
C00101709,Peoples Energy,"NA",Peoples Energy,E1140
C00102087,Gulf Resources Corp; Mustang Energy Corp,"NA",Mustang Fuel Corp; Mustang Energy Corp,E1120; E1140
C00102152,Washington Gas Light Co,"NA",Washington Gas Light Co,E1140
C00102160,Northeast Utilities; Eversource Energy,NA; Northeast Utilities,Northeast Utilities; Eversource Energy,E1600; E1620
C00102798,TNP Enterprises; Texas-New Mexico Power,"NA",Texas-New Mexico Power,E1600
C00102947,DPL Inc; AES Corp; Dayton Power & Light,NA; AES Corp,Dayton Power & Light,E1600; E1620
C00103028,KN Energy,"NA",KN Energy,E1140
C00103697,Bechtel Group,"NA",Bechtel Group,E1700
C00103788,Entergy Corp; Gulf States Utilities,Entergy Corp; NA,Entergy Gulf States; Gulf States Utilities,E1600; E1620
C00103911,Mississippi Valley Gas Co,"NA",Mississippi Valley Gas Co,E1140
C00103978,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Indiana ACRE,E1610
C00104810,Enron Corp,Enron Corp; NA,Enron Corp,E1100; E1140
C00106625,Noble Affiliates,"NA",Noble Affiliates,E1120
C00107771,Xcel Energy; Northern States Power,Xcel Energy; NA,Xcel Energy; Northern States Power,E1620
C00107813,WPS Resources; Integrys Energy Group; Wisconsin Public Service Corp,WPS Resources; NA; Integrys Energy Group,Wisconsin Public Service Corp,E1620
C00108209,Dominion Resources,NA; Dominion Resources,Dominion Resources,E1600; E1620
C00109264,Iowa-Illinois Gas & Electric; MidAmerican Energy Co,NA; MidAmerican Energy Co,Iowa-Illinois Gas & Electric; MidAmerican Energy Co,E1620
C00109546,Valero Energy,"NA",Valero Energy,E1160
C00109793,American Petrofina; Fina Inc,"NA",American Petrofina; Fina Inc,E1120; E1160
C00109801,Entergy Corp,Entergy Corp,Louisiana Power & Light,E1600
C00110973,Conectiv; Delmarva Power & Light,"NA",Conectiv; Delmarva Power & Light,E1620
C00111310,Kansas City Power & Light; Great Plains Energy; Evergy Inc,NA; Great Plains Energy; Evergy Inc,Kansas City Power & Light,E1600
C00111427,Mid-Continent Oil & Gas Assn; Mid-Con Oil & Gas,Mid-Continent Oil & Gas Assn; NA; Mid-Con Oil & Gas,Mid-Continent Oil & Gas Assn,E1120
C00112896,Phillips Petroleum; ConocoPhillips,NA; Phillips Petroleum; ConocoPhillips,Phillips Petroleum; ConocoPhillips,E1110
C00113035,Entergy Corp,Entergy Corp,Entergy Arkansas; Arkansas Power & Light,E1600
C00113233,Research-Cottrell,"NA",Research-Cottrell,E2000
C00114207,Louisiana Energy PAC,"NA",Louisiana Energy PAC,E1120
C00115030,AES Corp; Indianapolis Power & Light; Ipalco Enterprises,AES Corp; NA,Ipalco Enterprises; Indianapolis Power & Light,E1600
C00115212,Entergy Corp,Entergy Corp,New Orleans Public Service Inc,E1620
C00115345,USX Corp; Koch Industries,USX Corp; Koch Industries,Delhi Gas Pipeline Corp,E1140
C00116004,Northville Industries,"NA",Northville Industries,E1160; E1180
C00116145,Interstate Natural Gas Assn of America,"NA",Interstate Natural Gas Assn of America,E1140
C00116400,Phillips Petroleum; Tosco Corp,Phillips Petroleum; NA,Phillips Petroleum; Tosco Corp,E1110; E1160
C00117226,Kentucky Gasoline Dealers Assn,"NA",Kentucky Gasoline Dealers Assn,E1170
C00118885,Potomac Electric Power; PEPCO Holdings,NA; PEPCO Holdings,Potomac Electric Power,E1600
C00118935,Central Illinois Public Service Co,"NA",Central Illinois Public Service Co,E1620
C00119321,NSTAR; Boston Edison,"NA",NSTAR; Boston Edison,E1600
C00119776,Southern Co,Southern Co,Georgia Power,E1600
C00120030,Society of Independent Gasoline Marketers,"NA",Society of Independent Gasoline Marketers,E1170
C00120519,Southern Co,Southern Co,Gulf Power,E1600
C00120808,Mid-Continent Oil & Gas Assn; Dixie Oil Producers; Mid-Con Oil & Gas,Mid-Continent Oil & Gas Assn; NA; Mid-Con Oil & Gas,Mid-Continent Oil & Gas Assn/Ala Div; Dixie Oil Producers; Mid-Continent Oil & Gas Assn/MS-AL Div,E1120
C00121368,Exxon Mobil; Exxon Corp,Exxon Mobil; NA,Exxon Mobil; Exxon Corp,E1110
C00125658,Niagara Mohawk Power,"NA",Niagara Mohawk Power,E1600; E1620
C00125732,Black Hills Corp; Black Hills Power & Light,"NA",Black Hills Corp; Black Hills Power & Light,E1600; E1620
C00127381,BOC Group,"NA",BOC Group,E1140
C00129205,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,South Dakota ACRE,E1610
C00129270,Tesoro Petroleum,"NA",Tesoro Petroleum,E1120; E1160
C00130575,GPU Inc; FirstEnergy Corp; General Public Utilities,NA; FirstEnergy Corp,GPU Inc; General Public Utilities,E1600
C00131235,Public Service Co of Colorado; New Century Energies,NA; New Century Energies,Public Service Co of Colorado,E1620
C00131375,Energy Consumers & Producers Assn,"NA",Energy Consumers & Producers Assn,E1120
C00131540,Independent Producers Group,"NA",Independent Producers Group,E1120
C00132092,Alliant Energy; Wisconsin Power & Light; Alliant Inc,NA; Alliant Inc,Alliant Energy; Wisconsin Power & Light; Alliant Inc,E1620
C00133462,Iowa-Illinois Gas And Electric Co; Mid-American Energy Co,"NA",Iowa-Illinois Gas And Electric Co; Mid-American Energy Co,E0000
C00133561,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Oklahoma ACRE,E1610
C00133660,Independent Energy PAC,"NA",Independent Energy PAC,E1630
C00135764,New Jersey Gasoline Retailers Assn,"NA",New Jersey Gasoline Retailers Assn,E1170
C00135855,Energen Corp; Diamondback Energy; Alagasco Inc,NA; Diamondback Energy,Energen Corp; Alagasco Inc,E1120; E1140
C00136317,McDermott International,McDermott International,McDermott International,E1700
C00139105,Ohio Petroleum Retailers & Repair Assn; Northern Ohio Petroleum Retailers Assn,"NA",Ohio Petroleum Retailers & Repair Assn; Northern Ohio Petroleum Retailers Assn,E1170
C00139360,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Montana ACRE,E1610
C00139642,American Electric Power,American Electric Power,American Electric Power; Indiana Michigan Power,E1600
C00139667,UGI Corp; Ugi Corp,"NA",UGI Corp; Ugi Corp,E1140
C00140277,Com/Energy Services,"NA",Com/Energy Services,E1620
C00140855,FirstEnergy Corp; Ohio Edison,FirstEnergy Corp; NA,FirstEnergy Corp; Ohio Edison,E1600
C00141150,KeySpan Energy; Brooklyn Union Gas,KeySpan Energy; NA,Brooklyn Union Gas,E1140
C00141218,Exelon Corp; Commonwealth Edison,Exelon Corp; NA,Exelon Corp; Commonwealth Edison,E1600
C00141333,Orange & Rockland Utilities,"NA",Orange & Rockland Utilities,E1620
C00141879,Deblois Oil; PETRO,"NA",Deblois Oil,E1160; E1180
C00141945,Hunt Companies; Rrh Corp,"NA",Hunt Oil,E1120
C00142158,Ogden Corp; Covanta Energy Corp; Covanta Holding,"NA",Ogden Corp; Covanta Energy Corp,E1000; E1630; E2000
C00142489,Allete Inc; Minnesota Power & Light; Minnesota Power,"NA",Allete Inc; Minnesota Power & Light; Minnesota Power,E1600
C00144147,Southern Co,Southern Co,Mississippi Power,E1600
C00144774,Southern Co,Southern Co,Southern Co,E1600; E1620
C00144824,Piedmont Natural Gas; Duke Energy,NA; Duke Energy,Piedmont Natural Gas,E1140
C00145037,AGL Resources; Southern Co Gas; Atlanta Gas Light Co,AGL Resources; Southern Co Gas; NA,AGL Resources; Southern Co Gas; Atlanta Gas Light Co,E1140
C00145540,American Electric Power,American Electric Power,Ohio Power,E1600
C00145722,Murphy Oil,Murphy Oil; NA,Murphy Oil,E1120; E1160
C00146084,Williams Companies,Williams Companies,Williams Companies,E1140
C00147256,Occidental Petroleum,Occidental Petroleum,Midcon Corp; MidCon Corp,E1140
C00147819,NiSource Inc; Bay State Gas,NiSource Inc; NA,Bay State Gas,E1140
C00147918,Ecology & Environment Inc,"NA",Ecology & Environment Inc,E2000
C00148106,Red Apple Group,"NA",United Refining,E1160
C00148411,Wickland Oil,"NA",Wickland Oil,E1170
C00149484,Progress Energy; Florida Power; Florida Progress Corp,Progress Energy; NA,Florida Power,E1600
C00149765,National Assn of Texaco Wholesalers,"NA",National Assn of Texaco Wholesalers,E1160
C00151175,Equitable Resources; EQT Corp,"NA",Equitable Resources; EQT Corp,E1120; E1140
C00152934,Permian Corp; National Intergroup,NA; National Intergroup,Permian Corp,E1160
C00153379,Sierra Pacific Resources; NV Energy; Berkshire Hathaway,NA; Berkshire Hathaway; Sierra Pacific Resources,Sierra Pacific Resources; NV Energy,E1620
C00156471,Energy East Corp; New York State Electric & Gas,Energy East Corp; NA,New York State Electric & Gas,E1620
C00157107,Dynegy Inc; Illinois Power,Dynegy Inc; NA,Illinois Power,E1620
C00158113,American Electric Power,American Electric Power,Columbus Southern Power,E1600
C00159244,Associated Retail Gasoline Dealers,"NA",Petroleum Retailers & Auto Repair Assn,E1100; E1170
C00159418,MCN Energy Group; DTE Energy; Michigan Consolidated Gas,NA; DTE Energy,MCN Energy Group; Michigan Consolidated Gas,E1140
C00160085,Dominion Resources; Consolidated Natural Gas,Dominion Resources; Consolidated Natural Gas,CNG Producing Co,E1120
C00160101,Exelon Corp; PECO Energy; Philadelphia Electric,Exelon Corp; NA,PECO Energy; Philadelphia Electric,E1600; E1620
C00161422,TECO Energy,"NA",TECO Energy,E1600; E1620
C00161570,American Public Power Assn,"NA",American Public Power Assn,E1600
C00161745,PacifiCorp; Kennecott Corp,PacifiCorp; Kennecott Corp,Nerco Oil & Gas,E1120
C00162396,Missouri Public Service Co,"NA",Missouri Public Service Co,E1620
C00163253,MDU Resources Group,"NA",MDU Resources Group,E1600; E1620
C00164244,DQE Inc; Duquesne Light Holdings; Duquesne Light Co,NA; Duquesne Light Co,Duquesne Light Co,E1600
C00164970,Nicor Inc; AGL Resources,NA; AGL Resources,Nicor Inc,E1140
C00165290,FirstEnergy Corp; Pennsylvania Power,FirstEnergy Corp; NA,Pennsylvania Power,E1600
C00165878,Cleco Corp; Central Louisiana Electric,"NA",Cleco Corp; Central Louisiana Electric,E1600
C00166082,Independent Oil & Gas Assn of PA; Independent Oil & Gas Assn of Pa; Pennsylvania Natural Gas,"NA",Independent Oil & Gas Assn of PA; Independent Oil & Gas Assn of Pa; Pennsylvania Natural Gas,E1120; E1140
C00167106,Northeast Utilities,Northeast Utilities,Public Service Co of New Hampshire,E1600
C00167940,Kroger Co,Kroger Co,Mini Mart,E1170
C00172015,Gulf Coast Assn of Alabama,"NA",Gulf Coast Assn of Alabama,E2000
C00174136,Ocean Drilling & Exploration Co,"NA",Ocean Drilling & Exploration Co,E0000
C00174367,Northwest Natural Gas,"NA",Northwest Natural Gas,E1140
C00177469,PG&E Corp; Pacific Gas & Electric,PG&E Corp; NA,PG&E Corp; Pacific Gas & Electric,E1620
C00183434,Independent Oil Producers' Agency,"NA",Independent Oil Producers' Agency,E1120
C00185975,Cooperative Power Assn,"NA",Cooperative Power Assn,E1610
C00187799,NorthWestern Corp; Northwestern Public Service Co,NA; NorthWestern Corp; Northwestern Public Service Co,NorthWestern Energy; Northwestern Public Service Co,E1620
C00190306,American Wind Energy Assn,NA; American Wind Energy Assn,American Wind Energy Assn,E1500
C00190652,Southwestern Energy,"NA",Southwestern Energy,E1120; E1140
C00190983,Environmental Elements Corp,"NA",Environmental Elements Corp,E2000
C00193185,Cincinnati Gas & Electric; Cinergy Corp,NA; Cinergy Corp,Cincinnati Gas & Electric,E1620
C00194852,Foster Wheeler,"NA",Foster Wheeler,E1700
C00195776,Lear Petroleum Corp,"NA",Lear Petroleum Corp,E1160
C00197855,Reliant Energy; Arkla Inc; NorAm Energy; Houston Industries,Reliant Energy; Arkla Inc; NorAm Energy; Houston Industries,NorAm Energy; Arkla Inc,E1140
