comid,UltOrg,Affiliate,PACShort,Catcode
C00255992,Energy Future Holdings Corp; TXU Corp,Energy Future Holdings Corp; TXU Corp,Oncor Electric Delivery; TXU Corp; Oncor Group; TXU Electric Delivery,E1600; E1620
C00256958,Giant Industries,"NA",Giant Industries,E1160
C00258335,Entergy Corp,Entergy Corp,Entergy Operations,E1600; E1700
C00259572,American Wind Energy Assn,NA; American Wind Energy Assn,American Wind Energy Assn,E1500
C00259622,Red Apple Group,"NA",United Refining,E1160; E1170
C00260463,Entergy Corp,Entergy Corp,Louisiana Power & Light/New Orleans; Louisiana Power & Light,E1600
C00262204,Tractebel Power,"NA",Tractebel Power,E1620
C00265595,AES Corp; AES Shady Point,AES Corp; NA,AES Corp; AES Shady Point,E1630
C00267955,Western Farmers Electric Cooperative,"NA",Western Farmers Electric Cooperative,E1610
C00271361,Berkshire Hathaway; California Energy,Berkshire Hathaway; NA,California Energy,E1500
C00276485,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Wyoming ACRE,E1610
C00279224,Apache Corp,"NA",Apache Corp,E1110; E1120
C00279331,CONSOL Energy,"NA",CONSOL Energy,E1120
C00280933,Duquesne Light Co,Duquesne Light Co,Duquesne Light Co,E1600
C00281618,Total Petroleum Inc,"NA",Total Petroleum Inc,E1160
C00282053,Nuclear Fuel Services,"NA",Nuclear Fuel Services,E2000
C00285486,United Cities Gas Co,"NA",United Cities Gas Co,E1140
C00287508,OHM Corp,"NA",OHM Corp,E2000
C00292136,Otter Tail Corp,"NA",Otter Tail Power; Otter Tail Corp,E1600
C00292243,Missouri Gas Energy,"NA",Missouri Gas Energy,E1140
C00292375,Northwestern Public Service Co,Northwestern Public Service Co,Northwestern Public Service Co,E1620
C00295659,Triton Energy; Amerada Hess Corp,"NA",Triton Energy; Amerada Hess Corp,E1110; E1120
C00296533,Southern Co,Southern Co,Savannah Electric & Power,E1600
C00296616,Shell Oil; Central & South West Corp,Shell Oil; Central & South West Corp,Tejas Energy & Coral Energy; Transok Inc; TransOK Inc,E1140
C00298596,NiSource Inc; NIPSCO Industries,NiSource Inc; NA,NiSource Inc; Northern Indiana Public Service Co; NIPSCO Industries,E1620
C00298752,Chevron Corp,Chevron Corp,Chevron Corp/Texas,E1110
C00300137,Torch Energy Advisors,"NA",Torch Energy Advisors,E1100
C00300368,Entergy Corp,Entergy Corp,Entergy Corp,E1600; E1620
C00304964,Cinergy Corp; Duke Energy,NA; Duke Energy; Cinergy Corp,Cinergy Corp,E1620
C00307488,Georgia Assn of Petroleum Retailers,"NA",Georgia Assn of Petroleum Retailers,E1170
C00308718,XTO Energy,"NA",XTO Energy,E1120
C00317735,Environmental Chemical Corp,"NA",Environmental Chemical Corp,E2000
C00318766,Independent Petroleum Assn of America; California Independent Petroleum Assn,Independent Petroleum Assn of America; NA,California Independent Petroleum Assn,E1120
C00319194,Georgia Oilmen's Assn,"NA",Georgia Oilmen's Assn,E1100
C00323196,Anadarko Petroleum; Union Pacific Resources Group,Anadarko Petroleum; NA,Anadarko Petroleum; Union Pacific Resources Group,E1120
C00323444,Oil Heat Institute of Long Island,"NA",Oil Heat Institute of Long Island,E1180
C00324483,Berkshire Hathaway; MidAmerican Energy,Berkshire Hathaway; MidAmerican Energy,MidAmerican Energy; Berkshire Hathaway Energy,E1620
C00325183,Tenneco Inc; El Paso Natural Gas,Tenneco Inc; NA,Tenneco Energy,E1140
C00326009,Electric Power Supply Assn,"NA",Electric Power Supply Assn,E1600
C00326306,Entergy Corp,Entergy Corp,Entergy Enterprises,E1600
C00326447,Petroleum Marketers Assn,Petroleum Marketers Assn,Alabama Oilmens Assn,E1170
C00326579,Allegheny Energy,Allegheny Energy,Allegheny Energy,E1600; E1620
C00326603,PG&E Corp,PG&E Corp,PG&E Gas Transmission Texas,E1140
C00328971,Integrated Waste Services Assn,"NA",Integrated Waste Services Assn,E1500
C00329201,Midstream Fuel Service,"NA",Midstream Fuel Service,E1180
C00330837,Wyoming Refining,"NA",Wyoming Refining,E1160
C00332734,Xcel Energy; New Century Energies,Xcel Energy; New Century Energies,Xcel Energy; New Century Energies,E1620
C00333534,Houston Industries; Reliant Energy; CenterPoint Energy,Houston Industries; Reliant Energy; CenterPoint Energy; NA,Entex; Reliant Energy; CenterPoint Energy,E1140; E1620
C00333625,Unisource Energy,"NA",Unisource Energy,E1600
C00335232,Allegheny Energy,Allegheny Energy,Allegheny Energy,E1600; E1620
C00335588,Water Systems Council,"NA",Water Systems Council,E0000
C00337808,OGE Energy,OGE Energy; NA,OGE Energy,E1620
C00337881,Oregon Gasoline Dealers Assn,"NA",Oregon Gasoline Dealers Assn,E1180
C00340836,National Ground Water Assn,"NA",National Ground Water Assn,E2000
C00341784,Peoples Energy; Integrys Energy Group,NA; Integrys Energy Group,Peoples Energy; Integrys Energy Group,E1140; E1620
C00342766,Frontier Oil; HollyFrontier Corp,"NA",Frontier Oil; HollyFrontier Corp,E1160
C00343988,KeySpan Energy; National Grid plc,KeySpan Energy; NA; National Grid plc,KeySpan Energy; National Grid USA,E1620
C00344226,Dominion Resources,Dominion Resources,Dominion Resources,E1620
C00350066,Conoco Inc; ConocoPhillips,NA; ConocoPhillips,Conoco Inc; ConocoPhillips,E1110
C00350363,Dynegy Inc,Dynegy Inc; NA,Dynegy Inc,E1140; E1600
C00350710,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Georgia ACRE,E1610
C00352674,Great River Energy,"NA",Great River Energy,E1630
C00353169,Pennzoil-Quaker State,Pennzoil-Quaker State; NA,Pennzoil-Quaker State,E1160
C00354035,Natural Fuel Gas Co,"NA",Seneca Resources,E1140
C00354753,Devon Energy,"NA",Devon Energy,E1120
C00355719,USEC Inc,"NA",USEC Inc,E1500
C00358366,Tesoro Petroleum; Tesoro Corp; Marathon Petroleum,Tesoro Petroleum; NA; Marathon Petroleum,Tesoro Petroleum; Tesoro Corp; Andeavor,E1160
C00362640,Calpine Corp,"NA",Calpine Corp,E1630
C00363796,AES Eastern Energy,"NA",AES Eastern Energy,E1630
C00363879,Entergy Corp,Entergy Corp,Entergy Corp,E1600; E1620
C00365007,Mirant Corp,"NA",Mirant Corp,E1600
C00365502,McDermott International; Babcock & Wilcox; Babcock & Wilcox Enterprises,McDermott International; NA,Babcock & Wilcox Enterprises,E1700
C00366559,Xcel Energy; NRG Energy,Xcel Energy; NA; NRG Energy,NRG Energy,E1630
C00368092,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Louisiana ACRE,E1610
C00371062,Caithness Energy,NA; Caithness Energy,Caithness Energy,E1700
C00375568,Tractebel North America; GDF Suez Energy North America; GDF SUEZ; ENGIE,"NA",Tractebel North America; GDF Suez Energy North America; ENGIE North America,E1000
C00376848,Syntroleum Corp,"NA",Syntroleum Corp,E1140
C00377754,Florida Municipal Electric Assn,"NA",Florida Municipal Electric Assn,E1600
C00379396,Panda Energy International,"NA",Panda Energy International,E1630
C00381020,Enron Corp; Portland General Electric,Enron Corp; NA,Portland General Electric,E1600
C00381954,Atmos Energy,"NA",Atmos Energy,E1140
C00383489,Public Service Enterprise Group,Public Service Enterprise Group; NA,Public Service Enterprise Group,E1620
C00385831,Southern Union Co,Southern Union Co,New England Gas Co,E1140
C00385849,PEPCO Holdings; Exelon Corp,PEPCO Holdings; Exelon Corp,PEPCO Holdings,E1620
C00387878,EnviroCare of Utah,"NA",EnviroCare of Utah,E2000
C00388462,"Fortis Inc; Kohlberg, Kravis et al; ITC Holdings",Fortis Inc; NA,ITC Holdings; International Transmission Co,E1600; E1620
C00388751,Headwaters Inc,"NA",Headwaters Inc,E1000
C00388983,Arcadis NV,NA; Arcadis NV,Arcadis G&M; Arcadis US,E2000
C00389288,Chesapeake Energy,"NA",Chesapeake Energy,E1120
C00390062,Missouri Farmers for Biodiesel,"NA",Missouri Farmers for Biodiesel,E1500
C00390989,Westar Energy; Evergy Inc,NA; Evergy Inc,Westar Energy; Evergy Inc,E1600
C00396085,Hannon Armstrong Capital,"NA",Hannon Armstrong Capital,E1500
C00398255,Aiken Electric Cooperative,"NA",Aiken Electric Cooperative,E1600
C00398545,Millennium Cell,"NA",Millennium Cell,E1500
C00402941,Great Plains Energy,Great Plains Energy,Strategic Energy,E1600
C00404079,PG&E Corp,PG&E Corp,PG&E Corp,E1620
C00406801,Iberdrola SA; Energy East,Iberdrola SA; NA,Iberdrola USA; Avangrid; Energy East,E1500; E1620
C00407635,Consolidated Edison Inc,Consolidated Edison Inc; NA,Consolidated Edison Inc,E1620
C00409565,National Ocean Industries Assn,"NA",National Ocean Industries Assn,E1100
C00410597,Siouxland Energy & Livestock Cooperative,"NA",Siouxland Energy & Livestock Cooperative,E1500
C00414169,Berkeley Electric Cooperative,"NA",Berkeley Electric Cooperative,E1600
C00414490,Golden Grain Energy,"NA",Golden Grain Energy,E1500
C00415026,National Petrochemical & Refiners Assn; American Fuel & Petrochem Manufacturers,"NA",National Petrochemical & Refiners Assn; American Fuel & Petrochem Manufacturers,E1160
C00418384,Midwest Grain Processors,"NA",Midwest Grain Processors,E1500
C00420950,Pioneer Natural Resources,"NA",Pioneer Natural Resources USA,E1120
C00421982,Solar Energy Industries Assn,"NA",Solar Energy Industries Assn,E1500
C00422352,Iberdrola SA; PPM Energy,Iberdrola SA; NA,Iberdrola Renewables; PPM Energy,E1500; E1630
C00426569,Independent Petroleum Assn/Mountn States; Western Energy Alliance,"NA",Independent Petroleum Assn/Mountn States; Western Energy Alliance,E1120
C00428748,Fuellcell Transport PAC,"NA",Fuellcell Transport PAC,E1500
C00429662,Spectra Energy; Enbridge Inc; Duke Energy,NA; Duke Energy,Spectra Energy; Duke Energy,E1140; E1620
C00430157,Cheniere Energy,"NA",Cheniere Energy,E1140
C00431270,National Biodiesel Board,"NA",National Biodiesel Board,E1500
C00431932,EnCana Corp,"NA",EnCana Oil & Gas USA,E1120
C00434142,Renewable Energy Systems,"NA",Renewable Energy Systems Americas,E1500
C00436923,Excelsior Energy,"NA",Excelsior Energy,E1600
C00437020,Envires LLC,"NA",Envires LLC,E1120
C00437244,Invenergy LLC,"NA",Invenergy LLC,E1500
C00438754,Energy Transfer Equity,NA; Energy Transfer Equity,Energy Transfer Partners,E1140
C00438978,Iowa Renewable Fuels Assn,"NA",Iowa Renewable Fuels Assn,E1500
C00440651,Denbury Resources,"NA",Denbury Resources,E1120
C00441196,Renewable Energy for America PAC,"NA",Renewable Energy for America PAC,E1500
C00442707,Integrys Energy Group,Integrys Energy Group; NA,Integrys Energy Group,E1620
C00443523,Newfield Exploration Co,"NA",Newfield Exploration Co,E1120
C00443895,Western Iowa Energy,"NA",Western Iowa Energy,E1500
C00444430,Oklahoma Independent Petroleum Assn,"NA",Oklahoma Independent Petroleum Assn,E1120
C00445304,Ausra Inc,"NA",Ausra Inc,E1500
C00450270,Green Earth Fuels,"NA",Green Earth Fuels,E1160
C00450692,Poet LLC,"NA",Poet LLC,E1500
C00451575,Sunpower Corp; Total SA,"NA",Sunpower Corp,E1500
C00452292,Atlas Oil,"NA",Atlas Oil,E1100
C00452755,EDP Renovaveis; EDP - Energias de Portugal,"NA",Horizon Wind Energy; EDP Renewables NA,E1500
C00452805,International Power,"NA",International Power America,E1600
C00453563,Missouri Renewable Fuels Assn,"NA",Missouri Renewable Fuels Assn,E1500
C00454850,Little Sioux Corn Processors,"NA",LSCP LP; Little Sioux Corn Processors,E1500
C00454868,Central Iowa Energy,"NA",Central Iowa Energy,E1500
C00455048,Absolute Energy,"NA",Absolute Energy,E1500
C00455147,Exco Resources,"NA",Exco Resources,E1000
C00455535,Iowa Renewable Energy,"NA",Iowa Renewable Energy,E1500
C00455626,Lincolnway Energy,"NA",Lincolnway Energy,E1500
C00455873,Amaizing Energy,"NA",Amaizing Energy,E1500
C00456277,Western Dubuque Biodiesel               ; Western Dubuque Biodiesel,"NA",Western Dubuque Biodiesel,E1500
C00460493,LA County Assn/Environmental Health Spec,"NA",LA County Assn/Enviro Health Specialists,E2000
C00465278,Verenium Corp,"NA",Verenium Corp,E1500
C00466458,Secure Energy for America Assn,NA; Secure Energy for America Assn,Secure Energy for America Assn,E1000
C00470872,Energy Conversion Devices,"NA",Energy Conversion Devices,E1500
C00472308,Chevron Corp,Chevron Corp,Atlas Energy,E1140
C00475590,Converteam Holdings North America,"NA",Converteam Holdings North America,E1600
C00475665,Growth Energy,"NA",Growth Energy,E1500
C00478685,Energy Future Holdings Corp,Energy Future Holdings Corp,Energy Future Holdings Corp,E1600
C00479873,Noble Energy,"NA",Noble Energy,E1120
C00479998,Tenaska Energy,"NA",Tenaska Inc,E1630
C00480210,Calera Corp Blue Planet,"NA",Calera Corp Blue Planet,E2000
C00480939,ONEOK Inc,ONEOK Inc,Oklahoma Natural Energy; OKLAHOMA NATURAL ENERGY (ONE) POLITICAL ACTION COM,E1140
C00481192,Whiting Petroleum Corp,"NA",Whiting Petroleum Corp,E1120
C00482182,Ohio Petroleum Marketers & Convenience,"NA",Ohio Petroleum Marketers & Convenience,E1160
C00483677,American Petroleum Institute,"NA",American Petroleum Institute,E1100
C00483891,Clean Economy Network; Advanced Energy Economy,"NA",Clean Economy Network; Advanced Energy Economy,E1500
C00483974,Plymouth Energy,"NA",Plymouth Energy,E1500
C00484592,National Biodiesel Board,"NA",National Biodiesel Board,E1500
C00484725,Domestic Energy Producers Alliance,"NA",Domestic Energy Producers Alliance,E1120
C00485250,America's Natural Gas Alliance,"NA",America's Natural Gas Alliance,E1140
C00485730,QEP Resources,"NA",QEP Resources,E1120
C00486050,Cabot Oil & Gas,"NA",Cabot Oil & Gas,E1120
C00487447,Energy Future Holdings Corp; Vistra Energy,Energy Future Holdings Corp; Vistra Energy,Oncor Electric Delivery,E1620
C00487769,Southwest Iowa Renewable Energy,"NA",Southwest Iowa Renewable Energy,E1500
C00488080,National Stripper Well Assn,"NA",National Stripper Well Assn,E1120
C00489070,International Liquid Terminals Assn,"NA",International Liquid Terminals Assn,E1000
C00489302,SunRun Inc; Sunrun Inc,"NA",SunRun Inc; Sunrun Inc,E1500
C00489468,Markwest Energy Partners,"NA",Markwest Energy Partners,E1140
C00489534,First Solar,"NA",First Solar,E1500
C00490441,Bill Barrett Corp,"NA",Bill Barrett Corp,E1120
C00490904,Everpower Wind Holding,"NA",Everpower Wind Holding,E1500
C00491381,Gradient Resources,"NA",Gradient Resources,E1500
C00491696,GenOn Energy; NRG Energy,NA; NRG Energy,GenOn Energy,E1630
C00492397,Amonix Inc,"NA",Amonix Inc,E1500
C00494666,Abengoa SA,"NA",Abengoa Solar,E1500
C00494716,Terra-Gen Power,"NA",Terra-Gen Power,E1600
C00495929,US Transportation Energy & Technology Alliance,"NA",US Transportation Energy & Technology Alliance,E1000
C00496307,Marathon Petroleum,NA; Marathon Petroleum,Marathon Petroleum,E1160
C00496752,Enterprise Products Partners,"NA",Enterprise Products Partners,E1140
C00499657,American Independent Energy PAC,"NA",American Independent Energy PAC,E1120
C00500033,Efficient America PAC,"NA",Efficient America PAC,E1500
C00502518,WPX Energy,"NA",WPX Energy,E1120
C00502914,Centrica US Holdings,"NA",Direct Energy Inc,E1140
C00507962,AES Corp,AES Corp,AES Corp,E1630
C00510016,Targa Resources Corp,"NA",Targa Resources Corp,E1140
C00513549,Phillips 66,"NA",Phillips 66,E1100; E1170
C00513671,Enervest Ltd,"NA",EVOC Regulatory Services,E1120
C00518910,Renewable Fuels Assn,"NA",Renewable Fuels Assn,E1500
C00520569,SolarCity Inc; Tesla Motors,NA; Tesla Motors,SolarCity Inc,E1500
C00520643,Tlingit-Haida Central Council,Tlingit-Haida Central Council,Sealaska Corp,E0000
C00523225,Cumberland Farms,"NA",Cumberland Farms,E1170
C00523233,EDF Group,"NA",EDF Renewable Energy,E1500
C00524769,Uns Energy Corp; Fortis Inc,NA; Fortis Inc,Uns Energy Corp,E1600
C00525055,Transcanada Corp,NA; Transcanada Corp,Transcanada USA Services,E1140
C00528042,Brookfield Corp,"NA",BROOKFIELD US CORPORATION FEDERAL PAC             ,E1500
C00536466,Renewable Energy Group,"NA",Renewable Energy Group,E1500
C00541706,Excelerate Energy,"NA",Excelerate Energy,E1140
C00542092,Concho Resources,"NA",Concho Resources,E1120
C00545319,Dominion Resources,Dominion Resources,Dominion Resources; Dominion Energy/Connecticut,E1620
C00548164,Proliance Energy,"NA",Proliance Energy,E1140
C00551184,Continental Resources,"NA",Continental Resources,E1120
C00554444,ONE Gas,"NA",ONE Gas,E1140
C00554691,Kentucky Oil & Gas Assn,"NA",Kentucky Oil & Gas Assn,E1000
C00555276,Distributed Wind Energy Assn,"NA",Distributed Wind Energy Assn,E1500
C00557322,Hess Corp,"NA",Hess Corp,E1120
C00558411,US Venture Inc,"NA",US Venture Inc,E1170
C00558718,Genie Energy,"NA",Genie Energy,E1100
C00558759,PDC Energy,"NA",PDC Energy,E1120
C00559542,National Assn of Royalty Owners,"NA",National Assn of Royalty Owners,E1000
C00560078,Secure Energy for America Assn,Secure Energy for America Assn; NA,Secure Energy for America Assn,E1000
C00563585,Jordan Cove Energy Project,"NA",Jordan Cove Energy Project,E1140
C00564575,Valley Electric Assn,"NA",Valley Electric Assn,E1610
C00565309,Mitsubishi Hitachi Power Systems,"NA",Mitsubishi Hitachi Power Systems,E1700
C00569095,OwnEnergy Inc,"NA",OwnEnergy Inc,E1500
C00575340,TransCanada Corp,TransCanada Corp,Columbia Pipeline Group,E1140
C00577072,Babcock & Wilcox Enterprises,"NA",Babcock & Wilcox Enterprises,E1700
C00577155,Apex Clean Energy,"NA",Apex Clean Energy,E1500
C00579367,Vistra Energy,Vistra Energy,Dynegy Inc,E1620
C00580654,Gulfport Energy,"NA",Gulfport Energy,E1120
C00590265,Veresen Inc,"NA",Jordan Cove LNG,E1140
C00608323,Atlas Properties,Atlas Properties,Brightergy LLC,E1500
C00608331,GPA Midstream Assn,"NA",GPA Midstream Assn,E1140
C00610782,Southern Co,Southern Co,Gulf Power,E1600
C00613133,Delta Air Lines,Delta Air Lines,Monroe Energy,E1100
C00620914,Enable Midstream Partners,"NA",Enable Midstream Partners,E1110
C00621011,Plug Power Inc,"NA",Plug Power Inc,E1500
C00624643,Water Quality Assn,"NA",Water Quality Assn,E2000
C00624833,Americans for Electricity Choice Action,"NA",Americans for Electricity Choice Action,E1500
C00629410,Cypress Creek Renewables,"NA",Cypress Creek Renewables,E1500
C00632588,8Minutenergy Renewables,"NA",8Minutenergy Renewables,E1500
C00635516,Tellurian Inc,"NA",Tellurian Inc,E1140
C00635615,Caithness Energy,Caithness Energy,Caithness Services,E1700
C00637322,Par Pacific Holdings,"NA",Par Pacific Holdings,E1120
C00646992,World Energy Inc,"NA",World Energy Inc,E1500
C00658831,Siouxland Ethanol,"NA",Siouxland Ethanol,E1500
C00660902,CNX Resources,"NA",CNX Resources,E1120
C00660928,Energy Freedom Advocates,"NA",Energy Freedom Advocates,E1500
C00670141,Magnolia LNG,"NA",Magnolia LNG,E1140
C00677757,Coalition for Renewable Natural Gas,"NA",Coalition for Renewable Natural Gas,E1140
C00679902,Canadian Solar,"NA",Recurrent Energy,E1500
C00683383,Vivint Solar,"NA",Vivint Solar,E1500
C00684506,Calista Corp,"NA",Yukon Kusko PAC,E1000
C00686949,Pattern Energy Group,"NA",Pattern Energy Group,E1500
C00688606,Equitrans Midstream Corp,"NA",Equitrans Midstream Corp,E1140
C30001176,American Energy Alliance,"NA",American Energy Alliance,E1000
C70005079,Koch Industries,Koch Industries,Koch Industries,E1160
C70005384,Tlingit-Haida Central Council,Tlingit-Haida Central Council,Sealaska Corp,E0000
C70005764,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,E1610
C90012212,Tlingit-Haida Central Council,Tlingit-Haida Central Council,Sealaska Corp; Sealaska Corporation                              ,E0000
C90012543,Tanana Chiefs Conference,"NA",Doyon Ltd,E1120
C90013384,Dominick Dalbo,"NA",Dominick Dalbo; Dominick Dalbo                                    ,E1000
C90015207,Fuels America,"NA",Fuels America,E1500
C90016155,American Wind Action,"NA",American Wind Action,E1500
