agency,bioname,DATE,SUBJECT,TYPE,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES,n
DOL_MSHA,"SPECTER, Arlen",2007-03-15,Priorities for Implementing the MINER Act,5,NA,legislation; budget allocation,MINER Act,past,from Appropriations - budget,2
DOL_MSHA,"SPECTER, Arlen",2007-03-15,Priorities for Implementing the MINER Act,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"GORDON, Barton Jennings",2007-03-16,Copy of DOL's Policy on Editing & Release of Scientific Reports/Publications,5,NA,information,NA,NA,NA,2
DOL_MSHA,"GORDON, Barton Jennings",2007-03-16,Copy of DOL's Policy on Editing & Release of Scientific Reports/Publications,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"MILLER, Brad",2007-03-16,Copy of DOL's Policy on Editing & Release of Scientific Reports/Publications,5,NA,information,NA,NA,NA,2
DOL_MSHA,"MILLER, Brad",2007-03-16,Copy of DOL's Policy on Editing & Release of Scientific Reports/Publications,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"MILLER, George",2007-03-16,"Urge DOL, Take Action to Require Use of Chambers In Underground Mines/MINER Act",5,NA,legislation,MINER ACT,past,NA,2
DOL_MSHA,"MILLER, George",2007-03-16,"Urge DOL, Take Action to Require Use of Chambers in Underground Mines/MINER Act",5,NA,legislation,MINER ACT,past,NA,2
DOL_MSHA,"MILLER, George",2007-03-16,"Urge DOL, Take Action to Require Use of Chambers In Underground Mines/MINER Act",NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"MILLER, George",2007-03-16,"Urge DOL, Take Action to Require Use of Chambers in Underground Mines/MINER Act",NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"SMITH, Gordon Harold",2007-03-16,Difficulties With MSHA,1,NA,NA,NA,NA,NA,2
DOL_MSHA,"SMITH, Gordon Harold",2007-03-16,Difficulties With MSHA,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"WELCH, Peter",2007-03-21,Gavel Mines/Violations & Citations Complaint,2,NA,enforcement,NA,NA,NA,2
DOL_MSHA,"WELCH, Peter",2007-03-21,Gavel Mines/Violations & Citations Complaint,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"MURRAY, Patty",2007-03-22,Questions from the Hill Pertaining to MSHA,5,NA,information,NA,NA,NA,2
DOL_MSHA,"MURRAY, Patty",2007-03-22,Questions from the Hill Pertaining to MSHA,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"BYRD, Robert Carlyle",2007-03-27,Developed an Underground Monitoring Sys that Measures Roof Collapses in Mines,1,3,NA,NA,NA,no indication who is performing research,2
DOL_MSHA,"BYRD, Robert Carlyle",2007-03-27,Developed an Underground Monitoring Sys that Measures Roof Collapses in Mines,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"BYRD, Robert Carlyle",2007-04-19,What Corrective Actions is MSHA Implementing to Address Mine Safety Problems?,5,4,NA,NA,NA,NA,2
DOL_MSHA,"BYRD, Robert Carlyle",2007-04-19,What Corrective Actions is MSHA Implementing to Address Mine Safety Problems?,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"RAHALL, Nick Joe, II",2007-04-19,What Corrective Actions is MSHA Implementing to Address Mine Safety Problems?,5,4,NA,NA,NA,NA,2
DOL_MSHA,"RAHALL, Nick Joe, II",2007-04-19,What Corrective Actions is MSHA Implementing to Address Mine Safety Problems?,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"ROCKEFELLER, John Davison IV (Jay)",2007-04-19,What Corrective Actions is MSHA Implementing to Address Mine Safety Problems?,5,4,NA,NA,NA,NA,2
DOL_MSHA,"ROCKEFELLER, John Davison IV (Jay)",2007-04-19,What Corrective Actions is MSHA Implementing to Address Mine Safety Problems?,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"COLLINS, Susan Margaret",2007-04-26,Request Clarification on MSHA's Standards On Mine ID Registrations,2,1,NA,NA,NA,NA,2
DOL_MSHA,"COLLINS, Susan Margaret",2007-04-26,Request Clarification on MSHA's Standards On Mine ID Registrations,NA,NA,NA,NA,NA,NA,2
DOE_FERC,"COLLINS, Susan Margaret",2007-04-30,US Senator Susan M Collins provides comments on behalf of a constituent expressing concerns re a proposed liquefied natural gas terminal in Washington County under CP07-38.,1,NA,NA,NA,NA,bad files NA,2
DOE_FERC,"COLLINS, Susan Margaret",2007-04-30,US Senator Susan M Collins provides comments on behalf of a constituent expressing concerns re a proposed liquefied natural gas terminal in Washington County under CP07-38.,1,NA,NA,NA,NA,NA,2
DOT_FAA,"ANDREWS, Robert Ernest",2007-05-04,Concerned about the public meetings FAA held regarding its plans for New York/New Jersey/Philadelphia airspace redesign,4,NA,NA,NA,NA,NA,2
DOT_FAA,"ANDREWS, Robert Ernest",2007-05-04,Concerned about the public meetings FAA held regarding its plans for New York/New Jersey/Philadelphia airspace redesign,5,NA,NA,NA,NA,NA,2
DOT_FAA,"LAUTENBERG, Frank Raleigh",2007-05-04,Concerned about the public meetings FAA held regarding its plans for New York/New Jersey/Philadelphia airspace redesign,4,NA,NA,NA,NA,NA,2
DOT_FAA,"LAUTENBERG, Frank Raleigh",2007-05-04,Concerned about the public meetings FAA held regarding its plans for New York/New Jersey/Philadelphia airspace redesign,5,NA,NA,NA,NA,NA,2
DOT_FAA,"MENENDEZ, Robert",2007-05-04,Concerned about the public meetings FAA held regarding its plans for New York/New Jersey/Philadelphia airspace redesign,4,NA,NA,NA,NA,NA,2
DOT_FAA,"MENENDEZ, Robert",2007-05-04,Concerned about the public meetings FAA held regarding its plans for New York/New Jersey/Philadelphia airspace redesign,5,NA,NA,NA,NA,NA,2
DOL_MSHA,"RAMSTAD, James (Jim)",2007-05-14,Services for MSHA,1,NA,NA,NA,NA,NA,2
DOL_MSHA,"RAMSTAD, James (Jim)",2007-05-14,Services for MSHA,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"OBERSTAR, James Louis",2007-05-31,Concern About the Efficiency of the A-76 Study Regarding,1,5,NA,Competitive Souring Initiative (A-76),NA,seems to be about study itself as well as individuals,3
DOL_MSHA,"OBERSTAR, James Louis",2007-05-31,Concern About the Efficiency of the A-76 Study Regarding,1,4,NA,Competitive Souring Initiative (A-76),NA,NA,3
DOL_MSHA,"OBERSTAR, James Louis",2007-05-31,Concern About the Efficiency of the A-76 Study Regarding,NA,NA,NA,NA,NA,NA,3
DOL_MSHA,"LUGAR, Richard Green",2007-06-11,MSHA Employee Who Has Been Affected by the Competitive,1,NA,NA,Competitive Souring Initiative (A-76),NA,NA,2
DOL_MSHA,"LUGAR, Richard Green",2007-06-11,MSHA Employee Who Has Been Affected by the Competitive Souring Initiative (A-76),1,NA,NA,Competitive Souring Initiative (A-76),NA,NA,2
DOL_MSHA,"LUGAR, Richard Green",2007-06-11,MSHA Employee Who Has Been Affected by the Competitive,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"LUGAR, Richard Green",2007-06-11,MSHA Employee Who Has Been Affected by the Competitive Souring Initiative (A-76),NA,NA,NA,NA,NA,NA,2
DOE_FERC,"LUGAR, Richard Green",2007-06-13,"Comments on US Senator Richard Lugar on behalf of a constituent expressing concerns with the proposed Rockies Express, LLC natural gas pipeline under CP07-208.",1,NA,NA,NA,NA,bad files NA,2
DOE_FERC,"LUGAR, Richard Green",2007-06-13,"Comments on US Senator Richard Lugar on behalf of a constituent expressing concerns with the proposed Rockies Express, LLC natural gas pipeline under CP07-208.",1,2,NA,NA,NA,NA,2
DOE_FERC,"CALVERT, Ken",2007-06-14,Congressman Ken Calvert forwards question from his constituent for FERC's review and response concerning the LEAPS Project under P-11858.,1,NA,NA,NA,NA,bad files NA,2
DOE_FERC,"CALVERT, Ken",2007-06-14,Congressman Ken Calvert forwards question from his constituent for FERC's review and response concerning the LEAPS Project under P-11858.,1,NA,NA,NA,NA,NA,2
DOE_FERC,"CASEY, Robert (Bob), Jr.",2007-06-14,Senator Robert P Casey forwards comments on behalf of individuals re a cat walk being closed at the Conowingo Program Project under P-405.,1,NA,NA,NA,NA,bad files NA,2
DOE_FERC,"CASEY, Robert (Bob), Jr.",2007-06-14,Senator Robert P Casey forwards comments on behalf of individuals re a cat walk being closed at the Conowingo Program Project under P-405.,1,NA,NA,NA,NA,NA,2
DOL_MSHA,"BYRD, Robert Carlyle",2007-06-20,Additional Questions On the Implementation of the MINER Act,5,NA,information; legislation; budget allocation,MINER Act,past,information as well as budget allocation (appropriations),3
DOL_MSHA,"BYRD, Robert Carlyle",2007-06-20,Additional Questions On the Implementation of the MINER Act,5,NA,information; legislation; budget allocation,MINER Act,past,NA,3
DOL_MSHA,"BYRD, Robert Carlyle",2007-06-20,Implementation of the MINER Act,5,NA,legislation,MINER Act,past,NA,2
DOL_MSHA,"BYRD, Robert Carlyle",2007-06-20,Additional Questions On the Implementation of the MINER Act,NA,NA,NA,NA,NA,NA,3
DOL_MSHA,"BYRD, Robert Carlyle",2007-06-20,Implementation of the MINER Act,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"MILLER, George",2007-06-26,Request Information On Matters Involving OMB Review of MSHA Activities,5,NA,information,OMB Review,NA,NA,2
DOL_MSHA,"MILLER, George",2007-06-26,Request Information On Matters Involving OMB Review of MSHA Activities,NA,NA,NA,NA,NA,NA,2
DOT_FAA,"CLINTON, Hillary Rodham",2007-07-06,"Concerned about FAA's intention not to hold a public hearing on the New York/New Jersey/Philadelphia Airspace Redesign project to address noise concerns in Floral Park and Nassau County, New York",4,NA,NA,NA,NA,NA,2
DOT_FAA,"CLINTON, Hillary Rodham",2007-07-06,"Concerned about FAA's intention not to hold a public hearing on the New York/New Jersey/Philadelphia Airspace Redesign project to address noise concerns in Floral Park and Nassau County, New York",5,NA,NA,NA,NA,NA,2
DOT_FAA,"McCARTHY, Carolyn",2007-07-06,"Concerned about FAA's intention not to hold a public hearing on the New York/New Jersey/Philadelphia Airspace Redesign project to address noise concerns in Floral Park and Nassau County, New York",4,NA,NA,NA,NA,NA,2
DOT_FAA,"McCARTHY, Carolyn",2007-07-06,"Concerned about FAA's intention not to hold a public hearing on the New York/New Jersey/Philadelphia Airspace Redesign project to address noise concerns in Floral Park and Nassau County, New York",5,NA,NA,NA,NA,NA,2
DOL_MSHA,"MIKULSKI, Barbara Ann",2007-07-06,NA,1,NA,NA,NA,NA,NA,2
DOL_MSHA,"MIKULSKI, Barbara Ann",2007-07-06,NA,NA,NA,NA,NA,NA,NA,2
