thomas_num,thomas_name,icpsr,congress,year,st_name,cd,dem,elected,female,votepct,dwnom1,deleg_size,speaker,subchr,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,power,budget,chair,majority,maj_leader,min_leader,les,seniority
"Numeric counter for order in THOMAS data, starting with 93rd Congress","Legislator name, as given in THOMAS","ICPSR number, according to Poole and Rosenthal",Congress number,Year at start of Congress,Two-letter state code,Congressional district number,1 = Democrat,Year first elected to House,1 = female,Percent vote received to enter this Congress,First-dimension DW-NOMINATE score,Size of House delegation from member's state,1= Speaker,1 = Subcommittee Chair,Number of substantive and significant bills sponsored,Number of substantive and significant bills with action in committee,Number of substantive and significant bills with action beyond committee,Number of substantive and significant bills passed House,Number of substantive and significant bills became law,Number of substantive bills sponsored,Number of substantive bills with action in committee,Number of substantive bills with action beyond committee,Number of substantive bills passed House,Number of substantive bills became law,Number of commemorative bills sponsored,Number of commemorative bills with action in committee,Number of commemorative bills with action beyond committee,Number of commemorative bills passed House,Number of commemorative bills became law,"1 = Member of Appropriation, Rules, or Ways and Means",1 = Member of Budget,1 = Committee Chair,1 = majority party member,1 = Majority party leadership,1 = Minority party leadership,Legislative Effectiveness Score (1-5-10),"Seniority, number of terms served counting current"
8043,"Bilirakis, Gus",20758,111,2009,FL,9,0,2006,0,62,0.55400002,25,0,0,0,0,0,0,0,21,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.757471859,2
8044,"Bishop, Rob",20357,111,2009,UT,1,0,2002,0,65,0.714999974,3,0,0,0,0,0,0,0,15,0,2,2,0,1,1,1,1,1,0,0,0,0,0,0,0.823760569,4
8045,"Bishop, Timothy",20338,111,2009,NY,1,1,2002,0,58,-0.312999994,29,0,0,0,0,0,0,0,23,2,2,2,0,1,1,1,1,1,0,1,0,1,0,0,1.16611588,4
8046,"Bishop, Sanford",29339,111,2009,GA,2,1,1992,0,69,-0.219999999,13,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0.361512274,9
8047,"Blackburn, Marsha",20351,111,2009,TN,7,0,2002,1,69,0.787,9,0,0,0,0,0,0,0,17,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0.387268752,4
8048,"Blumenauer, Earl",29588,111,2009,OR,3,1,1996,0,75,-0.492000014,5,0,0,0,0,0,0,0,40,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0.862730086,7
8049,"Blunt, Roy",29735,111,2009,MO,7,0,1996,0,68,0.665000021,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055822607,7
8050,"Boccieri, John",20943,111,2009,OH,16,1,2008,0,55,-0.184,18,0,0,0,0,0,0,0,7,0,2,2,0,3,2,2,2,2,0,0,0,1,0,0,0.86492914,1
8051,"Boehner, John",29137,111,2009,OH,8,0,1990,0,68,0.739000022,18,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.083733909,10
8052,"Bonner, Jo",20300,111,2009,AL,1,0,2002,0,98,0.493000001,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.027911304,4
8053,"Bono Mack, Mary",29775,111,2009,CA,45,0,1998,1,58,0.663999975,53,0,0,0,0,0,0,0,10,1,2,2,0,2,1,1,1,1,0,0,0,0,0,0,0.872128487,6
8054,"Boozman, John",20101,111,2009,AR,3,0,2001,0,79,0.592000008,4,0,0,0,0,0,0,0,21,7,6,5,0,1,1,1,0,0,0,0,0,0,0,0,2.412917852,5
8055,"Bordallo, Madeleine",,111,2009,GU,,1,2002,1,100,,1,0,1,0,0,0,0,0,27,8,6,5,2,1,0,0,0,0,0,0,0,1,0,0,3.345222235,4
8056,"Boren, Dan",20523,111,2009,OK,2,1,2004,0,70,-0.07,5,0,0,0,0,0,0,0,24,3,4,4,1,1,0,0,0,0,0,0,0,1,0,0,2.001199245,3
8057,"Boswell, Leonard",29721,111,2009,IA,3,1,1996,0,56,-0.250999987,5,0,1,0,0,0,0,0,11,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0.41888988,7
8058,"Boucher, Rick",15010,111,2009,VA,9,1,1982,0,97,-0.187999994,11,0,1,0,0,0,0,0,10,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0.937756419,14
8059,"Boustany, Charles",20514,111,2009,LA,7,0,2004,0,62,0.577000022,7,0,0,0,0,0,0,0,5,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0.219800919,3
8060,"Boyd, Allen",29713,111,2009,FL,2,1,1996,0,62,-0.158000007,25,0,0,0,0,0,0,0,7,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0.44524616,7
8061,"Brady, Kevin",29760,111,2009,TX,8,0,1996,0,73,0.721000016,32,0,0,0,0,0,0,0,16,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.45549199,7
8062,"Brady, Robert",29777,111,2009,PA,1,1,1998,0,91,-0.44600001,19,0,0,0,0,0,0,0,17,5,6,5,3,1,0,0,0,0,0,0,1,1,0,0,3.248201609,6
8063,"Braley, Bruce",20719,111,2009,IA,1,1,2006,0,65,-0.352999985,5,0,0,0,0,0,0,0,22,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,1.390738606,2
