X1,ID,DATE,filed_date,docket,SUBJECT,file_name,url,link_text,FROM,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES,ERROR
6148,19910821-0302,1991-08-07,1991-08-19,EL91-9-000,"Rep WJ Hughes submits comments of R Behrens re Union Lake Proj in City of Millville,NJ under EL91-9.Availability: Public",NA,NA,MicroFilm,,,,,,,,,
6154,19910812-0085,1991-08-06,1991-08-08,P-2327-002,Rep D Swett submits Cascade Flats Neighborhood Organization request for prepartion of EIS etc re James River NH Elec Inc under P-2327.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6159,19910805-0222,1991-08-02,1991-08-05,CP89-629-000CP89-634-000CP89-815-000,"Comments of Sen Lieberman requesting review of environ consequences re const of Iroquois G/T Sys under CP89-634, et al.Availability: Public",NA,NA,MicroFilm,,,,,,,,,
6160,19910806-0293,1991-08-02,1991-08-05,CP89-629-000CP89-634-000CP89-815-000,Comments of Sen JI Lieberman re Iroquois-Means Brook Valley under CP89-634 et al.W/encls.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6155,19910809-0220,1991-08-01,1991-08-07,NONE-000,Sen JW Warner submits correspondence on behalf of constituent re hydroelec turbine.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6156,19910820-0298(partial),1991-08-01,1991-08-07,NONE-000,Rep JT Walsh requests general info to benefit constituents.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6157,19910809-0231,1991-07-31,1991-08-06,NONE-000,Comments of Rep G English on behalf of constituent re request for investigation of gas rates charged by SoCal w/in CA market.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6158,19910812-0123,1991-07-31,1991-08-06,P-9401-000,US Rep D Zimmer submits correspondence received from consti- tuent re Mt Hope Pumped Storage Hydro Proj under P-9401.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6161,19910808-0127,1991-07-31,1991-08-05,P-11080-001,Comments of Rep D Dreier in support of 910627 filing by Mine Reclamation Corp et al for rehearing of prelim lic issued to Eagle Mountain Energy for P-11080.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6008,19910807-0194,1991-07-30,1991-07-31,RM91-10-000,Follow up request by House Energy Oversight Subcommittee for info re FERC ex parte rules under RM91-10.Availability: Public,19910807-0194-10488511.tif; NA,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=10488511; NA,Image; MicroFilm,,,,,,,,,
6163,19910809-0225,1991-07-30,1991-08-01,NONE-000,Comments of NF Lent re citing 910703 ltr for p/l rate cases.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6164,19910731-0270,1991-07-30,1991-07-30,CP90-2214-000CP90-2294-000,Comments of Sen PV Domenici re expansion appls for natural gas p/l companies that wish to increase capacity under CP90-2214 et al.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6162,19910808-0131,1991-07-26,1991-08-01,RP91-79-000,Comments of Sen J Sasser & 10 other senators on East TN Natural Gas 910129 filing of new tariff plan for recovering take-or-pay costs under FERC Order 528 procedures in RP91-79Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6165,19910731-0316,1991-07-23,1991-07-29,P-6972-000,Rep D O'B Martin submits correspondence from B Sullivan re problems w/Hollow Dam Pwr Co Hydro Proj 6972.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6166,19910731-0328,1991-07-22,1991-07-26,P-516-114,Rep JM Spratt submits ltr from SC Sen TH Pope et al re per- mission to build marina on Lake Murray under P-516.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6169,19910731-0298,1991-07-22,1991-07-22,P-9401-000,Comments of Sen B Bradley re Mount Hope Storage Hydro Proj 9401.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6168,19910725-0216,1991-07-19,1991-07-23,P-3574-003P-6432-000P-7022-000,"Comments of Sen M Baucus re eventual licensing of Timber Dam Hydro Proj 3574 et al in Liberty County,MT.Availability: Public",NA,NA,MicroFilm,,,,,,,,,
6167,19910725-0208,1991-07-16,1991-07-23,P-10551-000,Comments of Sen AM D'Amato re FERC delay on consideration of appl for High Dam Hydro Proj 10551.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6173,19910719-0109,1991-07-15,1991-07-16,P-8263-000,"Comments of Sen CJ Dodd re FERC consideration of licensing of Falls Mill Dam Hydro Proj in Norwich,CT under P-8263.Availability: Public",NA,NA,MicroFilm,,,,,,,,,
6178,19910719-0184,1991-07-15,1991-07-15,P-8263-000,Comments of Rep S Gejdenson re FERC consideration of Summit Hydropower appl for minor lic for Falls Mill Dams Hydro- power Proj 8263.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6171,19910719-0050,1991-07-12,1991-07-17,P-516-114,Sen S Thurmond submits corres of D Tomlin re Plantation Pointe Marina under P-516.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6175,19910719-0255,1991-07-12,1991-07-16,P-6731-000,Comments of Sen EF Hollings on Oconee County request for rehearing re operation of hydro facil per lic issued to Coneross Pwr et al under Proj-6731.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6179,19910719-0357,1991-07-11,1991-07-15,P-1864-000,Rep A McCandless submits snapshots of Mamie boat landing area re Proj-1864.W/out encl.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6170,19910725-0227,1991-07-10,1991-07-19,P-5-000,Comments of Rep P Williams re relicensing of Kerr Proj 5.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6174,19910719-0115,1991-07-10,1991-07-16,P-9401-000,"Rep RA Roe submits comments of Morris County Park Commission,NJ re Mount Hope Water Proj 9401.Availability: Public",NA,NA,MicroFilm,,,,,,,,,
6176,19910719-0271,1991-07-10,1991-07-16,P-9401-000,Rep DA Gallo et al submit comments of AL Goren re Mt Hope Hydro Proj 9401.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6177,19910719-0353,1991-07-10,1991-07-16,P-9401-000,Rep MJ Newell submits ltr from Morris County Park Commission re info on Mt Hope Pumped Storage Hydroelec Proj-9401.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6180,19910719-0073,1991-07-10,1991-07-11,CP89-634-000CP89-815-000,Comments of NF Lent et al re Iroquois p/l proj const under CP89-634 et al.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6172,19910719-0084,1991-07-08,1991-07-17,CP89-634-000,Comments of Sen JI Lieberman re progress of Iroquois p/l proj under CP89-634.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6184,19910712-0266,1991-07-03,1991-07-08,CP89-471-000,Comments of Rep G Browder re FERC approval for proposal of Gateway P/L Co under CP89-471.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6183,19910712-0262,1991-07-02,1991-07-08,CP89-471-000,Comments of Rep TF Harper w/views on economically & environ- mentally preferred route re Gateway P/L under CP89-471.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6185,19910712-0283,1991-06-28,1991-07-03,P-6731-000,"Comments of Rep B Derrick on motion for rehear- ing filed by Oconee County,SC re issuance of lic to Aquenergy Systems Inc et al under P-6731.Availability: Public",NA,NA,MicroFilm,,,,,,,,,
6187,19910705-0044,1991-06-28,1991-06-28,NONE-000,Sen J Helms fwds constituent T Henderson comments re hydro elec devel/deregulation.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6181,19910712-0269,1991-06-27,1991-07-10,P-2100-000,Comment of Rep W Herger re recreation devel at Feather River Proj in CA under P-2100.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6182,19910712-0204,1991-06-27,1991-07-09,P-516-114,Sen Thurmond submits correspondence received from D Tomlin under P-516.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
